# XDI/1.0 Athena/0.9.24
# Element.edge:                  L3
# Element.symbol:                Sc
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     399.5223
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              5289.7061253
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -6.740 -1.903
# Athena.pre_edge_line:          36409.214605 - 70.5725 * E
# Athena.normalization_range:    24.560 35.552
# Athena.post_edge_polynomial:   61063.567509 - 119.042 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 36.520
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.096
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.096 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  392.78220       0.19765181E-01   0.19765181E-01   -1.6427336      -0.22003741       0.40632064
  392.89450      -0.49450200E-02  -0.49450200E-02   -1.6412354      -0.17440761        1.0490146
  393.00690      -0.19424208E-01  -0.19424208E-01   -1.6397358       0.15676171E-01    1.3962775
  393.11920      -0.14225844E-02  -0.14225844E-02   -1.6382375       0.13933596       0.13656036
  393.23150       0.11870649E-01   0.11870649E-01   -1.6367393       0.46347627E-01  -0.94260813
  393.34390       0.89917274E-02   0.89917274E-02   -1.6352397      -0.72468089E-01  -0.81492903
  393.45620      -0.44129310E-02  -0.44129310E-02   -1.6337414      -0.13676693       0.44483255
  393.56850      -0.21726124E-01  -0.21726124E-01   -1.6322432       0.27441303E-01   0.78994005
  393.68090       0.17531297E-02   0.17531297E-02   -1.6307436       0.40732604E-01  -0.35743536
  393.79320      -0.12573508E-01  -0.12573508E-01   -1.6292454      -0.52874422E-01   0.35048094
  393.90550      -0.10122465E-01  -0.10122465E-01   -1.6277471       0.11945062       0.33629919
  394.01790       0.14267047E-01   0.14267047E-01   -1.6262475       0.22692006E-01  -0.58139252
  394.13020      -0.50235717E-02  -0.50235717E-02   -1.6247493      -0.11188276E-01   0.15654618
  394.24260       0.11753041E-01   0.11753041E-01   -1.6232497       0.57867933E-01   0.36380519
  394.35490       0.79793528E-02   0.79793528E-02   -1.6217514       0.70558749E-01  -0.87168481
  394.46720       0.27600537E-01   0.27600537E-01   -1.6202532      -0.13791248       -1.2694928
  394.57960      -0.23009581E-01  -0.23009581E-01   -1.6187536      -0.21469628        1.4768042
  394.69190      -0.20641718E-01  -0.20641718E-01   -1.6172554       0.19392543        1.6644286
  394.80420       0.20546070E-01   0.20546070E-01   -1.6157571       0.15913439       -1.7850103
  394.91660       0.15115778E-01   0.15115778E-01   -1.6142575      -0.20716640       -1.2321968
  395.02890      -0.26004219E-01  -0.26004219E-01   -1.6127593      -0.11774024        1.6758311
  395.14120      -0.11328679E-01  -0.11328679E-01   -1.6112610       0.16922528        1.3350957
  395.25360       0.12020700E-01   0.12020700E-01   -1.6097615       0.18225576       -1.1495049
  395.36590       0.29624191E-01   0.29624191E-01   -1.6082632      -0.89068478E-01   -1.4097602
  395.47820      -0.79840801E-02  -0.79840801E-02   -1.6067650      -0.13437637       0.71494230
  395.59060      -0.57017987E-03  -0.57017987E-03   -1.6052654       0.71579056E-01   0.54118770
  395.70290       0.80997339E-02   0.80997339E-02   -1.6037671      -0.12771498E-01  -0.61356266
  395.81520      -0.34386583E-02  -0.34386583E-02   -1.6022689      -0.66227117E-01  -0.85357870E-01
  395.92760      -0.67814994E-02  -0.67814994E-02   -1.6007693      -0.31951412E-01   0.51541922
  396.03990      -0.10618140E-01  -0.10618140E-01   -1.5992710       0.49587582E-01   0.49470615
  396.15230       0.43608302E-02   0.43608302E-02   -1.5977715       0.79209061E-01  -0.77902944
  396.26460       0.71801354E-02   0.71801354E-02   -1.5962732      -0.12546033      -0.45001687
  396.37690      -0.23817561E-01  -0.23817561E-01   -1.5947750      -0.21864729E-01    1.0611196
  396.48930       0.22671308E-02   0.22671308E-02   -1.5932754       0.11297324       0.84823464E-01
  396.60160       0.15675260E-02   0.15675260E-02   -1.5917771      -0.28048967E-02  -0.22409818
  396.71390       0.16371510E-02   0.16371510E-02   -1.5902789       0.62640787E-01   0.25310436
  396.82630       0.15642911E-01   0.15642911E-01   -1.5887793       0.54067654E-01  -0.86317759
  396.93860       0.13786153E-01   0.13786153E-01   -1.5872811      -0.13131522      -0.43271458
  397.05090      -0.13850487E-01  -0.13850487E-01   -1.5857828      -0.43120042E-01   0.40088897
  397.16330       0.40970794E-02   0.40970794E-02   -1.5842832      -0.41235467E-01   0.42163098
  397.27560      -0.23116097E-01  -0.23116097E-01   -1.5827850       0.51620439E-01   0.16407396
  397.38790       0.15691030E-01   0.15691030E-01   -1.5812867      -0.43844557E-02  -0.15834060
  397.50030      -0.24101284E-01  -0.24101284E-01   -1.5797871       0.16041307E-01   0.95931113
  397.61260       0.19295512E-01   0.19295512E-01   -1.5782889       0.21117276      -0.33063894
  397.72490       0.23328117E-01   0.23328117E-01   -1.5767906      -0.58220198E-01   -1.2833179
  397.83730       0.62134333E-02   0.62134333E-02   -1.5752911      -0.77188781E-01   0.10468113
  397.94960       0.59837979E-02   0.59837979E-02   -1.5737928      -0.34698348E-01   0.90629044
  398.06200      -0.15832854E-02  -0.15832854E-02   -1.5722932       0.12645468       0.48910000
  398.17430       0.34398165E-01   0.34398165E-01   -1.5707950       0.75202423E-01  -0.33958414
  398.28660       0.15307179E-01   0.15307179E-01   -1.5692967       0.50184083E-01  -0.17858367
  398.39900       0.45674528E-01   0.45674528E-01   -1.5677971       0.35074672E-01  -0.23271191
  398.51130       0.23188458E-01   0.23188458E-01   -1.5662989      -0.21062835E-02   0.50800333
  398.62360       0.45201457E-01   0.45201457E-01   -1.5648006       0.14917222       0.78488448
  398.73600       0.56707456E-01   0.56707456E-01   -1.5633011       0.17425726        1.2216483
  398.84830       0.84357063E-01   0.84357063E-01   -1.5618028       0.42367659        2.1860296
  398.96060       0.15186522       0.15186522       -1.5603046       0.66523950        3.4470561
  399.07300       0.23383638       0.23383638       -1.5588050        1.1982301        5.2210469
  399.18530       0.42110752       0.42110752       -1.5573067        1.8384087        4.8562348
  399.29760       0.64674298       0.64674298       -1.5558085        2.2889404        5.5226265
  399.41000       0.93543243       0.93543243       -1.5543089        3.0793429        5.1902515
  399.52230        1.3386713        1.3386713       -1.5528107        3.4551899       -1.7768280
  399.63460        1.7114681        1.7124971       -1.5502834        2.6802674       -9.5382365
  399.74700        1.9409274        1.9429863       -1.5477539        1.3119482       -11.661231
  399.85930        2.0062629        2.0093508       -1.5452266       0.59988647E-01   -11.553165
  399.97160        1.9544009        1.9585178       -1.5426994       -1.2828927       -11.096974
  400.08400        1.7179969        1.7231437       -1.5401699       -2.4335014       -6.2460092
  400.19630        1.4075931        1.4137690       -1.5376426       -2.6863709       0.20140203
  400.30870        1.1143693        1.1215751       -1.5351131       -2.3882463        2.8420180
  400.42100       0.87095415       0.87918893       -1.5325859       -2.0477695        5.3021649
  400.53330       0.65444029       0.66370407       -1.5300586       -1.1973801        7.3025190
  400.64570       0.60190284       0.61219654       -1.5275291      -0.40689348        4.8427292
  400.75800       0.56301132       0.57433403       -1.5250019      -0.10921884        3.4243102
  400.87030       0.57737229       0.58972400       -1.5224746       0.36220659        3.4936451
  400.98270       0.64439914       0.65778077       -1.5199451       0.67580321       0.83310411
  401.09500       0.72922527       0.74363590       -1.5174179       0.54940508       -2.0953040
  401.20730       0.76779552       0.78323516       -1.5148906       0.20519794       -1.8687576
  401.31970       0.77533325       0.79180280       -1.5123611       0.12949524       0.65763494
  401.43200       0.79689310       0.81439166       -1.5098339       0.35296851        3.2091834
  401.54430       0.85460998       0.87313753       -1.5073066       0.85027783        4.5758975
  401.65670       0.98795053        1.0075080       -1.5047771        1.3811727        3.8296262
  401.76900        1.1649595        1.1855460       -1.5022499        1.7107948        3.2246539
  401.88130        1.3721951        1.3938105       -1.4997226        2.1054299        1.6203600
  401.99370        1.6380496        1.6606950       -1.4971931        2.0748897       -3.2867210
  402.10600        1.8384228        1.8620972       -1.4946659        1.3669037       -6.5853111
  402.21840        1.9451929        1.9698972       -1.4921364       0.59517033       -7.5241701
  402.33070        1.9721576        1.9978909       -1.4896091      -0.32377727       -6.8597831
  402.44300        1.8724725        1.8992348       -1.4870818      -0.94553695       -4.8918030
  402.55540        1.7596954        1.7874877       -1.4845523       -1.4229654       -4.5181386
  402.66770        1.5527322        1.5815534       -1.4820251       -1.9607627       -2.9195133
  402.78000        1.3193081        1.3491584       -1.4794978       -2.0786881       0.19703718
  402.89240        1.0856509        1.1165311       -1.4769683       -1.9164884        1.4986704
  403.00470       0.88867314       0.92058232       -1.4744411       -1.7419368        2.2685891
  403.11700       0.69441193       0.72735012       -1.4719138       -1.4069633        2.5599232
  403.22940       0.57252848       0.60649659       -1.4693843       -1.1667221        2.7677997
  403.34170       0.43224948       0.46724659       -1.4668571      -0.78503874        4.5981614
  403.45400       0.39620878       0.43223489       -1.4643298      -0.13397506        4.0679629
  403.56640       0.40214528       0.43920131       -1.4618003       0.12903251       0.97933463
  403.67870       0.42520238       0.46328742       -1.4592731       0.86081430E-01   0.11121563
  403.79100       0.42147917       0.46059321       -1.4567458       0.15401154       0.54258181
  403.90340       0.45980878       0.49995273       -1.4542163       0.20799956        1.5194827
  404.01570       0.46821667       0.50938963       -1.4516891       0.49543930        1.5434457
  404.12810       0.57113399       0.61333687       -1.4491596       0.55481182       -1.1094405
  404.24040       0.59288289       0.63611477       -1.4466323       0.24614803      -0.44186581
  404.35270       0.62641883       0.67067972       -1.4441051       0.45556876        1.3470118
  404.46510       0.69524919       0.74054000       -1.4415756       0.54882157      -0.15839921
  404.57740       0.74973904       0.79605885       -1.4390483       0.41997646       -1.4043736
  404.68970       0.78957590       0.83692472       -1.4365211       0.23339926      -0.99205235
  404.80210       0.80218385       0.85056259       -1.4339915       0.19706230      -0.43903240
  404.91440       0.83385580       0.88326354       -1.4314643       0.13474868      -0.18014010
  405.02670       0.83244841       0.88288515       -1.4289370       0.15660283        1.4288566
  405.13910       0.86904446       0.92051112       -1.4264075       0.45581275        1.4627563
  405.25140       0.93486953       0.98736519       -1.4238803       0.48528417       -1.2229599
  405.36370       0.97803928        1.0315639       -1.4213530       0.18113596       -1.7907132
  405.47610       0.97557078        1.0301254       -1.4188235       0.82910904E-01   0.68732967
  405.58840       0.99666936        1.0522530       -1.4162963       0.33557893        1.0252141
  405.70070        1.0509418        1.1075544       -1.4137690       0.31317399      -0.20406214
  405.81310        1.0670396        1.1246821       -1.4112395       0.28972617      -0.10334070
  405.92540        1.1160433        1.1747148       -1.4087123       0.28995333      -0.19803223
  406.03780        1.1321921        1.1918935       -1.4061828       0.24522833       0.66138724E-01
  406.15010        1.1711461        1.2318765       -1.4036555       0.30481470      -0.14050853
  406.26240        1.2006535        1.2624129       -1.4011283       0.21367011      -0.36346789
  406.37480        1.2191578        1.2819471       -1.3985988       0.22314347       0.24845013
  406.48710        1.2507938        1.3146122       -1.3960715       0.26949686       0.72198385
  406.59940        1.2796868        1.3445341       -1.3935443       0.38530104       0.87672789
  406.71180        1.3373709        1.4032482       -1.3910148       0.46649761      -0.92828246
  406.82410        1.3845088        1.4514151       -1.3884875       0.17671597       -2.7501614
  406.93640        1.3770613        1.4449966       -1.3859603      -0.15118863       -1.2067513
  407.04880        1.3505367        1.4195019       -1.3834308      -0.94441054E-01   0.53814643
  407.16110        1.3558404        1.4258347       -1.3809035      -0.30267130E-01   0.20924571
  407.27340        1.3437387        1.4147619       -1.3783762      -0.47444468E-01  -0.11298932
  407.38580        1.3451797        1.4172328       -1.3758467      -0.55655830E-01  -0.37294940
  407.49810        1.3312328        1.4043150       -1.3733195      -0.13124620      -0.85222863
  407.61040        1.3157018        1.3898129       -1.3707922      -0.24706638        1.1981024
  407.72280        1.2757170        1.3508581       -1.3682627       0.13796741        1.8715701
  407.83510        1.3467030        1.4228731       -1.3657355       0.17347542       -2.2359249
  407.94740        1.3146796        1.3918787       -1.3632082      -0.36422132       -1.0070652
  408.05980        1.2648625        1.3430915       -1.3606787      -0.52812141E-01    1.7843868
  408.17210        1.3028127        1.3820707       -1.3581515       0.36730406E-01  -0.50809177
  408.28450        1.2731158        1.3534038       -1.3556220      -0.16698036      -0.69107133
  408.39680        1.2652922        1.3466091       -1.3530947      -0.11855332       0.68643531
  408.50910        1.2464888        1.3288347       -1.3505675      -0.12806991E-01    1.2394884
  408.62150        1.2624145        1.3457903       -1.3480380       0.15995973      -0.32751798
  408.73380        1.2824317        1.3668366       -1.3455107      -0.86400280E-01   -2.1617187
  408.84610        1.2430090        1.3284428       -1.3429835      -0.32556229       0.36458584
  408.95850        1.2092779        1.2957416       -1.3404540      -0.44778432E-02    1.4057249
  409.07080        1.2420028        1.3294956       -1.3379267      -0.96959165E-02  -0.55521660
  409.18310        1.2071002        1.2956219       -1.3353995      -0.12917949       0.57100299
  409.29550        1.2129762        1.3025279       -1.3328700       0.11860845       0.64955551
  409.40780        1.2337515        1.3243322       -1.3303427       0.16775632E-01   -1.1875237
  409.52010        1.2167440        1.3083537       -1.3278155      -0.14810937       0.63757405E-01
  409.63250        1.2004713        1.2931109       -1.3252860       0.31101921E-01    1.5417153
