# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     286.1819
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              11035.0802344
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -8.364 -1.499
# Athena.pre_edge_line:          4248.942429 - 7.2978 * E
# Athena.normalization_range:    21.451 37.864
# Athena.post_edge_polynomial:   61847.451050 - 170.004 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 38.795
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.191
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.191 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  277.81760       0.12289490E-01   0.12289490E-01  -0.20129412      -0.60352996E-01   0.30040521
  277.94950       0.43289302E-02   0.43289302E-02  -0.20120689      -0.20729549E-01   0.13420909
  278.08140       0.68210353E-02   0.68210353E-02  -0.20111966      -0.24948639E-01   0.90943766E-01
  278.21330      -0.22525208E-02  -0.22525208E-02  -0.20103243       0.32614162E-02   0.14691717
  278.34520       0.76813969E-02   0.76813969E-02  -0.20094521       0.13808111E-01  -0.63887301E-01
  278.47710       0.13900589E-02   0.13900589E-02  -0.20085798      -0.13592054E-01  -0.22303113E-01
  278.87270       0.51158853E-03   0.51158853E-03  -0.20059636       0.20432192E-02  -0.16422862E-01
  279.00460       0.24678570E-02   0.24678570E-02  -0.20050913      -0.22255113E-01  -0.96677007E-01
  279.13650      -0.53593104E-02  -0.53593104E-02  -0.20042190      -0.23460175E-01   0.16870414
  279.26840      -0.37209372E-02  -0.37209372E-02  -0.20033467       0.22249040E-01   0.98327193E-01
  279.40030       0.50998624E-03   0.50998624E-03  -0.20024744       0.24785383E-02  -0.31434908E-01
  279.53220      -0.30670988E-02  -0.30670988E-02  -0.20016021       0.13956511E-01   0.56455219E-01
  279.66410       0.41917138E-02   0.41917138E-02  -0.20007298       0.17371425E-01  -0.14923768
  279.79600       0.15154831E-02   0.15154831E-02  -0.19998575      -0.25412389E-01  -0.13386965
  279.92790      -0.25120744E-02  -0.25120744E-02  -0.19989852      -0.17943388E-01   0.61384159E-01
  280.19170      -0.55847154E-02  -0.55847154E-02  -0.19972407      -0.11226772E-02   0.12195228
  280.32360      -0.29563177E-02  -0.29563177E-02  -0.19963684       0.30313129E-01   0.92566731E-01
  280.45550       0.24118879E-02   0.24118879E-02  -0.19954961       0.23296426E-01  -0.26081598
  280.58740       0.31892796E-02   0.31892796E-02  -0.19946238      -0.38490126E-01  -0.17859689
  280.71930      -0.77418073E-02  -0.77418073E-02  -0.19937515      -0.23817434E-01   0.21290704
  280.85120      -0.30937595E-02  -0.30937595E-02  -0.19928792       0.17674752E-01   0.18633973
  280.98310      -0.30792078E-02  -0.30792078E-02  -0.19920069       0.25338986E-01  -0.35397477E-01
  281.11500       0.35906648E-02   0.35906648E-02  -0.19911346       0.83368972E-02  -0.15956276
  281.24690      -0.87993431E-03  -0.87993431E-03  -0.19902623      -0.16753670E-01  -0.58767911E-01
  281.37880      -0.82895329E-03  -0.82895329E-03  -0.19893900      -0.71660778E-02   0.14722970
  281.51070      -0.27703456E-02  -0.27703456E-02  -0.19885177       0.22085525E-01  -0.10513896E-01
  281.64260       0.49972082E-02   0.49972082E-02  -0.19876455      -0.99396435E-02  -0.21786448
  281.77450      -0.53924236E-02  -0.53924236E-02  -0.19867732      -0.35387126E-01   0.13002384
  281.90640      -0.43379157E-02  -0.43379157E-02  -0.19859009       0.24360646E-01  -0.26512623E-02
  282.03830       0.10339148E-02   0.10339148E-02  -0.19850286      -0.36086529E-01  -0.82811579E-01
  282.17020      -0.13857542E-01  -0.13857542E-01  -0.19841563       0.25149513E-02   0.16333521
  282.30210       0.16973589E-02   0.16973589E-02  -0.19832840       0.70012986E-02  -0.68253076E-01
  282.43400      -0.12010599E-01  -0.12010599E-01  -0.19824117      -0.15490210E-01   0.12539064
  282.56590      -0.23889585E-02  -0.23889585E-02  -0.19815394       0.40079350E-01   0.52917164E-01
  282.69780      -0.14376669E-02  -0.14376669E-02  -0.19806671      -0.15306622E-02  -0.17696266
  282.82970      -0.27927472E-02  -0.27927472E-02  -0.19797948      -0.66034008E-02  -0.30108906E-02
  282.96150      -0.31789837E-02  -0.31789837E-02  -0.19789232      -0.23246341E-02   0.12365484
  283.09340      -0.34057532E-02  -0.34057532E-02  -0.19780509       0.26004380E-01  -0.44373100E-01
  283.22530       0.36809718E-02   0.36809718E-02  -0.19771786      -0.14030258E-01  -0.14706953
  283.35720      -0.71069353E-02  -0.71069353E-02  -0.19763063      -0.12792562E-01   0.99929323E-01
  283.48910       0.30629399E-03   0.30629399E-03  -0.19754340       0.12331097E-01   0.46798165E-01
  283.75290      -0.22275200E-02  -0.22275200E-02  -0.19736895       0.57254721E-02  -0.62384821E-01
  283.88480       0.25718633E-02   0.25718633E-02  -0.19728172      -0.12354576E-01  -0.11390141
  284.01670      -0.54866572E-02  -0.54866572E-02  -0.19719449      -0.24321719E-01  -0.15568533E-01
  284.14860      -0.38442061E-02  -0.38442061E-02  -0.19710726      -0.16461555E-01    1.0445115
  284.17420      -0.80793522E-02  -0.80793522E-02  -0.19709033       0.14018884       0.27753720
  284.24110       0.91232616E-02   0.91232616E-02  -0.19704609       0.92106354E-02   -1.5216674
  284.30800      -0.68469691E-02  -0.68469691E-02  -0.19700184      -0.63410260E-01   0.38275189
  284.37500       0.63262781E-03   0.63262781E-03  -0.19695754       0.60461114E-01   0.17522436
  284.44190       0.12487740E-02   0.12487740E-02  -0.19691329      -0.39947717E-01   0.87890517
  284.50880      -0.47123768E-02  -0.47123768E-02  -0.19686905       0.17805863        1.1016087
  284.57570       0.25073018E-01   0.25073018E-01  -0.19682481       0.10744753       -1.6119501
  284.64270       0.96748476E-02   0.96748476E-02  -0.19678050      -0.37781490E-01   -1.1167494
  284.70960       0.20014077E-01   0.20014077E-01  -0.19673625      -0.42085214E-01  -0.12800708
  284.77650       0.40438460E-02   0.40438460E-02  -0.19669201      -0.54908837E-01    1.0218088
  284.84340       0.12667274E-01   0.12667274E-01  -0.19664777       0.94632807E-01    1.5155720
  284.91040       0.16715179E-01   0.16715179E-01  -0.19660346       0.14802625      -0.12716734
