*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4S3N2
* Name: 1,3,5,2,4-benzotrithiadiazepine
* Edge: C 1s
* Alpha Formula: C6H4N2S3
* Data Source: Hitchcock
* Filename:  bv-0cckk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Oakley, U. Guelph
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bvc     name2- 0bvc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.738499E+02,  2.692578E+04,  2.235585E-03,
  2.740200E+02,  2.692100E+04,  5.190525E-03,
  2.741980E+02,  2.714000E+04,  1.856043E-02,
  2.743760E+02,  2.674800E+04,  4.301244E-03,
  2.745540E+02,  2.651400E+04, -4.001196E-03,
  2.747320E+02,  2.672100E+04,  8.367677E-03,
  2.749100E+02,  2.636300E+04, -4.487050E-03,
  2.750880E+02,  2.625700E+04, -6.835230E-03,
  2.752650E+02,  2.615400E+04, -8.537334E-03,
  2.754430E+02,  2.621500E+04, -2.699531E-03,
  2.756210E+02,  2.601600E+04, -8.569956E-03,
  2.757990E+02,  2.621900E+04,  3.701354E-03,
  2.759770E+02,  2.609500E+04,  1.617844E-03,
  2.761550E+02,  2.621000E+04,  1.000701E-02,
  2.763330E+02,  2.603200E+04,  5.195559E-03,
  2.765110E+02,  2.603000E+04,  7.977229E-03,
  2.766890E+02,  2.579200E+04, -1.300248E-05,
  2.768670E+02,  2.572900E+04, -2.557165E-04,
  2.770450E+02,  2.562100E+04, -2.267452E-03,
  2.772230E+02,  2.559100E+04, -6.749119E-04,
  2.774000E+02,  2.544900E+04, -4.228118E-03,
  2.775780E+02,  2.549700E+04,  9.490353E-04,
  2.777560E+02,  2.519900E+04, -9.921041E-03,
  2.779340E+02,  2.534900E+04, -2.533219E-04,
  2.781120E+02,  2.514800E+04, -6.313474E-03,
  2.782900E+02,  2.549600E+04,  1.312028E-02,
  2.784680E+02,  2.529000E+04,  7.236727E-03,
  2.786460E+02,  2.524900E+04,  8.047177E-03,
  2.788240E+02,  2.520200E+04,  8.879914E-03,
  2.790020E+02,  2.513900E+04,  8.926278E-03,
  2.791800E+02,  2.452600E+04, -1.772652E-02,
  2.793580E+02,  2.478800E+04, -3.126634E-03,
  2.795350E+02,  2.478100E+04,  2.509594E-04,
  2.797130E+02,  2.461100E+04, -4.818653E-03,
  2.798910E+02,  2.493000E+04,  1.346322E-02,
  2.800690E+02,  2.458800E+04,  6.867696E-04,
  2.802470E+02,  2.452000E+04, -2.644669E-04,
  2.804250E+02,  2.469400E+04,  1.127285E-02,
  2.806030E+02,  2.435200E+04, -1.952190E-03,
  2.807810E+02,  2.415400E+04, -9.294796E-03,
  2.809590E+02,  2.418900E+04, -4.879481E-03,
  2.811370E+02,  2.425900E+04,  1.778672E-03,
  2.813150E+02,  2.403400E+04, -6.094912E-03,
  2.814930E+02,  2.401100E+04, -4.595911E-03,
  2.816700E+02,  2.398500E+04, -2.815617E-03,
