*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4S3N2
* Name: 1,3,5,2,4-benzotrithiadiazepine
* Edge: N 1s
* Alpha Formula: C6H4N2S3
* Data Source: Hitchcock
* Filename:  bv-0nnkk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Oakley, U. Guelph
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 3    name1- 0bncs    name2- 0bncs-n.     name3- 0bnc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  3.871730E+02,  1.140747E+04,  1.140747E+04,  5.031700E-02,
  3.873120E+02,  1.148539E+04,  1.148539E+04,  8.019128E-02,
  3.874520E+02,  1.131151E+04,  1.131151E+04,  2.920359E-02,
  3.875920E+02,  1.124695E+04,  1.124695E+04,  1.332767E-02,
  3.877320E+02,  1.126905E+04,  1.126905E+04,  2.528420E-02,
  3.878720E+02,  1.125326E+04,  1.125326E+04,  2.506536E-02,
  3.880120E+02,  1.116779E+04,  1.116779E+04,  2.456472E-03,
  3.881510E+02,  1.124809E+04,  1.124809E+04,  3.305823E-02,
  3.882910E+02,  1.110105E+04,  1.110105E+04, -9.341441E-03,
  3.884310E+02,  1.093628E+04,  1.093628E+04, -5.744001E-02,
  3.885710E+02,  1.104615E+04,  1.104615E+04, -1.732438E-02,
  3.887110E+02,  1.107780E+04,  1.107780E+04, -2.339025E-03,
  3.888510E+02,  1.109103E+04,  1.109103E+04,  6.725333E-03,
  3.889900E+02,  1.114580E+04,  1.114580E+04,  2.909241E-02,
  3.891300E+02,  1.101316E+04,  1.101316E+04, -8.715964E-03,
  3.892700E+02,  1.100851E+04,  1.100851E+04, -5.413341E-03,
  3.894100E+02,  1.107210E+04,  1.107210E+04,  1.980218E-02,
  3.895500E+02,  1.100727E+04,  1.100727E+04,  3.762619E-03,
  3.896900E+02,  1.093582E+04,  1.093582E+04, -1.441151E-02,
  3.898290E+02,  1.109463E+04,  1.109463E+04,  4.134353E-02,
  3.899690E+02,  1.101729E+04,  1.101729E+04,  2.126532E-02,
  3.901090E+02,  1.094729E+04,  1.094729E+04,  3.543857E-03,
  3.902490E+02,  1.081952E+04,  1.081952E+04, -3.274544E-02,
  3.903890E+02,  1.087412E+04,  1.087412E+04, -1.045398E-02,
  3.905290E+02,  1.087751E+04,  1.087751E+04, -4.621625E-03,
  3.906680E+02,  1.091029E+04,  1.091029E+04,  1.061574E-02,
  3.908080E+02,  1.095413E+04,  1.095413E+04,  2.943511E-02,
  3.909480E+02,  1.072272E+04,  1.072272E+04, -4.017607E-02,
  3.910880E+02,  1.069547E+04,  1.069547E+04, -4.420331E-02,
  3.912280E+02,  1.073296E+04,  1.073296E+04, -2.744268E-02,
  3.913680E+02,  1.085525E+04,  1.085525E+04,  1.655380E-02,
  3.915070E+02,  1.073478E+04,  1.073478E+04, -1.747471E-02,
  3.916470E+02,  1.089662E+04,  1.089662E+04,  3.921558E-02,
  3.917870E+02,  1.094958E+04,  1.094958E+04,  6.092618E-02,
  3.919270E+02,  1.075633E+04,  1.075633E+04,  3.537197E-03,
  3.920670E+02,  1.073264E+04,  1.073264E+04,  6.136933E-04,
