energy	step1_	g1_	g2_	g3_	g4_
278.2545	0.007735119041537126	3.918395150114081e-32	8.699319239912852e-39	1.1380134448154343e-76	1.859365018912806e-69
278.4062	0.007837618045349756	2.0128495855966015e-30	2.561681017174379e-37	2.307752794063517e-74	1.2795512605055824e-67
278.5578	0.007942798886363678	9.235860239441721e-29	7.042357335123742e-36	4.295620742374245e-72	8.289383920542471e-66
278.7095	0.008050912582233822	3.804507909581028e-27	1.8153608414097554e-34	7.390125887321095e-70	5.0833281616108695e-64
278.8612	0.00816200918211144	1.4033398154802888e-25	4.378253493281583e-33	1.1710029133204001e-67	2.9426066773241022e-62
279.0128	0.00827613748797939	4.6247148308789574e-24	9.859371298285984e-32	1.703450393582425e-65	1.603752436371834e-60
279.1645	0.008393580223986391	1.367940982621179e-22	2.081576066166381e-30	2.2899164830114459e-63	8.272833011092213e-59
279.3162	0.008514402981884751	3.6232056114439535e-21	4.111765929112459e-29	2.8352413157931402e-61	4.0283700947887246e-57
279.4679	0.008638753758594835	8.593336464235113e-20	7.599018741986772e-28	3.233260138148214e-59	1.8516659678519233e-55
279.6195	0.008766703666045908	1.8214398711619635e-18	1.311514922009772e-26	3.385718239753228e-57	8.014620982012781e-54
279.7712	0.008898587594663238	3.464190145320814e-17	2.121814887014295e-25	3.2755591436971526e-55	3.2828355695162627e-52
279.9229	0.009034498697853652	5.899725720763868e-16	3.2116985997995055e-24	2.9187729397582085e-53	1.269326794916375e-50
280.0746	0.009174624223564909	8.997153672358282e-15	4.5483628834098317e-23	2.39549578131287e-51	4.632932168657053e-49
280.2262	0.00931906642731644	1.2265607751412541e-13	6.016421141139581e-22	1.8056942925593806e-49	1.5925442832423645e-47
280.3779	0.009468227508191629	1.499962616691701e-12	7.458709230627368e-21	1.257254902169651e-47	5.179727005783812e-46
280.5296	0.009622239180199678	1.6425364486360303e-11	8.651315684355378e-20	8.062740522163987e-46	1.590304914596301e-44
280.6812	0.009781235243654422	1.6082554457511556e-10	9.373905975555313e-19	4.749702064661194e-44	4.5989270901942206e-43
280.8329	0.009945681868986238	1.4122372336806253e-09	9.517967105274339e-18	2.5841024472249697e-42	1.2582383394766437e-41
280.9846	0.010115749955759921	1.1104614876841157e-08	9.041923748275424e-17	1.2948913200688421e-40	3.2495818502561145e-40
281.1363	0.010291732623058074	7.818844244152908e-08	8.03656599195317e-16	5.976365437852351e-39	7.922280637999438e-39
281.2879	0.010473821482040615	4.923948343410185e-07	6.673848595415876e-15	2.5343085005581674e-37	1.819456083881296e-37
281.4396	0.01066259300414262	2.7801651522589675e-06	5.1926750841486855e-14	9.923098886779948e-36	3.9527302715948487e-36
281.5913	0.010858290253436908	1.4056296825664783e-05	3.780062511730993e-13	3.5786184087173736e-34	8.106081356614996e-35
281.743	0.011061301278592969	6.363769789176677e-05	2.574541218643471e-12	1.1886765564706868e-32	1.5692166695367732e-33
281.8946	0.011271902088938529	0.0002577604599847628	1.638600508197326e-11	3.6284795692063345e-31	2.862130943785744e-32
282.0463	0.011490820221974537	0.0009357888920871493	9.769651601347295e-11	1.0224851306298203e-29	4.937354536048684e-31
282.198	0.01171840487363908	0.0030421644734364927	5.449769098289743e-10	2.653808333161214e-28	8.040023248028692e-30
282.3496	0.011955021500532377	0.008849945766008279	2.8412316870734867e-09	6.3308993358185715e-27	1.2336854374841897e-28
282.5013	0.012201549819788627	0.02307084282543333	1.3874290992362336e-08	1.3939974319501277e-25	1.7901947909548805e-27
282.653	0.012458452426271999	0.053855433816081905	6.33881362268705e-08	2.8270843907604938e-24	2.4521911239553964e-26
282.8047	0.012726397753791764	0.11257418552634368	2.709556432061109e-07	5.280752401137699e-23	3.1707829873681498e-25
282.9563	0.013005924442234017	0.2106335967152868	1.082665129581505e-06	9.068392510646764e-22	3.863926747962088e-24
283.108	0.013298193085032549	0.3530652504363724	4.051254170016062e-06	1.4370482667932732e-20	4.4521926429996057e-23
283.2597	0.013603888173976996	0.5299385630701765	1.4183318879450334e-05	2.0974549144572582e-19	4.842584270715314e-22
283.4113	0.013923739876854564	0.7121482893543142	4.6422564413641445e-05	2.8148937627630645e-18	4.964552410420113e-21
283.563	0.01425920661714464	0.8571543442210345	0.00014227304527138375	3.485517768066032e-17	4.8118956329275135e-20
283.7147	0.014611221375174628	0.9238274077924193	0.0004079520892409707	3.975143643018471e-16	4.402612625935672e-19
283.8664	0.014981038269804382	0.8915914015263641	0.0010944318669692725	4.175597085003782e-15	3.802444873400299e-18
284.018	0.01536977821624335	0.770622516465073	0.0027454111406643947	4.0339137661730227e-14	3.0958582731994955e-17
284.1697	0.015779484272566726	0.5963960657573117	0.006447510884976961	3.594813651177595e-13	2.382683637335548e-16
284.3214	0.0162116046492758	0.4133053836100722	0.014166736318921451	2.950573162832784e-12	1.7310510284070185e-15
284.4731	0.016668028073695794	0.2564782676588592	0.02912329916308344	2.2305739557655886e-11	1.1871662307128338e-14
284.6247	0.01715053383440031	0.14257957165918878	0.055992084289178914	1.5511839450446467e-10	7.67617575780703e-14
284.7764	0.017662114266919608	0.07095040218953658	0.10076333173734203	9.948498834250474e-10	4.691151234851184e-13
284.9281	0.01820510569081346	0.03161517823118488	0.16965686513284636	5.876679948404605e-09	2.7062763009668687e-12
285.0797	0.01878209526438825	0.012622879893746802	0.2671854550350006	3.1938431434764224e-08	1.472129642369482e-11
285.2314	0.01939721055421245	0.004510422961826969	0.39381010458642496	1.6005604531679132e-07	7.567834358587968e-11
285.3831	0.02005390457121929	0.0014431760262617554	0.5430676491767579	7.387726590418405e-07	3.6724454564253513e-10
285.5348	0.020756532043479502	0.0004134895698867493	0.7006708401053844	3.1407240503783002e-06	1.6822760691791485e-09
285.6864	0.021509561774377656	0.00010618380547286535	0.845712635903345	1.2287116443330761e-05	7.267523112022734e-09
285.8381	0.022319713567112806	2.4396166331909876e-05	0.9551862337665494	4.431522441910077e-05	2.9666150402747795e-08
285.9898	0.02319312823715518	5.019126048132153e-06	1.0093605443006641	0.0001472096110887316	1.1431261061059097e-07
286.1414	0.024136848787986095	9.257162994133172e-07	0.9979537433852407	0.000450081569469272	4.154548614901101e-07
286.2931	0.025161101109790963	1.5272230637294716e-07	0.9231532541865781	0.0012684064879166794	1.4265587241581525e-06
286.4448	0.02627585152171929	2.2561618657019665e-08	0.7989695584935201	0.0032923493646769665	4.623955427453835e-06
286.5965	0.027493605323496467	2.984566442407666e-09	0.6469633732320443	0.007871066944557597	1.414802440503557e-05
286.7481	0.02882835085308918	3.540478577087884e-10	0.4902427536912567	0.017323168105459683	4.0835768572104056e-05
286.8998	0.03029976079396255	3.755701042978043e-11	0.34750876965881117	0.0351349245623803	0.00011134116342964517
287.0515	0.03192872360821672	3.567494198322408e-12	0.23046946245013175	0.06563431611376397	0.0002865688312325165
287.2032	0.033741837554371115	3.0344413871849034e-13	0.14300592885382643	0.11292839008125237	0.0006962421731229224
287.3548	0.03577058936273542	2.315209968122316e-14	0.0830525426610542	0.17891036441597816	0.00159595444618679
287.5065	0.03805881483484761	1.5791519026841141e-15	0.04511268864419141	0.26115099563394295	0.0034552917604532764
287.6582	0.04065746617322313	9.644964846490316e-17	0.022926487537903658	0.3510977974062112	0.007061665377040778
287.8098	0.04363161654548117	5.285284393175633e-18	0.010906658748166674	0.43470570363183153	0.013617828075233256
287.9615	0.04707298467795694	2.588589283043997e-19	0.0048521661223477255	0.4958105581057356	0.024800653039105586
288.1132	0.05109675307591125	1.1352752070659945e-20	0.0020196338071272932	0.5208545187633381	0.04263601070109666
288.2649	0.05586211945775101	4.458434340007896e-22	0.000786507080451371	0.5039614715356622	0.06919077333794835
288.4165	0.06158681605367454	1.5713791929353546e-23	0.0002867637422809973	0.44916221896129815	0.1059654114236126
288.5682	0.06859618278511369	4.948576250061392e-25	9.775958921833523e-05	0.3686957495324563	0.15323875354641314
288.7199	0.07735736886006382	1.3954772206384062e-26	3.118081991401883e-05	0.2787489733909577	0.20918535144245046
288.8716	0.08859345530976266	3.5237773003604102e-28	9.30483611163676e-06	0.19410586396661442	0.2695579243720156
289.0232	0.10345292713574276	7.987998743983371e-30	2.6001459849504835e-06	0.1245326382392195	0.3278561079168267
289.1749	0.12390508775834395	1.6174904923767942e-31	6.792412509970648e-07	0.07356861515974214	0.3764757207351534
289.3266	0.1533791314903791	2.932842236871401e-33	1.660135010686215e-07	0.040029688149178386	0.408083320282793
289.4782	0.19804084936074548	4.775010356346137e-35	3.8000361143090866e-08	0.020070657961905755	0.4175616135074565
289.6299	0.26821599049149714	6.942874740599267e-37	8.130405441956607e-09	0.009264782936939511	0.40333443116305046
289.7816	0.3729611410813281	9.039565564959066e-39	1.6275326763132233e-09	0.003939028481865904	0.367763144855352
289.9333	0.4956485751077235	1.0538990305909377e-40	3.0481775805029186e-10	0.0015424930886702333	0.3165405026188198
290.0849	0.5961020614365101	1.1036097584895506e-42	5.347514627841178e-11	0.0005567257124523554	0.25722681599433905
290.2366	0.6624488758894905	1.0317750568522916e-44	8.767336041441452e-12	0.000184952156147903	0.19729232235420582
290.3883	0.7047720483708432	8.63769239815459e-47	1.344857777010466e-12	5.659235293947037e-05	0.1428440990519773
290.5399	0.7328385665300942	6.496363872119856e-49	1.9326062829168253e-13	1.5962858867328037e-05	0.09765394808805143
290.6916	0.7524502167442979	4.3611507460112824e-51	2.5951186385195823e-14	4.14374516914022e-06	0.06300496655807128
290.8433	0.7667818424326086	2.621652175069683e-53	3.2603489234853745e-15	9.907307401441242e-07	0.03837230968222948
290.995	0.7776570825450647	1.4112120024340218e-55	3.832339532524522e-16	2.1817172766559359e-07	0.022060699167902206
291.1466	0.786161602520708	6.826463635784516e-58	4.2208353266442816e-17	4.429860432237631e-08	0.011977384891458841
