*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4SN2
* Name: 2,1,3-benzotrithiadiazole
* Edge: C 1s
* Alpha Formula: C6H4N2S
* Data Source: Hitchcock
* Filename:  bw-0cckk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Aldrich
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bwc      name2- 0bwc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.772519E+02,  1.964978E+04,  7.852190E-05,
  2.773783E+02,  1.963539E+04,  8.372136E-04,
  2.775047E+02,  1.950534E+04, -1.524653E-03,
  2.776311E+02,  1.946929E+04, -1.390639E-03,
  2.777575E+02,  1.943662E+04, -1.185538E-03,
  2.778839E+02,  1.933451E+04, -2.873384E-03,
  2.780103E+02,  1.928707E+04, -3.109428E-03,
  2.781367E+02,  1.947989E+04,  3.144049E-03,
  2.782632E+02,  1.927948E+04, -1.272027E-03,
  2.783896E+02,  1.943591E+04,  3.983540E-03,
  2.785160E+02,  1.938442E+04,  3.574189E-03,
  2.786424E+02,  1.936880E+04,  4.125233E-03,
  2.787688E+02,  1.912215E+04, -1.662405E-03,
  2.788952E+02,  1.915652E+04,  2.169459E-04,
  2.790216E+02,  1.909472E+04, -5.558077E-04,
  2.791480E+02,  1.927238E+04,  5.246238E-03,
  2.792744E+02,  1.927663E+04,  6.270672E-03,
  2.794008E+02,  1.899402E+04, -6.478562E-04,
  2.795272E+02,  1.873502E+04, -6.955432E-03,
  2.796536E+02,  1.892524E+04, -8.331431E-04,
  2.797800E+02,  1.900784E+04,  2.305250E-03,
  2.799064E+02,  1.884761E+04, -1.326352E-03,
  2.800328E+02,  1.873332E+04, -3.703593E-03,
  2.801592E+02,  1.896339E+04,  3.532273E-03,
  2.802856E+02,  1.873123E+04, -2.177999E-03,
  2.804120E+02,  1.863753E+04, -4.034183E-03,
  2.805384E+02,  1.867914E+04, -2.101385E-03,
  2.806648E+02,  1.865942E+04, -1.903947E-03,
  2.807912E+02,  1.860355E+04, -2.740535E-03,
  2.809176E+02,  1.876048E+04,  2.434860E-03,
  2.810440E+02,  1.869126E+04,  1.200199E-03,
  2.811704E+02,  1.856650E+04, -1.631089E-03,
  2.812968E+02,  1.863343E+04,  9.768913E-04,
  2.814232E+02,  1.858177E+04,  1.975889E-04,
  2.815497E+02,  1.849998E+04, -1.458042E-03,
  2.816761E+02,  1.863166E+04,  2.988290E-03,
  2.818025E+02,  1.833357E+04, -4.904338E-03,
  2.819289E+02,  1.852046E+04,  1.120254E-03,
  2.820553E+02,  1.866257E+04,  5.867175E-03,
  2.821817E+02,  1.867927E+04,  6.998325E-03,
  2.823081E+02,  1.858462E+04,  4.899335E-03,
  2.824345E+02,  1.847327E+04,  2.297343E-03,
  2.825609E+02,  1.845836E+04,  2.478767E-03,
  2.826873E+02,  1.851877E+04,  4.845641E-03,
  2.828137E+02,  1.860681E+04,  8.018930E-03,
  2.829401E+02,  1.856308E+04,  7.341528E-03,
  2.830665E+02,  1.870938E+04,  1.222136E-02,
  2.831929E+02,  1.886887E+04,  1.749863E-02,
  2.833193E+02,  1.983173E+04,  4.642675E-02,
  2.834457E+02,  2.144497E+04,  9.463609E-02,
  2.835721E+02,  2.360638E+04,  1.592226E-01,
  2.836985E+02,  2.705781E+04,  2.622435E-01,
  2.838249E+02,  3.246484E+04,  4.236675E-01,
  2.839513E+02,  3.984858E+04,  6.444712E-01,
  2.840777E+02,  4.620115E+04,  8.354390E-01,
  2.842041E+02,  5.248302E+04,  1.025048E+00,
  2.843305E+02,  5.655981E+04,  1.149476E+00,
  2.844569E+02,  5.773882E+04,  1.187581E+00,
  2.845833E+02,  5.598533E+04,  1.137805E+00,
  2.847097E+02,  5.137792E+04,  1.001985E+00,
  2.848362E+02,  4.680085E+04,  8.665258E-01,
  2.849626E+02,  4.155847E+04,  7.104277E-01,
  2.850890E+02,  3.791043E+04,  6.019347E-01,
  2.852154E+02,  3.523687E+04,  5.225421E-01,
  2.853418E+02,  3.392348E+04,  4.841401E-01,
  2.854682E+02,  3.420529E+04,  4.941275E-01,
  2.855946E+02,  3.564614E+04,  5.394920E-01,
  2.857210E+02,  3.845658E+04,  6.268779E-01,
  2.858474E+02,  4.180003E+04,  7.309206E-01,
  2.859738E+02,  4.564564E+04,  8.507721E-01,
