*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4SN2
* Name: 2,1,3-benzotrithiadiazole
* Edge: N 1s
* Alpha Formula: C6H4N2S
* Data Source: Hitchcock
* Filename:  bw-0nnkk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Aldrich
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bwn     name2- 0bwn.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  3.870604E+02,  1.476300E+04, -1.188324E-02,
  3.871858E+02,  1.472800E+04, -1.390092E-02,
  3.873112E+02,  1.466100E+04, -2.112455E-02,
  3.874367E+02,  1.496100E+04,  3.125138E-02,
  3.875621E+02,  1.494200E+04,  3.184740E-02,
  3.876875E+02,  1.454100E+04, -2.974661E-02,
  3.878130E+02,  1.456400E+04, -2.238326E-02,
  3.879384E+02,  1.465100E+04, -4.574670E-03,
  3.880638E+02,  1.470400E+04,  7.710078E-03,
  3.881892E+02,  1.468900E+04,  8.897379E-03,
  3.883147E+02,  1.462200E+04,  1.572049E-03,
  3.884401E+02,  1.430600E+04, -4.655198E-02,
  3.885655E+02,  1.453600E+04, -5.279163E-03,
  3.886909E+02,  1.445100E+04, -1.561885E-02,
  3.888164E+02,  1.452700E+04,  4.563033E-04,
  3.889418E+02,  1.452500E+04,  3.731515E-03,
  3.890672E+02,  1.455000E+04,  1.144832E-02,
  3.891927E+02,  1.442900E+04, -4.879270E-03,
  3.893181E+02,  1.445600E+04,  3.157926E-03,
  3.894435E+02,  1.443100E+04,  2.619464E-03,
  3.895689E+02,  1.453100E+04,  2.272554E-02,
  3.896944E+02,  1.443300E+04,  1.011554E-02,
  3.898198E+02,  1.431700E+04, -5.507482E-03,
  3.899452E+02,  1.429400E+04, -5.757614E-03,
  3.900706E+02,  1.432400E+04,  2.775686E-03,
  3.901961E+02,  1.424800E+04, -6.283456E-03,
  3.903215E+02,  1.416000E+04, -1.736310E-02,
