*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4SN2
* Name: 2,1,3-benzotrithiadiazole
* Edge: S 2p,2s
* Alpha Formula: C6H4N2S
* Data Source: Hitchcock
* Filename:  bw-0sskk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Aldrich
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bws      name2- 0bws.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  1.542982E+02,  1.236504E+05, -4.032327E-02,
  1.545609E+02,  1.234900E+05,  1.168468E-02,
  1.548236E+02,  1.223808E+05,  9.700513E-03,
  1.550862E+02,  1.215576E+05, -6.015940E-03,
  1.553489E+02,  1.206105E+05,  3.960241E-03,
  1.556116E+02,  1.194977E+05, -1.364847E-02,
  1.558742E+02,  1.192801E+05, -1.865775E-02,
  1.561369E+02,  1.189932E+05,  1.867825E-02,
  1.563996E+02,  1.180517E+05,  1.283816E-02,
  1.566622E+02,  1.169444E+05,  6.728642E-03,
  1.569249E+02,  1.161014E+05, -1.036073E-02,
  1.571875E+02,  1.155584E+05,  1.365668E-03,
  1.574502E+02,  1.149645E+05,  1.074280E-03,
  1.577129E+02,  1.142829E+05,  1.092538E-02,
  1.579755E+02,  1.133770E+05,  1.411988E-03,
  1.582382E+02,  1.127164E+05, -2.180733E-04,
  1.585009E+02,  1.120921E+05,  5.886701E-03,
  1.587635E+02,  1.112717E+05,  3.260410E-03,
  1.590262E+02,  1.105658E+05, -2.804527E-03,
  1.592888E+02,  1.098999E+05,  5.948521E-03,
  1.595515E+02,  1.089301E+05, -7.376448E-03,
  1.598142E+02,  1.083095E+05, -9.768311E-03,
  1.600768E+02,  1.077232E+05,  1.696601E-05,
  1.603395E+02,  1.069328E+05, -1.169717E-02,
  1.606022E+02,  1.066284E+05,  4.228841E-04,
  1.608648E+02,  1.060178E+05,  1.102291E-02,
  1.611275E+02,  1.050292E+05, -9.916581E-03,
  1.613902E+02,  1.047154E+05,  3.778776E-03,
  1.616528E+02,  1.040623E+05,  6.955633E-03,
  1.619155E+02,  1.031902E+05, -4.426224E-03,
  1.621781E+02,  1.026475E+05, -1.770583E-03,
  1.624408E+02,  1.020574E+05,  1.529915E-03,
  1.627035E+02,  1.013320E+05, -5.508730E-03,
  1.629661E+02,  1.009322E+05,  4.104913E-03,
  1.632288E+02,  1.002702E+05,  6.834120E-04,
  1.634915E+02,  9.989554E+04,  6.058115E-03,
  1.637541E+02,  9.991160E+04,  2.524881E-02,
  1.640168E+02,  1.002928E+05,  5.456202E-02,
  1.642794E+02,  1.015238E+05,  1.101972E-01,
  1.645421E+02,  1.038397E+05,  2.140170E-01,
  1.648048E+02,  1.047946E+05,  2.752625E-01,
  1.650674E+02,  1.035906E+05,  2.547106E-01,
  1.653301E+02,  1.026030E+05,  2.298230E-01,
  1.655928E+02,  1.056110E+05,  3.448873E-01,
  1.658554E+02,  1.118372E+05,  5.786719E-01,
  1.661181E+02,  1.180462E+05,  8.151307E-01,
  1.663807E+02,  1.226402E+05,  9.957331E-01,
  1.666434E+02,  1.259159E+05,  1.128920E+00,
  1.669061E+02,  1.309145E+05,  1.322618E+00,
  1.671687E+02,  1.396066E+05,  1.645728E+00,
  1.674314E+02,  1.505081E+05,  2.047469E+00,
  1.676941E+02,  1.579421E+05,  2.326688E+00,
  1.679567E+02,  1.532242E+05,  2.170674E+00,
  1.682194E+02,  1.444226E+05,  1.879263E+00,
  1.684820E+02,  1.397138E+05,  1.745384E+00,
  1.687447E+02,  1.382877E+05,  1.724958E+00,
  1.690074E+02,  1.323108E+05,  1.520774E+00,
  1.692700E+02,  1.236436E+05,  1.227555E+00,
  1.695327E+02,  1.198948E+05,  1.137364E+00,
  1.697953E+02,  1.190362E+05,  1.137922E+00,
  1.700580E+02,  1.167466E+05,  1.067043E+00,
  1.703207E+02,  1.140696E+05,  9.907337E-01,
  1.705833E+02,  1.132500E+05,  9.934601E-01,
  1.708460E+02,  1.142724E+05,  1.060188E+00,
  1.711087E+02,  1.154892E+05,  1.122154E+00,
  1.713713E+02,  1.172174E+05,  1.208135E+00,
  1.716340E+02,  1.191801E+05,  1.299055E+00,
  1.718967E+02,  1.221534E+05,  1.435622E+00,
  1.721593E+02,  1.255924E+05,  1.581416E+00,
  1.724220E+02,  1.298128E+05,  1.762369E+00,
  1.726846E+02,  1.339666E+05,  1.929157E+00,
  1.729473E+02,  1.390117E+05,  2.146045E+00,
  1.732100E+02,  1.441623E+05,  2.350284E+00,
  1.734726E+02,  1.486569E+05,  2.526669E+00,
  1.737353E+02,  1.526538E+05,  2.689588E+00,
  1.739980E+02,  1.561354E+05,  2.831639E+00,
  1.742606E+02,  1.591055E+05,  2.956312E+00,
  1.745233E+02,  1.611145E+05,  3.036498E+00,
  1.747859E+02,  1.628731E+05,  3.126689E+00,
  1.750486E+02,  1.638583E+05,  3.166217E+00,
  1.753113E+02,  1.643881E+05,  3.209105E+00,
  1.755739E+02,  1.640497E+05,  3.196749E+00,
  1.758366E+02,  1.636067E+05,  3.214656E+00,
  1.760993E+02,  1.630652E+05,  3.204706E+00,
  1.763619E+02,  1.622659E+05,  3.198307E+00,
  1.766246E+02,  1.615056E+05,  3.191464E+00,
  1.768873E+02,  1.602248E+05,  3.148800E+00,
  1.771499E+02,  1.582069E+05,  3.084596E+00,
  1.774126E+02,  1.563528E+05,  3.051272E+00,
  1.776752E+02,  1.553240E+05,  3.049218E+00,
  1.779379E+02,  1.543776E+05,  3.021542E+00,
  1.782006E+02,  1.531263E+05,  2.996676E+00,
  1.784632E+02,  1.519423E+05,  2.973631E+00,
  1.787259E+02,  1.507216E+05,  2.944926E+00,
  1.789886E+02,  1.497782E+05,  2.946543E+00,
  1.792512E+02,  1.491576E+05,  2.936872E+00,
  1.795139E+02,  1.481877E+05,  2.910431E+00,
  1.797765E+02,  1.474177E+05,  2.926618E+00,
  1.800392E+02,  1.474169E+05,  2.952652E+00,
  1.803019E+02,  1.469124E+05,  2.911881E+00,
  1.805645E+02,  1.461944E+05,  2.961583E+00,
  1.808272E+02,  1.466341E+05,  2.974791E+00,
  1.810899E+02,  1.463583E+05,  2.976372E+00,
  1.813525E+02,  1.461257E+05,  3.006034E+00,
  1.816152E+02,  1.462682E+05,  3.021802E+00,
  1.818778E+02,  1.461235E+05,  3.032142E+00,
  1.821405E+02,  1.458080E+05,  3.032489E+00,
  1.824032E+02,  1.455708E+05,  3.068802E+00,
  1.826658E+02,  1.456957E+05,  3.060570E+00,
  1.829285E+02,  1.452186E+05,  3.088279E+00,
  1.831912E+02,  1.452995E+05,  3.094999E+00,
  1.834538E+02,  1.449660E+05,  3.100163E+00,
  1.837165E+02,  1.448194E+05,  3.144338E+00,
  1.839791E+02,  1.452282E+05,  3.145646E+00,
  1.842418E+02,  1.447783E+05,  3.148463E+00,
  1.845045E+02,  1.445303E+05,  3.188348E+00,
  1.847672E+02,  1.449925E+05,  3.213967E+00,
  1.850298E+02,  1.450578E+05,  3.214906E+00,
  1.852925E+02,  1.446526E+05,  3.230993E+00,
  1.855552E+02,  1.445443E+05,  3.237265E+00,
  1.858179E+02,  1.443113E+05,  3.273657E+00,
  1.860805E+02,  1.447061E+05,  3.294914E+00,
  1.863432E+02,  1.447423E+05,  3.307769E+00,
  1.866059E+02,  1.446003E+05,  3.326384E+00,
  1.868686E+02,  1.446187E+05,  3.361276E+00,
  1.871313E+02,  1.450061E+05,  3.389503E+00,
  1.873939E+02,  1.452265E+05,  3.408269E+00,
  1.876566E+02,  1.452270E+05,  3.433170E+00,
  1.879193E+02,  1.453648E+05,  3.433178E+00,
  1.881820E+02,  1.449007E+05,  3.442451E+00,
  1.884446E+02,  1.446658E+05,  3.446332E+00,
  1.887073E+02,  1.443012E+05,  3.450228E+00,
  1.889700E+02,  1.439380E+05,  3.465262E+00,
  1.892327E+02,  1.438404E+05,  3.461531E+00,
  1.894953E+02,  1.433152E+05,  3.467016E+00,
  1.897580E+02,  1.429836E+05,  3.469198E+00,
  1.900207E+02,  1.425921E+05,  3.481442E+00,
  1.902834E+02,  1.424212E+05,  3.472051E+00,
  1.905461E+02,  1.417974E+05,  3.446420E+00,
  1.908087E+02,  1.407759E+05,  3.457570E+00,
  1.910714E+02,  1.404980E+05,  3.469437E+00,
  1.913341E+02,  1.403435E+05,  3.445948E+00,
  1.915968E+02,  1.394654E+05,  3.407609E+00,
  1.918595E+02,  1.381673E+05,  3.415712E+00,
  1.921221E+02,  1.377419E+05,  3.457698E+00,
  1.923848E+02,  1.381707E+05,  3.433703E+00,
  1.926475E+02,  1.374788E+05,  3.434587E+00,
  1.929102E+02,  1.369521E+05,  3.430907E+00,
  1.931728E+02,  1.364664E+05,  3.420594E+00,
  1.934355E+02,  1.358383E+05,  3.393726E+00,
  1.936982E+02,  1.348803E+05,  3.404225E+00,
  1.939609E+02,  1.344864E+05,  3.391764E+00,
  1.942236E+02,  1.339266E+05,  3.381833E+00,
  1.944862E+02,  1.332657E+05,  3.369536E+00,
  1.947489E+02,  1.325853E+05,  3.379684E+00,
  1.950116E+02,  1.322564E+05,  3.352971E+00,
  1.952743E+02,  1.315042E+05,  3.328115E+00,
  1.955369E+02,  1.305075E+05,  3.353973E+00,
  1.957996E+02,  1.303049E+05,  3.355697E+00,
  1.960623E+02,  1.301510E+05,  3.350820E+00,
  1.963250E+02,  1.297003E+05,  3.350256E+00,
  1.965876E+02,  1.292568E+05,  3.372327E+00,
  1.968503E+02,  1.291709E+05,  3.355348E+00,
  1.971130E+02,  1.287581E+05,  3.362686E+00,
  1.973757E+02,  1.283045E+05,  3.367626E+00,
  1.976384E+02,  1.280577E+05,  3.367207E+00,
  1.979010E+02,  1.277199E+05,  3.396168E+00,
  1.981637E+02,  1.276949E+05,  3.373639E+00,
  1.984264E+02,  1.273539E+05,  3.341542E+00,
  1.986891E+02,  1.263462E+05,  3.366638E+00,
  1.989518E+02,  1.258964E+05,  3.388029E+00,
  1.992144E+02,  1.260540E+05,  3.383563E+00,
  1.994771E+02,  1.258863E+05,  3.346469E+00,
  1.997398E+02,  1.250671E+05,  3.368620E+00,
  2.000025E+02,  1.244675E+05,  3.365009E+00,
  2.002651E+02,  1.243450E+05,  3.374964E+00,
  2.005278E+02,  1.240299E+05,  3.361974E+00,
  2.007905E+02,  1.236751E+05,  3.350169E+00,
  2.010532E+02,  1.230313E+05,  3.340671E+00,
  2.013159E+02,  1.224265E+05,  3.352810E+00,
  2.015785E+02,  1.220401E+05,  3.338104E+00,
  2.018412E+02,  1.217357E+05,  3.305725E+00,
