energy	step1_	g1_	g2_	g3_	g4_
278.7688	0.008722113608187363	3.22519298675866e-39	5.2882886442464266e-24	1.617553419509832e-41	1.0884192014493426e-44
278.8952	0.008823961268844714	1.6265487178889797e-37	3.331029927917092e-23	2.9138158109021846e-40	1.3859089328127845e-43
279.0216	0.008928214940097266	7.50782907357042e-36	2.03086611770457e-22	5.017340356617802e-39	1.708097155983482e-42
279.148	0.009034960875878123	3.1717402238619687e-34	1.1984596861503552e-21	8.258345229975294e-38	2.0376510918707153e-41
279.2744	0.009144289501698254	1.2263566072463329e-32	6.845496329911166e-21	1.2993331212186734e-36	2.352807792692868e-40
279.4008	0.009256295669853337	4.3398215571553715e-31	3.784650939983912e-20	1.9541414110423287e-35	2.629556184927614e-39
279.5272	0.009371078933592462	1.405603734576139e-29	2.0252847635178868e-19	2.8093087445756443e-34	2.8445779277743227e-38
279.6536	0.009488743841913084	4.16667727629375e-28	1.0490247549385605e-18	3.860565789017597e-33	2.9784656333369624e-37
279.78	0.009609400256814088	1.1304536437587677e-26	5.259261370508065e-18	5.071196609979198e-32	3.0186080603035374e-36
279.9064	0.009733163695029037	2.8070592789402e-25	2.5521320924584738e-17	6.367631800629054e-31	2.9611488419430604e-35
280.0328	0.009860155696471121	6.379495600407228e-24	1.1987287439024948e-16	7.642816656430613e-30	2.8115973445547472e-34
280.1592	0.00999050422185658	1.3269575584979657e-22	5.449768648801592e-16	8.768734965221777e-29	2.5839576270536736e-33
280.2856	0.010124344082238066	2.526176292273177e-21	2.398140312133297e-15	9.616752741456813e-28	2.2985662580552436e-32
280.412	0.01026181740347488	4.401555776902663e-20	1.0214344217849476e-14	1.0081565127673874e-26	1.9791013867154287e-31
280.5384	0.010403074128999963	7.019152795341358e-19	4.2110050804384003e-14	1.0102653876359909e-25	1.649371308041704e-30
280.6648	0.010548272564616726	1.0244696932910875e-17	1.6803525829989484e-13	9.67722841332574e-25	1.3304795515721267e-29
280.7912	0.010697579969482687	1.3685146984683617e-16	6.49014570389053e-13	8.860832228178024e-24	1.0388129364415285e-28
280.9176	0.010851173197910147	1.6731533582844488e-15	2.426318737687481e-12	7.755432804147309e-23	7.850654607503348e-28
281.044	0.011009239397154686	1.8722246750969768e-14	8.779719355412038e-12	6.488518823089782e-22	5.742668787426424e-27
281.1704	0.011171976766972016	1.9174149631263391e-13	3.0750543207143694e-11	5.18911269090235e-21	4.0659407255275914e-26
281.2968	0.011339595387412986	1.797257033071474e-12	1.0424718259676887e-10	3.966876132090707e-20	2.7864271545271906e-25
281.4232	0.011512318122116748	1.541843177822552e-11	3.4207019671026884e-10	2.8987594723627796e-19	1.848305351318276e-24
281.5497	0.0116905246579458	1.2125480646717423e-10	1.087419167449815e-09	2.0278873542759777e-18	1.1884267403910021e-23
281.6761	0.011874184901932797	8.713054054779699e-10	3.34283887838561e-09	1.3539663655529515e-17	7.385263446474433e-23
281.8025	0.012063705114861639	5.730305630899586e-09	9.946568585104794e-09	8.641316834519058e-17	4.442208566826013e-22
281.9289	0.012259370159727228	3.449221590477263e-08	2.8646429235091343e-08	5.271812865507036e-16	2.586254593271697e-21
282.0553	0.012461483657586137	1.9002044810260003e-07	7.985591402025228e-08	3.07431275049698e-15	1.4574141476661657e-20
282.1817	0.01267036955657628	9.581103066880759e-07	2.1546813429343986e-07	1.7137367532442997e-14	7.949394747827211e-20
282.3081	0.012886373861017347	4.421469344956143e-06	5.627278298649482e-07	9.131627330526374e-14	4.1968603891209345e-19
282.4345	0.013109866539964219	1.8674700984525032e-05	1.4225027442526716e-06	4.651148991129482e-13	2.1446397819794358e-18
282.5609	0.013341243637311956	7.218993109118277e-05	3.4805446410999656e-06	2.2645417284018022e-12	1.0607757167823718e-17
282.6873	0.013580929608712896	0.00025540860788719787	8.242912318585796e-06	1.0539218486343516e-11	5.0784614180108047e-17
282.8137	0.013829379914249623	0.0008270473316135007	1.8895288551078628e-05	4.688614127963726e-11	2.353315318813492e-16
282.9401	0.014087083900104644	0.0024511005744454624	4.192429353745828e-05	1.9938320817394626e-10	1.0555224205961347e-15
283.0665	0.014354568007493454	0.006648563650415181	9.003624082277007e-05	8.104769565060539e-10	4.5824124891116414e-15
283.1929	0.014632399353026826	0.016505567542651704	0.00018715797239786578	3.149203802385365e-09	1.925574267462324e-14
283.3193	0.014921189731610092	0.037503260409380595	0.00037656390187359583	1.1696848548727486e-08	7.831874933186345e-14
283.4457	0.015221600101175289	0.07799082618857597	0.0007333451356574788	4.152837811290327e-08	3.083263133217416e-13
283.5721	0.015534345618243624	0.1484410264218614	0.0013823484256339494	1.409383158039635e-07	1.1748835223423286e-12
283.6985	0.01586020130482765	0.2585832017279119	0.0025221215054418086	4.572157565615996e-07	4.3332965604544306e-12
283.8249	0.016200008440912295	0.41227082319944386	0.00445403745385998	1.4178206706760977e-06	1.546968205228649e-11
283.9513	0.016554681793159737	0.6015902992195103	0.007613442997726539	4.202709993518266e-06	5.345443453930659e-11
284.0777	0.016925217810178247	0.8034428325009426	0.012596436819818486	1.1908184247424695e-05	1.7878269030013123e-10
284.2041	0.017312703938420517	0.982075935033401	0.02017222024860081	3.2252967008200106e-05	5.787707479413731e-10
284.3305	0.01771832924146151	1.098679673186629	0.031267925341810034	8.350294700705317e-05	1.8135396462180314e-09
284.4569	0.018143396540243818	1.1249495396034324	0.046911984780391235	0.00020665310619059644	5.500306765701387e-09
284.5833	0.01858933633435226	1.0542192134468173	0.0681252212160007	0.000488866272694711	1.6146788097821364e-08
284.7097	0.0190577228164141	0.9042005024362408	0.0957571958501967	0.001105468108674188	4.588014230404919e-08
284.8362	0.01955069211435239	0.7096367417183065	0.13030901499214842	0.0023909332594768584	1.2628295806114133e-07
284.9626	0.020069386129510036	0.5098135145877596	0.17159534645969424	0.004939967633851336	3.3616377066231494e-07
285.089	0.020616313355158355	0.33521429214450676	0.2187136690977142	0.009756381128028234	8.661566479222127e-07
285.2154	0.02119383992959736	0.20172960675365878	0.26982719772233915	0.018418803528466858	2.1601372993742803e-06
285.3418	0.021804603559628027	0.1111098827036453	0.32220694427771807	0.03323855055515201	5.214415635486208e-06
285.4682	0.022451553565006034	0.05601078616569948	0.37241181067397333	0.057336442441736524	1.2183422670267244e-05
285.5946	0.02313799821084855	0.025842027239870138	0.41663079912489503	0.09454257185111081	2.7553219581995838e-05
285.721	0.023867660920767142	0.010912328304718935	0.45114762355882465	0.1490157200652369	6.0313533395349885e-05
285.8474	0.024644747373277376	0.00421739422789701	0.4728521333691638	0.22451469044540595	0.00012778991073858156
285.9738	0.02547402601610888	0.001491787305640943	0.47970186609450693	0.32334447476959455	0.0002620702591364206
286.1002	0.02636092522918969	0.0004829537551715231	0.47103897085608143	0.4451374456295606	0.0005202095082806447
286.2266	0.027311651285412436	0.00014310016002461924	0.44769438490902735	0.5857749805785334	0.0009994894400728069
286.353	0.028333332480226032	3.880704942409044e-05	0.41185641201918977	0.7368439316122561	0.0018587351445318806
286.4794	0.029434196442086984	9.63201300281047e-06	0.3667324944323371	0.8859887511050161	0.00334577080712801
286.6058	0.03062378986122009	2.188061017401314e-06	0.3160765887383811	1.0183308682969818	0.005829270931439211
286.7322	0.03191325292397676	4.54922827246611e-07	0.26367845364756554	1.118813281111463	0.009830410884680828
286.8586	0.03331566496669062	8.656691931335742e-08	0.2129101338635428	1.1749904087250334	0.016046062397024153
286.985	0.03484648379111702	1.507655538358306e-08	0.16640156224914565	1.179557275986139	0.025351558280069825
287.1114	0.03652410950606291	2.4031906441687506e-09	0.125880321091179	1.131909617623346	0.038768608921185964
287.2378	0.03837061589306047	3.5059866161947047e-10	0.0921717134791283	1.0382751748133945	0.05738457287290694
287.3642	0.04041271003598381	4.681318773317964e-11	0.06532461466987437	0.9103768261462896	0.08221469786948993
287.4906	0.04268300732033865	5.720870393138727e-12	0.04481211362934027	0.7630235144091514	0.11401005449331891
287.617	0.045221748780907886	6.39870273536327e-13	0.02975454933794338	0.6113116237685262	0.15302987297517306
287.7434	0.04807914923232642	6.550247234912471e-14	0.01912276559488001	0.4681611695529773	0.19881477620431676
287.8698	0.05131866131602656	6.1370460555873706e-15	0.0118956287708489	0.34271737988226947	0.25001178219547937
287.9962	0.05502159621250007	5.262559324019999e-16	0.007162480953539378	0.23981970937803845	0.3043068087595155
288.1227	0.059297437939319096	4.1217433281397715e-17	0.004172418075075311	0.16035987033068555	0.3585526655323985
288.2491	0.06427977483448041	2.960465467542857e-18	0.0023535934425089737	0.1025285811991766	0.4088572459555089
288.3755	0.07016136316798746	1.946144072085245e-19	0.001285033498310343	0.06266170428006516	0.45126309613397286
288.5019	0.07720444254319586	1.1709164516787873e-20	0.0006791048452608372	0.0366072800518163	0.4820891031241635
288.6283	0.08578127653715835	6.447817852807852e-22	0.0003473750205816988	0.020442816228420053	0.4984988809140799
288.7547	0.0964363463564247	3.249642193099636e-23	0.00017198862258891386	0.010912443077269067	0.4989309402842689
288.8811	0.10999365340468474	1.4989745578955792e-24	8.242144563760073e-05	0.005568154304838476	0.4833436999025768
289.0075	0.12774887238615615	6.328326975734088e-26	3.823139220440709e-05	0.0027158672400999532	0.4532220846393739
289.1339	0.15182420879677852	2.4452287388150528e-27	1.7164824811533452e-05	0.0012662335457607021	0.41134426080608993
289.2603	0.18582588444389503	8.647409080846041e-29	7.459298963082757e-06	0.0005643221503683897	0.3613592672598773
289.3867	0.2359457566835881	2.7989068806189063e-30	3.137588817788372e-06	0.00024040770547051937	0.30726445846353795
289.5131	0.3118549254718643	8.29138014354976e-32	1.2774191420427275e-06	9.789886876756181e-05	0.25288602813493155
289.6395	0.4220865935057936	2.2480250001095794e-33	5.033964950061646e-07	3.810789566408506e-05	0.20145438232158377
289.7659	0.5540804870202629	5.578422171958627e-35	1.9201109812267207e-07	1.4179478725807401e-05	0.15533451989222583
