*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH3COOH
* Name: Acetic acid
* Edge: C 1s
* Alpha Formula: C2H4O2
* Data Source: Hitchcock
* Filename:  ai-0cckk.os
* Ref. Code: RI&88
* Write Date: 93/06/10
* Reference: J. El. Spec. 47 (88) 53.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0aic.    name2- 0aic.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   274.9920      -255.2830     -8.3515070E-04
   275.1320      -470.1640      2.0866870E-03
   275.2720      -305.0650     -5.8891080E-05
   275.4120       480.5240      2.3430610E-03
   275.5510       20.25030     -3.7574330E-03
   275.6910      -192.3650     -1.3992440E-03
   275.8310      -236.1060     -7.5760510E-04
   275.9710       257.3840     -4.1621410E-04
   276.1110       89.40070     -2.6178940E-03
   276.2510       360.1490      1.0786430E-03
   276.3900       72.94490     -2.7326090E-03
   276.5300      -126.9830     -1.9504860E-03
   276.6700      -199.7260     -9.1424120E-04
   276.8100       304.1080      5.5174140E-04
   276.9500      -166.4320     -1.2537960E-03
   277.0900       286.9800      4.3376260E-04
   277.2290       299.7520      6.6333530E-04
   277.3690       109.9100     -1.8562390E-03
   277.5090      -63.25220     -2.4359030E-03
   277.6490      -256.6540      2.4832790E-04
   277.7890       249.3580      2.0551270E-04
   277.9290      -269.9250      5.4230100E-04
   278.0680       139.5960     -1.1797860E-03
   278.2080       16.91050     -2.8008900E-03
   278.3480      -300.7940      1.1345570E-03
   278.4880       163.6500     -6.8565730E-04
   278.6280      -160.1610     -6.7811700E-04
   278.7680      -269.1300      8.7233520E-04
   278.9070       .9512140     -2.7545260E-03
   279.0470       138.7810     -8.0631010E-04
   279.1870       26.46630     -2.2971590E-03
   279.3270       55.09230     -1.8491920E-03
   279.4670      -8.462620     -2.4384540E-03
   279.6070       17.29680     -2.2631470E-03
   279.7460      -265.8980      1.2267460E-03
   279.8860       397.6260      3.1070110E-03
   280.0260      -154.8240     -1.9759650E-04
   280.1660      -682.0680      7.1706250E-03
   280.3060       179.5020      2.5639110E-04
   280.4450       5.172920     -2.1109680E-03
   280.5850      -491.5000      4.7094640E-03
   280.7250       38.04320     -1.5460260E-03
   280.8650       83.46030     -8.5862870E-04
   281.0050       114.4170     -3.7168170E-04
   281.1450      1.4199700E-02 -1.9150980E-03
   281.2840      -554.0110      5.8882950E-03
   281.4240       186.8250      8.0803150E-04
   281.5640       95.09580     -4.2147770E-04
   281.7040       277.4110      2.1924800E-03
   281.8440      -117.9640      1.0200030E-05
   281.9840      -34.85750     -1.1031050E-03
   282.1230       106.8360     -3.5659870E-05
   282.2630       359.4960      3.5811700E-03
   282.4030       79.68260     -3.0776010E-04
   282.5430      -80.42240     -2.4215660E-04
   282.6830      -229.0370      1.9146080E-03
   282.8230      -175.4060      1.2128990E-03
   282.9620       104.3150      2.6178320E-04
   283.1020      -268.2610      2.6432730E-03
   283.2420      -179.6740      1.4434140E-03
   283.3820       285.7610      3.0085540E-03
   283.5220      -22.71800     -6.7654190E-04
   283.6620       505.4250      6.2554150E-03
   283.8010      -130.9530      9.7600830E-04
   283.9410       117.0540      8.3388330E-04
   284.0810      -80.63280      3.6944560E-04
   284.2210      -56.89480      8.5421760E-05
   284.3610      -184.0010      1.9613850E-03
   284.5010       2.530930     -5.8347770E-04
   284.6400       402.3820      5.2103560E-03
   284.7800       126.6610      1.3089950E-03
   284.9200       313.4230      4.0521620E-03
   285.0600       375.7440      5.0090660E-03
   285.2000       369.8100      4.9839570E-03
   285.3400       542.2960      7.5336050E-03
   285.4790       482.5420      6.7329770E-03
   285.6190       389.8970      5.4553200E-03
   285.7590       180.8760      2.4899880E-03
   285.8990       556.1480      7.9865320E-03
   286.0390       505.1380      7.3099350E-03
   286.1790       633.2280      9.2330790E-03
   286.3180       1329.110      1.9415320E-02
   286.4580       1948.240      2.8502510E-02
   286.5980       2583.250      3.7840400E-02
   286.7380       5031.710      7.3649480E-02
   286.8780       7831.570       .1146661    
   287.0180       12015.60       .1760027    
   287.1570       15920.20       .2333794    
   287.2970       19409.90       .2848020    
   287.4370       22835.60       .3353950    
   287.5770       25577.20       .3760534    
   287.7170       29623.80       .4359728    
   287.8570       37521.30       .5526746    
   287.9960       57704.70       .8505452    
   288.1360       96949.20       1.430055    
   288.2760       159806.0       2.359271    
   288.4160       232998.0       3.443147    
   288.5560       287805.0       4.257402    
   288.6960       297933.0       4.411926    
   288.8350       268134.0       3.975006    
   288.9750       208838.0       3.099547    
   289.1150       153687.0       2.283785    
   289.2550       111819.0       1.663770    
   289.3950       84905.90       1.265022    
   289.5350       69803.80       1.041405    
   289.6740       60438.80       .9028769    
   289.8140       55076.00       .8238137    
   289.9540       52883.30       .7919682    
   290.0940       53937.60       .8086388    
   290.2340       55011.60       .8256371    
   290.3740       55580.00       .8350893    
   290.5130       54648.80       .8220401    
   290.6530       53477.60       .8053668    
   290.7930       53195.20       .8020249    
   290.9330       53212.50       .8031896    
   291.0730       53367.50       .8064314    
   291.2130       53537.80       .8099047    
   291.3520       54678.20       .8280349    
   291.4920       53958.90       .8180889    
   291.6320       53647.30       .8142911    
   291.7720       54322.60       .8254355    
   291.9120       52502.20       .7987506    
   292.0520       51002.40       .7768714    
   292.1910       50363.60       .7680269    
   292.3310       50272.80       .7675121    
   292.4710       50552.40       .7726328    
   292.6110       51002.20       .7803606    
   292.7510       53121.70       .8135922    
   292.8910       57765.60       .8854730    
   293.0300       63441.00       .9732729    
   293.1700       70853.30       1.087862    
   293.3100       78639.10       1.208418    
   293.4500       83156.40       1.279067    
   293.5900       81088.10       1.248693    
   293.7290       76754.60       1.183407    
   293.8690       73008.80       1.127040    
   294.0090       73333.70       1.133286    
   294.1490       76022.60       1.176013    
   294.2890       79703.00       1.234137    
   294.4290       80625.40       1.249752    
   294.5680       80366.40       1.247100    
   294.7080       80840.90       1.255810    
   294.8480       81100.30       1.261207    
   294.9880       81119.20       1.262876    
   295.1280       80505.70       1.254719    
   295.2680       81262.90       1.267869    
   295.4070       82469.20       1.288028    
   295.5470       83592.60       1.306946    
   295.6870       85505.30       1.338218    
   295.8270       88048.90       1.379410    
   295.9670       88735.00       1.391636    
   296.1070       89796.20       1.409760    
   296.2460       90903.00       1.428620    
   296.3860       92285.30       1.451857    
   296.5260       94164.40       1.482936    
   296.6660       94629.80       1.491859    
   296.8060       97055.70       1.531647    
   296.9460       96695.70       1.527630    
   297.0850       96565.80       1.527217    
   297.2250       98862.10       1.565115    
   297.3650       98492.90       1.560967    
   297.5050       98271.90       1.559156    
   297.6450       96804.20       1.537597    
   297.7850       95788.10       1.523145    
   297.9240       96132.50       1.530241    
   298.0640       93662.40       1.492651    
   298.2040       93401.50       1.490112    
   298.3440       92239.60       1.473222    
   298.4840       90900.60       1.453478    
   298.6240       91939.80       1.471621    
   298.7630       88118.00       1.412170    
   298.9030       87806.80       1.408718    
   299.0430       85017.40       1.365604    
   299.1830       83632.80       1.344902    
   299.3230       82975.10       1.335808    
   299.4630       81266.90       1.309830    
   299.6020       79556.10       1.283747    
   299.7420       77939.10       1.259124    
   299.8820       77207.90       1.248713    
   300.0220       77200.40       1.249945    
   300.1620       76053.00       1.232781    
   300.3020       75540.10       1.225829    
