*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH3COOH
* Name: Acetic acid
* Edge: O 1s
* Alpha Formula: C2H4O2
* Data Source: Hitchcock
* Filename:  ai-0ookk.os
* Ref. Code: RI&88
* Write Date: 93/06/10
* Reference: J. El. Spec. 47 (88) 53.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0aio1.     name2- 0aio.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   517.6670       2284.000      4.7797310E-04
   517.8070       2335.000     -1.1037950E-02
   517.9470       2408.000      1.5827920E-04
   518.0870       2369.000     -7.7823490E-03
   518.2270       2265.000      2.9366670E-03
   518.3670       2326.000     -1.0773530E-02
   518.5070       2454.000      1.2385400E-02
   518.6470       2317.000     -9.6567460E-03
   518.7870       2256.000      3.2300340E-03
   518.9270       2297.000     -6.1363200E-03
   519.0670       2320.000     -1.1577240E-02
   519.2070       2395.000      2.2624960E-03
   519.3470       2301.000     -8.2669220E-03
   519.4870       2338.000     -9.1050530E-03
   519.6270       2315.000     -1.2169450E-02
   519.7670       2335.000     -8.6768710E-03
   519.9070       2308.000     -1.1476460E-02
   520.0470       2377.000      1.6017760E-03
   520.1870       2285.000     -7.2754160E-03
   520.3270       2283.000     -7.2545870E-03
   520.4670       2296.000     -1.0522880E-02
   520.6070       2289.000     -9.4042030E-03
   520.7470       2347.000     -2.2602460E-03
   520.8880       2369.000      3.1106140E-03
   521.0280       2230.000      2.3063250E-03
   521.1680       2345.000     -1.0764650E-03
   521.3080       2257.000     -4.4520570E-03
   521.4480       2273.000     -8.3823730E-03
   521.5880       2302.000     -8.9160920E-03
   521.7280       2191.000      8.8366800E-03
   521.8680       2286.000     -1.1366690E-02
   522.0080       2264.000     -8.0568430E-03
   522.1480       2271.000     -1.0013060E-02
   522.2880       2350.000      4.3442370E-03
   522.4280       2289.000     -8.5697110E-03
   522.5680       2190.000      6.6208910E-03
   522.7080       2328.000      1.1053940E-03
   522.8480       2236.000     -4.3477360E-03
   522.9880       2280.000     -8.4228710E-03
   523.1280       2308.000     -1.7041380E-03
   523.2680       2211.000     -4.6443420E-05
   523.4080       2268.000     -9.4821800E-03
   523.5480       2196.000      2.4591000E-03
   523.6880       2344.000      8.4029010E-03
   523.8280       2368.000      1.4254180E-02
   523.9680       2259.000     -9.3537340E-03
   524.1080       2199.000      1.7668390E-04
   524.2480       2352.000      1.2323080E-02
   524.3880       2208.000     -2.6290480E-03
   524.5280       2160.000      7.6153620E-03
   524.6680       2163.000      6.5501100E-03
   524.8080       2284.000     -6.2930680E-04
   524.9480       2309.000      5.4547750E-03
   525.0880       2165.000      4.9059080E-03
   525.2280       2201.000     -3.4991540E-03
   525.3680       2253.000     -5.4021680E-03
   525.5080       2135.000      1.0381340E-02
   525.6480       2234.000     -8.5802240E-03
   525.7880       2246.000     -5.3831530E-03
   525.9280       2272.000      9.3549330E-04
   526.0680       2075.000      2.2167820E-02
   526.2080       2304.000      9.1276710E-03
   526.3480       2271.000      2.2961160E-03
   526.4880       2247.000     -2.5326950E-03
   526.6280       2261.000      1.1178190E-03
   526.7680       2197.000     -7.0303920E-03
   526.9080       2184.000     -4.5279240E-03
   527.0480       2146.000      3.5662290E-03
   527.1880       2232.000     -3.2626530E-03
   527.3280       2142.000      3.6708010E-03
   527.4680       2237.000     -1.0986850E-03
   527.6080       2230.000     -2.1423300E-03
   527.7480       2193.000     -8.9385210E-03
   527.8880       2214.000     -4.6828550E-03
   528.0280       2181.000     -7.0455160E-03
   528.1680       2214.000     -3.6436600E-03
   528.3080       2200.000     -6.2641580E-03
   528.4480       2152.000     -1.7309780E-03
   528.5880       2086.000      1.2690880E-02
   528.7280       2161.000     -4.5416260E-03
   528.8680       2257.000      8.6162950E-03
   529.0080       2197.000     -4.3478720E-03
   529.1480       2172.000     -8.1997890E-03
   529.2880       2292.000      1.8059670E-02
   529.4280       2184.000     -5.7199870E-03
   529.5680       2164.000     -7.5860040E-03
   529.7080       2353.000      3.3375260E-02
   529.8480       2194.000     -1.9210240E-03
   529.9880       2167.000     -7.4904930E-03
   530.1280       2221.000      5.2018300E-03
   530.2680       2312.000      2.6249960E-02
   530.4090       2338.000      3.2643640E-02
   530.5490       2366.000      3.9493530E-02
   530.6890       2455.000      6.0127100E-02
   530.8290       2658.000       .1065370    
   530.9690       2970.000       .1776242    
   531.1090       3417.000       .2792964    
   531.2490       4004.000       .4127225    
   531.3890       4960.000       .6297678    
   531.5290       5680.000       .7935586    
   531.6690       6390.000       .9552110    
   531.8090       6894.000       1.070314    
   531.9490       7010.000       1.097549    
   532.0890       6693.000       1.026610    
   532.2290       6262.000       .9297491    
   532.3690       5523.000       .7629096    
   532.5090       4829.000       .6061482    
   532.6490       4066.000       .4335905    
   532.7890       3743.000       .3608757    
   532.9290       3221.000       .2428635    
   533.0690       2960.000       .1841137    
   533.2090       2791.000       .1462474    
   533.3490       2629.000       .1099438    
   533.4890       2572.000      9.7517070E-02
   533.6290       2519.000      8.5990250E-02
   533.7690       2639.000       .1138763    
   533.9090       2879.000       .1691398    
   534.0490       3041.000       .2066596    
   534.1890       3315.000       .2697614    
   534.3290       3581.000       .3310857    
   534.4690       4165.000       .4650661    
   534.6090       4480.000       .5377081    
   534.7490       4950.000       .6458262    
   534.8890       5346.000       .7371143    
   535.0290       5636.000       .8042366    
   535.1690       5681.000       .8153545    
   535.3090       5574.000       .7916937    
   535.4490       5503.000       .7762549    
   535.5890       5161.000       .6987282    
   535.7290       4660.000       .5847052    
   535.8690       4236.000       .4882413    
   536.0090       3942.000       .4215125    
   536.1490       3794.000       .3882255    
   536.2890       3573.000       .3381580    
   536.4290       3542.000       .3316752    
   536.5690       3601.000       .3458596    
   536.7090       3763.000       .3837225    
   536.8490       4001.000       .4390845    
   536.9890       4124.000       .4680432    
   537.1290       4341.000       .5186498    
   537.2690       4425.000       .5386875    
   537.4090       4565.000       .5716350    
   537.5490       4677.000       .5981573    
   537.6890       4678.000       .5991178    
   537.8290       4610.000       .5841790    
   537.9690       4604.000       .5835209    
   538.1090       4750.000       .6179336    
   538.2490       4852.000       .6422135    
   538.3890       4925.000       .6598209    
   538.5290       4926.000       .6608061    
   538.6690       4972.000       .6721914    
   538.8090       5092.000       .7006888    
   538.9490       5111.000       .7058568    
   539.0890       5285.000       .7468826    
   539.2290       5208.000       .7298499    
   539.3690       5147.000       .7165049    
   539.5090       5262.000       .7439183    
   539.6490       5241.000       .7398397    
   539.7890       5361.000       .7684361    
   539.9300       5275.000       .7492901    
   540.0700       5321.000       .7607496    
   540.2100       5214.000       .7367077    
   540.3500       5318.000       .7616311    
   540.4900       5260.000       .7489545    
   540.6300       5340.000       .7683241    
   540.7700       5317.000       .7637702    
   540.9100       5366.000       .7759525    
   541.0500       5207.000       .7397633    
   541.1900       5377.000       .7801011    
   541.3300       5322.000       .7680925    
   541.4700       5434.000       .7949663    
   541.6100       5344.000       .7748002    
   541.7500       5400.000       .7886407    
   541.8900       5320.000       .7707863    
   542.0300       5308.000       .7687768    
   542.1700       5308.000       .7695641    
   542.3100       5308.000       .7703514    
   542.4500       5362.000       .7837512    
   542.5900       5369.000       .7861769    
   542.7300       5369.000       .7869692    
   542.8700       5292.000       .7697583    
