energy	step1_	g1_	g2_	g3_	g4_	g5_
279.6467	0.013202925548635003	3.4710520259847166e-36	2.3033889471782372e-43	8.391025295751728e-160	1.8112207024031415e-50	9.980124387838446e-66
279.841	0.013508467945530789	9.456806207028963e-34	3.591729723042853e-41	2.0246673368296322e-153	1.1177901221762734e-48	1.1468662682800176e-63
280.0468	0.01384789398533226	2.8940482812961254e-31	6.527352689399626e-39	8.385980220201122e-147	8.095184250528223e-47	1.6045265567582392e-61
280.2411	0.014184377186596098	5.247335140163883e-29	7.729574262300212e-37	1.086135228115344e-140	4.2629868015714574e-45	1.5733382134152824e-59
280.4469	0.014559066531259268	1.0432359402220411e-26	1.049535772738381e-34	2.3274624834477114e-134	2.6097610506551593e-43	1.8607006433697732e-57
280.6413	0.014931632962096097	1.2618695121898098e-24	9.459943260858365e-33	1.6292102875986464e-128	1.1749740349115602e-41	1.5603819487981978e-55
280.847	0.015347179804896305	1.6258910030432927e-22	9.575198322774905e-31	1.793913908535018e-122	6.068668226679393e-40	1.556412638967023e-53
281.0414	0.01576171353620609	1.3085248670258571e-20	6.553294363615631e-29	6.738269919121944e-117	2.331222973462163e-38	1.1136329013574172e-51
281.2472	0.016225654633634012	1.0978520309471902e-18	4.966908849288936e-27	3.864318597223212e-111	1.0197480990947211e-36	9.4106322669057e-50
281.4415	0.01668942907949411	5.866534544606336e-17	2.5758536619607753e-25	7.739443177560215e-106	3.3362455070067287e-35	5.732866544423948e-48
281.6473	0.017210438537371142	3.1976131138467064e-15	1.458666272983544e-23	2.2963224379702427e-100	1.2336369778654695e-33	4.095141083196995e-46
281.8416	0.017733062891076457	1.1371386044770723e-13	5.744775510706784e-22	2.4686588647022448e-95	3.443902378853602e-32	2.128728395800912e-44
282.0474	0.01832234485925832	4.026615327084805e-12	2.4306143542621735e-20	3.7895083299526286e-90	1.0764664427824796e-30	1.2853978717762157e-42
282.2418	0.01891607675351581	9.544702719542483e-11	7.28215480399361e-19	2.1989692667756654e-85	2.5683982716135286e-29	5.712501604998533e-41
282.4475	0.019587653363150936	2.1922318721166934e-09	2.2980873965446285e-17	1.7366924443690414e-80	6.775358128870434e-28	2.910214012498762e-39
282.6419	0.02026762611967603	3.4575414625706034e-08	5.22794490456991e-16	5.407687177407911e-76	1.3792945611312105e-26	1.103510781777246e-37
282.8477	0.02104080220956628	5.16668788967228e-07	1.23469258539573e-14	2.2215652741548803e-71	3.0805553766046445e-25	4.761197938225752e-36
283.042	0.021826846594229954	5.415075380057785e-06	2.129572661198908e-13	3.6931250564679497e-67	5.3428172716055504e-24	1.5376074312383329e-34
283.1418	0.022253828441224754	1.676223027807211e-05	8.728994581333015e-13	4.834115956030013e-65	2.2450915355704355e-23	8.891713306976037e-34
283.2447	0.022711894874649308	5.0883534478243274e-05	3.602743026853815e-12	6.772471195306837e-63	9.6565186822242e-23	5.315643096234694e-33
283.3476	0.023189180967246203	0.00014612853872922367	1.4322655740607196e-11	8.717135955239873e-61	4.064643382520313e-22	3.1098647857171334e-32
283.4505	0.02368691998626582	0.00039701335380017046	5.484474544839113e-11	1.0308536719192035e-58	1.6743245368127983e-21	1.7805022635320333e-31
283.5419	0.024147264099826038	0.0009207969130470308	1.751568167210974e-10	6.660394975305778e-57	5.781964780283308e-21	8.237253505097405e-31
283.6448	0.02468737579111019	0.002252944794713545	6.248851825470725e-10	6.711651588255014e-55	2.2865048020153416e-20	4.527546688438321e-30
283.7477	0.025252150216441005	0.005214942786872689	2.147309345716846e-09	6.213772840209242e-53	8.848794802475391e-20	2.4353353552622145e-29
283.8506	0.025843312266348062	0.011419861817168748	7.107390976826897e-09	5.2854003775909063e-51	3.3512857601529136e-19	1.2819466166984419e-28
283.942	0.026392056703030076	0.021868954746478726	1.99425288632968e-08	2.548431458972067e-49	1.0740771418836596e-18	5.50424878227324e-28
284.045	0.027038988225398908	0.04315497297075058	6.156372772922278e-08	1.8547765423609e-47	3.910052028302241e-18	2.7859152526668205e-27
284.1478	0.02771699798783933	0.08046299133773384	1.826652942731261e-07	1.230061930914104e-45	1.3895188513946186e-17	1.3756079707688138e-26
284.2507	0.02843050325628771	0.142019736396633	5.22607639163558e-07	7.525733112849356e-44	4.8384017154109996e-17	6.657573867227422e-26
284.3422	0.02909645181136744	0.2246630271009469	1.289571612855703e-06	2.7184577229149562e-42	1.4408807885263242e-16	2.6569609823923234e-25
284.4451	0.029883537435101137	0.35708971981575166	3.4372495869820034e-06	1.4171468908610002e-40	4.816548006515514e-16	1.2344595079140962e-24
284.548	0.030714253869046193	0.5369519099621872	8.824657874346962e-06	6.787404049780471e-39	1.575647505235187e-15	5.612855371363136e-24
284.6508	0.03159144250687429	0.7636048441212857	2.1803773728218317e-05	2.9758414335814893e-37	5.038613298538279e-15	2.493909501267775e-23
284.7423	0.032415304138412815	0.9971695236283122	4.726262829353065e-05	8.019302444760963e-36	1.3924830177344687e-14	9.236397695468953e-23
284.8452	0.033394502118921476	1.277485458830418	0.00010888989868636463	3.0069637608239573e-34	4.279646454885292e-14	3.9455217314651477e-22
284.9481	0.034434463761192746	1.5483004383488226	0.0002416453947990454	1.0358964509494214e-32	1.2871857088827735e-13	1.6493832726835278e-21
285.051	0.035541001739539446	1.7752797969569942	0.0005165241798463466	3.2786952092680417e-31	3.788696843155633e-13	6.7476735346259894e-21
285.1424	0.036584994582703645	1.9135442363200834	0.0009828350583385265	6.569626128283755e-30	9.706673165465524e-13	2.3160008503810934e-20
285.2453	0.037835889775192366	1.975907922257278	0.0019572868785264976	1.7718688457455405e-28	2.7428277565032357e-12	9.09600464320055e-20
285.3482	0.03917490571832316	1.930221733118427	0.0037544777449657262	4.390551131808958e-27	7.584762656223454e-12	3.496052636711525e-19
285.4511	0.040611641191482084	1.7838568588820383	0.006936905668079645	9.995466231987264e-26	2.052583273112835e-11	1.3149843454782978e-18
285.5425	0.041978630376285964	1.5875965096382507	0.01159668273150927	1.494633695987707e-24	4.880558793542813e-11	4.1888368709380334e-18
285.6454	0.04363135733779089	1.3213247162563022	0.019962353464812066	2.899512613328557e-23	1.2679666217785732e-10	1.5125702346749412e-17
285.7483	0.04541863576844912	1.0403782992951385	0.033098698084378986	5.167872442915696e-22	3.223750512246342e-10	5.345064896932428e-17
285.8512	0.04735746616197439	0.774970754540725	0.05286050238789668	8.462430573204586e-21	8.021034006607635e-10	1.8484416505320406e-16
285.9427	0.04922486938436854	0.5692683961235924	0.07766992716257565	9.467803378285145e-20	1.7715743379407242e-09	5.4711399568344e-16
286.0456	0.051507425293212894	0.38186012978811457	0.11556309483099592	1.321000595338226e-18	4.231542199057393e-09	1.8163559040182328e-15
286.1485	0.05400982610804406	0.2423281464423057	0.16561765635566522	1.6933757900180783e-17	9.89129836534959e-09	5.901187391087989e-15
286.2513	0.056762268400744775	0.14556023361252995	0.22855311754780214	1.9896525062156182e-16	2.2608855212814865e-08	1.8741724596691608e-14
286.3428	0.05945646863415316	0.0882656903145586	0.2950021988870268	1.6606739796142191e-15	4.6340460701853986e-08	5.1479507322524064e-14
286.4457	0.06280491622338413	0.04772219284850311	0.37939852637459837	1.66662341924451e-14	1.0176765936647748e-07	1.5713308987123934e-13
286.5486	0.06654719550610932	0.024409628140632657	0.4699884994989004	1.536693058103788e-13	2.1871297869253065e-07	4.693709962193908e-13
