energy	step1_	g1_	g2_	g3_
530.2891	0.028119667925201906	2.7351601120574254e-13	8.56843054988093e-24	4.5049844187674345e-36
530.392	0.02848313343586062	8.256617464918074e-13	3.832498792330595e-23	2.8884840057217343e-35
530.4949	0.02885608492907018	2.4391409862983758e-12	1.6775601572923214e-22	1.8124330435810622e-34
530.5979	0.02923927426652011	7.05879332755374e-12	7.196129172177655e-22	1.1148867020617194e-33
530.6894	0.02958828664496585	1.7816044267147366e-11	2.5764572314955425e-21	5.4982437370147305e-33
530.7924	0.029991230245079242	4.9493577731391015e-11	1.0609325847910282e-20	3.2466595873071064e-32
530.8953	0.030404849737529008	1.344207677488031e-10	4.2693980488763204e-20	1.8728868585131042e-31
530.9983	0.030830410473866803	3.5760800249946896e-10	1.683583999025567e-19	1.0590771571336657e-30
531.0898	0.03121853359505267	8.37561039887779e-10	5.593545804330094e-19	4.8467350101699485e-30
531.1927	0.03166680530883886	2.1370297235419307e-09	2.114670126905355e-18	2.626640494338448e-29
531.2957	0.032128536604428375	5.340742427519739e-09	7.833592678190397e-18	1.3952977935398566e-28
531.3986	0.032603403077312035	1.3050203068001418e-08	2.836207219810668e-17	7.241687969277467e-28
531.4902	0.03303803440250841	2.8387519528680555e-08	8.755022249232104e-17	3.0802102210521477e-27
531.5931	0.03354024752484197	6.658928076378881e-08	3.0429545683037977e-16	1.5346682207465578e-26
531.696	0.03405788948949383	1.5286094238791452e-07	1.0350206464163194e-15	7.482797163545014e-26
531.799	0.03459220558987248	3.4366959287499817e-07	3.4492198266930096e-15	3.5758867009757474e-25
531.8906	0.03508159412824408	6.936561143377868e-07	9.879457644609099e-15	1.4112931503824517e-24
531.9935	0.035648047182087084	1.4959045379301773e-06	3.1568511201953555e-14	6.464488376152158e-24
532.0964	0.03623299113193123	3.1570311791013205e-06	9.871665438737807e-14	2.897786698537545e-23
532.1994	0.03683793820327895	6.524853145831358e-06	3.024193556128375e-13	1.273014898703002e-22
532.2909	0.03739244043920959	1.2211622092914307e-05	8.028887427640306e-13	4.655309258690947e-22
532.3939	0.03803682776369376	2.422753498938433e-05	2.361122540634057e-12	1.9631776989657216e-21
532.4968	0.038703013874510916	4.700748364677151e-05	6.787934416225393e-12	8.090486740556645e-21
532.5998	0.03939347957252701	8.931125020965112e-05	1.9116311016953875e-11	3.267300032133048e-20
532.6913	0.04002771011092354	0.00015510907404957993	4.709537884878847e-11	1.1087470814930178e-19
532.7943	0.040766364179588864	0.0002828918094205843	1.2731768932424256e-10	4.2982419580892444e-19
532.8972	0.04153183426377886	0.0005046158997975894	3.3650431780614014e-10	1.6285034410291886e-18
532.9887	0.04223687265650294	0.0008290361478121186	7.842352307683201e-10	5.227736070016619e-18
533.0917	0.04305949305276079	0.001420387523336502	1.9916224594631577e-09	1.903804006750177e-17
533.1946	0.04391368318597723	0.002380257697007725	4.9452184481472394e-09	6.776362496421316e-17
533.2975	0.04480215883902998	0.0039035202632485308	1.2016535582823676e-08	2.3604040679711213e-16
533.3891	0.04562359932997944	0.005953901016470916	2.6009593717627097e-08	7.03982559126457e-16
533.4921	0.04658367386337264	0.009377396654017864	6.072136554354826e-08	2.356773127367586e-15
533.595	0.047583639972411114	0.014447150559741207	1.3861262178290697e-07	7.712140874634375e-15
533.6979	0.04862704446272077	0.02178198434087341	3.0965589836880585e-07	2.4697185349248523e-14
533.7894	0.04959364976472289	0.030815905383679072	6.21441165030822e-07	6.827117662119397e-14
533.8924	0.05072826339341502	0.044618198588700086	1.3337191998223336e-06	2.1011143520610275e-13
533.9954	0.05191540927104353	0.06321879499836619	2.8010823024567343e-06	6.327892201326304e-13
534.0983	0.05315754149901764	0.0876282702730418	5.752878889386891e-06	1.8630064648199118e-12
534.1898	0.054312442907098385	0.11504033867670192	1.071357253840018e-05	4.778952464166874e-12
534.2928	0.055673242571563857	0.1531209258623782	2.1137128822776825e-05	1.3520486127688299e-11
534.3958	0.05710302989282802	0.19944172537905774	4.080888748860508e-05	3.7432513032016604e-11
534.4987	0.058605610143512815	0.2541539307495444	7.705430362206321e-05	1.0131810468850749e-10
534.5902	0.0600087105032093	0.3096215392977948	0.0001331601896535677	2.411758555179084e-10
534.6932	0.06166944879988401	0.3788461298323348	0.00024150903331692186	6.272500704005004e-10
534.7961	0.06342138287776795	0.4535448456295951	0.00042840259855352563	1.5949804483751976e-09
534.899	0.06527393918145995	0.5313650025654584	0.0007436800716391233	3.9690387530183454e-09
534.9906	0.06701478134843523	0.6007834679734174	0.0011932193563603812	8.77487096999615e-09
535.0936	0.06908433123548856	0.6757669656109231	0.0019894203640088517	2.097948991647974e-08
535.1965	0.07128076974448645	0.7437673697844696	0.0032443526826115817	4.9044730518002834e-08
535.2994	0.07361818472636278	0.8011108529224551	0.005177795443489685	1.1220316587028541e-07
535.3909	0.07582607749763136	0.8404113395392709	0.007705260890239349	2.2999417423548618e-07
535.4939	0.07847121702673472	0.8690150777712062	0.011810003899208414	5.055073155020945e-07
535.5969	0.08130227722783843	0.8793460175760269	0.017713721624629808	1.0872643183742178e-06
535.6998	0.08433588533562247	0.8707592124395532	0.025990188440123192	2.2868131284155845e-06
535.7913	0.08722381222526278	0.8476679993264443	0.0358905661679086	4.349815368190769e-06
535.8943	0.09071232846448882	0.8057651706796054	0.05056969066704048	8.788782714137737e-06
535.9973	0.094480632854696	0.7495287140662933	0.0697264197722468	1.7377356585646854e-05
536.0887	0.09808576636443303	0.6902915400326437	0.09105815861535725	3.124801884421608e-05
536.1917	0.10247778984147364	0.6164040266184178	0.1205255341551281	5.931036619005765e-05
536.2947	0.10726169129781485	0.5386361094259782	0.1561120214743805	0.00011016301269564214
536.3976	0.11248390831438024	0.4606733580501362	0.19783144153788926	0.00020012009513263552
536.4891	0.11754809983676437	0.3936685578043198	0.23981487568540283	0.00033414946449587774
536.5921	0.12378645442302927	0.3231550447952742	0.2917988760347501	0.0005830370878781814
536.695	0.13066684827713762	0.2596480973808996	0.3473914739641159	0.0009950104697726923
536.798	0.13829980328924443	0.20411205121257475	0.4047901564228409	0.001662594557507006
536.8895	0.1457988617864571	0.16185819828798353	0.4553435280291643	0.0025761126208737987
536.9924	0.15516200956850104	0.12217588079769769	0.5092737379528013	0.0041302171577449935
537.0954	0.16567264118103892	0.09022340114615823	0.5574581666669274	0.0064830863165930815
537.1984	0.1775080614873192	0.06520035974064378	0.5971320261761974	0.009958359550209366
537.2899	0.1893076000273668	0.04797825723388681	0.6233156221301818	0.014318407406988115
537.3928	0.20424645037255892	0.0332949240263195	0.6409186475213784	0.021105008887446697
537.4958	0.2212348024388689	0.022602633287313937	0.6449279565022205	0.030453818247414357
537.5988	0.24055402820170357	0.015015407778228202	0.6350626631137122	0.043002632719225754
537.6902	0.25988612399155553	0.010257585554559587	0.6151794493829207	0.05735847035260203
537.7932	0.2843690669184073	0.006541485334234256	0.5815142052369325	0.07775064248693586
537.8962	0.31185852960926386	0.004082297748829066	0.5379178037059839	0.10313533730814266
537.9991	0.34229513022454455	0.0024942648172604836	0.4869844995394734	0.13384515067788635
538.0906	0.371616393636635	0.0015805272620870248	0.43774151750570006	0.1657198408594017
538.1936	0.4065939038970734	0.0009265748545404796	0.3803851403245486	0.20650388560330638
538.2965	0.4427139397722834	0.0005318571057289877	0.3235186598623463	0.25176766256759386
538.3995	0.4789020751481912	0.000298591043399158	0.269220688385925	0.30043945105523795
538.491	0.5101440615378217	0.00017557578904594384	0.22456364734940304	0.34518923896136305
538.5939	0.5433814170391386	9.467943487498667e-05	0.17942866168015428	0.3953716643702075
538.6969	0.5740077688570414	4.993300247002334e-05	0.1402655848012785	0.4432132815924519
538.7999	0.6016649418068147	2.577014049002628e-05	0.10730192590230786	0.4862023715408542
538.8914	0.6237054771183715	1.4061545634515834e-05	0.08305522556243797	0.518377071057351
538.9943	0.64577875933009	6.971189229686469e-06	0.06101015230780253	0.5458544545411459
539.0973	0.6652356996829331	3.3797625568519707e-06	0.04384385298259746	0.5625114653178875
539.1888	0.6805420136144081	1.7445521845403259e-06	0.03210329859148832	0.5673376294833716
539.2917	0.695800708912859	8.125205398233285e-07	0.022154470654819815	0.5612408031529202
539.3947	0.7092700376682869	3.7005295830801484e-07	0.014956094299659778	0.5433178467993175
539.4977	0.7211848085594145	1.649265194167643e-07	0.009880344627746807	0.5147019168398718
539.5892	0.7306426339202313	7.899810807685627e-08	0.006713383556053677	0.48171971257233037
539.6921	0.740184104558243	3.382593863866762e-08	0.004259277762021549	0.43811169764147795
539.7951	0.748729732599588	1.4162068265206295e-08	0.002643261160450093	0.38988531445226965
539.898	0.7564000910628927	5.8073953242368285e-09	0.0016060391132951257	0.33958527374276165
539.9896	0.7625933915263073	2.5790229705885455e-09	0.0010121364305286647	0.2948852443561022
540.0925	0.7689275754486697	1.0152457012293991e-09	0.0005903592089559042	0.2465620628511812
540.1954	0.7746833127258133	3.91113168688731e-10	0.00033698374919581976	0.20175058315997033
540.2984	0.7799370690261899	1.4731018354631696e-10	0.00018813369041321092	0.161517778214494
540.39	0.7842323533222704	6.070151414469448e-11	0.00011001260481506972	0.13014199469227059
