*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H5CHO
* Name: Benzaldehyde
* Edge: C 1s
* Alpha Formula: C7H6O
* Data Source: Hitchcock
* Filename:  bn-0cckk.os
* Ref. Code: HU&92
* Write Date: 93/06/10
* Reference: J. Phys. Chem. 96 (92) 8736
* Source and Purity: Aldrich
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bnc.    name2- 0bnc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.749948E+02,  3.061000E+03,  5.395433E-03,
  2.751272E+02,  2.847000E+03, -9.065821E-03,
  2.752596E+02,  2.931000E+03, -2.340301E-03,
  2.753920E+02,  2.968000E+03,  1.022761E-03,
  2.755245E+02,  2.973000E+03,  2.083803E-03,
  2.756569E+02,  2.964000E+03,  2.122117E-03,
  2.757893E+02,  2.895000E+03, -2.164372E-03,
  2.759217E+02,  2.935000E+03,  1.346148E-03,
  2.760541E+02,  2.984000E+03,  5.494900E-03,
  2.761865E+02,  2.903000E+03,  2.720926E-04,
  2.763190E+02,  2.903000E+03,  8.606042E-04,
  2.764514E+02,  2.954000E+03,  5.117760E-03,
  2.765838E+02,  2.940000E+03,  4.668667E-03,
  2.767162E+02,  2.830000E+03, -2.752199E-03,
  2.768486E+02,  2.797000E+03, -4.622322E-03,
  2.769810E+02,  2.875000E+03,  1.552616E-03,
  2.771135E+02,  2.843000E+03, -2.711439E-04,
  2.772458E+02,  2.733000E+03, -7.796885E-03,
  2.773783E+02,  2.886000E+03,  3.833918E-03,
  2.775107E+02,  2.756000E+03, -5.192452E-03,
  2.776431E+02,  2.795000E+03, -1.890001E-03,
  2.777755E+02,  2.765000E+03, -3.644871E-03,
  2.779080E+02,  2.923000E+03,  8.380188E-03,
  2.780403E+02,  2.812000E+03,  6.620389E-04,
  2.781728E+02,  2.825000E+03,  2.037629E-03,
  2.783052E+02,  2.850000E+03,  4.291956E-03,
  2.784376E+02,  2.824000E+03,  2.780145E-03,
  2.785700E+02,  2.863000E+03,  6.059079E-03,
  2.787025E+02,  2.805000E+03,  2.160961E-03,
  2.788348E+02,  2.838000E+03,  4.987158E-03,
  2.789673E+02,  2.809000E+03,  3.213059E-03,
  2.790997E+02,  2.805000E+03,  3.284382E-03,
  2.792321E+02,  2.808000E+03,  3.869750E-03,
  2.793645E+02,  2.821000E+03,  5.195333E-03,
  2.794969E+02,  2.899000E+03,  1.136918E-02,
  2.796293E+02,  2.880000E+03,  1.030457E-02,
  2.797618E+02,  2.811000E+03,  5.488912E-03,
  2.798942E+02,  2.738000E+03,  3.536921E-04,
  2.800266E+02,  2.868000E+03,  1.043449E-02,
  2.801590E+02,  2.799000E+03,  5.581235E-03,
  2.802914E+02,  2.766000E+03,  3.418654E-03,
  2.804238E+02,  2.841000E+03,  9.384992E-03,
  2.805563E+02,  2.726000E+03,  1.022620E-03,
  2.806887E+02,  2.799000E+03,  6.841481E-03,
  2.808211E+02,  2.783000E+03,  5.935722E-03,
  2.809535E+02,  2.710000E+03,  7.024551E-04,
  2.810859E+02,  2.732000E+03,  2.661010E-03,
  2.812183E+02,  2.827000E+03,  1.016953E-02,
  2.813508E+02,  2.766000E+03,  5.821201E-03,
  2.814832E+02,  2.746000E+03,  4.581597E-03,
  2.816156E+02,  2.755000E+03,  5.548332E-03,
  2.817480E+02,  2.797000E+03,  9.036432E-03,
  2.818804E+02,  2.790000E+03,  8.780138E-03,
  2.820128E+02,  2.759000E+03,  6.679966E-03,
  2.821453E+02,  2.840000E+03,  1.316769E-02,
  2.822776E+02,  2.773000E+03,  8.293738E-03,
  2.824101E+02,  2.742000E+03,  6.174400E-03,
  2.825425E+02,  2.786000E+03,  9.826928E-03,
  2.826749E+02,  2.737000E+03,  6.308073E-03,
  2.828073E+02,  2.763000E+03,  8.573743E-03,
  2.829398E+02,  2.831000E+03,  1.409399E-02,
  2.830721E+02,  2.826000E+03,  1.396818E-02,
  2.832046E+02,  2.826000E+03,  1.422772E-02,
  2.833370E+02,  2.805000E+03,  1.285291E-02,
  2.834694E+02,  2.875000E+03,  1.855482E-02,
  2.836018E+02,  2.914000E+03,  2.185390E-02,
  2.837343E+02,  2.918000E+03,  2.242798E-02,
  2.838666E+02,  3.320000E+03,  5.410968E-02,
  2.839991E+02,  3.747000E+03,  8.783454E-02,
  2.841315E+02,  4.639000E+03,  1.580976E-01,
  2.842639E+02,  6.529000E+03,  3.068864E-01,
  2.843963E+02,  9.288000E+03,  5.243890E-01,
  2.845287E+02,  1.313600E+04,  8.282061E-01,
  2.846611E+02,  1.735500E+04,  1.162106E+00,
  2.847936E+02,  2.119700E+04,  1.467175E+00,
  2.849260E+02,  2.378000E+04,  1.673577E+00,
  2.850584E+02,  2.479100E+04,  1.756130E+00,
  2.851908E+02,  2.390900E+04,  1.688873E+00,
  2.853232E+02,  2.210100E+04,  1.547932E+00,
  2.854556E+02,  1.983900E+04,  1.370512E+00,
  2.855881E+02,  1.764100E+04,  1.197690E+00,
  2.857205E+02,  1.589500E+04,  1.060405E+00,
  2.858529E+02,  1.500900E+04,  9.913690E-01,
  2.859853E+02,  1.403800E+04,  9.153445E-01,
  2.861177E+02,  1.299200E+04,  8.331043E-01,
  2.862501E+02,  1.187500E+04,  7.449423E-01,
  2.863826E+02,  1.058200E+04,  6.424107E-01,
  2.865150E+02,  9.135000E+03,  5.272161E-01,
  2.866474E+02,  7.778000E+03,  4.189423E-01,
  2.867798E+02,  6.933000E+03,  3.516249E-01,
  2.869122E+02,  6.826000E+03,  3.436711E-01,
  2.870446E+02,  7.066000E+03,  3.637320E-01,
  2.871771E+02,  7.729000E+03,  4.180743E-01,
  2.873094E+02,  9.073000E+03,  5.277426E-01,
  2.874419E+02,  1.031600E+04,  6.295174E-01,
  2.875743E+02,  1.111500E+04,  6.954939E-01,
  2.877067E+02,  1.160600E+04,  7.365891E-01,
  2.878391E+02,  1.147700E+04,  7.272806E-01,
  2.879716E+02,  1.119500E+04,  7.054611E-01,
  2.881039E+02,  1.067100E+04,  6.638064E-01,
  2.882364E+02,  1.016100E+04,  6.231807E-01,
  2.883688E+02,  9.752000E+03,  5.907143E-01,
  2.885012E+02,  1.000000E+04,  6.120540E-01,
  2.886336E+02,  9.904000E+03,  6.051907E-01,
  2.887661E+02,  9.993000E+03,  6.135252E-01,
  2.888984E+02,  1.036100E+04,  6.448608E-01,
  2.890309E+02,  1.078500E+04,  6.809008E-01,
  2.891633E+02,  1.116800E+04,  7.136495E-01,
  2.892957E+02,  1.189300E+04,  7.747736E-01,
  2.894281E+02,  1.236100E+04,  8.147761E-01,
  2.895605E+02,  1.246800E+04,  8.249432E-01,
  2.896929E+02,  1.260200E+04,  8.373781E-01,
  2.898254E+02,  1.262400E+04,  8.405302E-01,
  2.899578E+02,  1.269100E+04,  8.474342E-01,
  2.900902E+02,  1.275000E+04,  8.536876E-01,
  2.902226E+02,  1.279200E+04,  8.585349E-01,
  2.903550E+02,  1.304400E+04,  8.809540E-01,
  2.904874E+02,  1.288000E+04,  8.685960E-01,
  2.906199E+02,  1.303400E+04,  8.828674E-01,
  2.907523E+02,  1.309700E+04,  8.895329E-01,
  2.908847E+02,  1.300700E+04,  8.833493E-01,
  2.910171E+02,  1.307500E+04,  8.904485E-01,
  2.911495E+02,  1.333000E+04,  9.133307E-01,
  2.912819E+02,  1.354000E+04,  9.324726E-01,
  2.914144E+02,  1.353700E+04,  9.336578E-01,
  2.915468E+02,  1.400400E+04,  9.746309E-01,
  2.916792E+02,  1.396300E+04,  9.726480E-01,
  2.918116E+02,  1.443500E+04,  1.014204E+00,
  2.919440E+02,  1.461400E+04,  1.030964E+00,
  2.920764E+02,  1.505400E+04,  1.069982E+00,
  2.922089E+02,  1.520200E+04,  1.084216E+00,
  2.923412E+02,  1.584100E+04,  1.140389E+00,
  2.924737E+02,  1.601900E+04,  1.157315E+00,
  2.926061E+02,  1.662900E+04,  1.211253E+00,
  2.927385E+02,  1.726600E+04,  1.267648E+00,
  2.928709E+02,  1.747800E+04,  1.287722E+00,
  2.930034E+02,  1.787300E+04,  1.323572E+00,
  2.931357E+02,  1.801600E+04,  1.337830E+00,
  2.932682E+02,  1.816900E+04,  1.352987E+00,
  2.934006E+02,  1.825900E+04,  1.362744E+00,
  2.935330E+02,  1.838400E+04,  1.375547E+00,
  2.936654E+02,  1.833500E+04,  1.373329E+00,
  2.937979E+02,  1.824700E+04,  1.367723E+00,
  2.939302E+02,  1.798000E+04,  1.346567E+00,
  2.940627E+02,  1.798600E+04,  1.349067E+00,
  2.941951E+02,  1.795800E+04,  1.348612E+00,
  2.943275E+02,  1.750400E+04,  1.311047E+00,
  2.944599E+02,  1.756000E+04,  1.317857E+00,
  2.945923E+02,  1.692200E+04,  1.264071E+00,
  2.947247E+02,  1.710500E+04,  1.281935E+00,
  2.948572E+02,  1.690500E+04,  1.266307E+00,
  2.949896E+02,  1.673100E+04,  1.252910E+00,
  2.951220E+02,  1.624400E+04,  1.211990E+00,
  2.952544E+02,  1.632300E+04,  1.220722E+00,
  2.953868E+02,  1.644700E+04,  1.233437E+00,
  2.955192E+02,  1.628300E+04,  1.220791E+00,
  2.956517E+02,  1.623000E+04,  1.217909E+00,
  2.957841E+02,  1.610600E+04,  1.208737E+00,
  2.959165E+02,  1.618900E+04,  1.217861E+00,
  2.960489E+02,  1.590200E+04,  1.194210E+00,
  2.961813E+02,  1.593300E+04,  1.198716E+00,
  2.963137E+02,  1.559300E+04,  1.170259E+00,
  2.964462E+02,  1.557400E+04,  1.170290E+00,
  2.965786E+02,  1.558800E+04,  1.173258E+00,
  2.967110E+02,  1.572400E+04,  1.187117E+00,
  2.968434E+02,  1.553500E+04,  1.171970E+00,
  2.969758E+02,  1.582000E+04,  1.199189E+00,
  2.971082E+02,  1.554200E+04,  1.176037E+00,
  2.972407E+02,  1.563900E+04,  1.186463E+00,
  2.973730E+02,  1.551800E+04,  1.177328E+00,
  2.975055E+02,  1.581100E+04,  1.205409E+00,
  2.976379E+02,  1.575200E+04,  1.201854E+00,
  2.977703E+02,  1.554700E+04,  1.185117E+00,
  2.979027E+02,  1.563500E+04,  1.194796E+00,
  2.980352E+02,  1.579000E+04,  1.210557E+00,
  2.981675E+02,  1.552000E+04,  1.187868E+00,
  2.983000E+02,  1.573700E+04,  1.209277E+00,
  2.984324E+02,  1.560400E+04,  1.198960E+00,
  2.985648E+02,  1.567100E+04,  1.206796E+00,
  2.986972E+02,  1.585000E+04,  1.224846E+00,
  2.988297E+02,  1.591300E+04,  1.232367E+00,
  2.989620E+02,  1.590400E+04,  1.233330E+00,
  2.990945E+02,  1.572900E+04,  1.219122E+00,
  2.992269E+02,  1.579800E+04,  1.227203E+00,
  2.993593E+02,  1.557600E+04,  1.208633E+00,
  2.994917E+02,  1.608600E+04,  1.257187E+00,
  2.996241E+02,  1.588800E+04,  1.240807E+00,
  2.997565E+02,  1.597500E+04,  1.250603E+00,
  2.998890E+02,  1.583000E+04,  1.239048E+00,
  3.000214E+02,  1.578800E+04,  1.236960E+00,
  3.001538E+02,  1.597900E+04,  1.256389E+00,
