energy	step1_	g1_	g2_	g3_	g4_
525.4854	0.014754308807764856	3.386072207314102e-33	2.1091281469578412e-16	1.8924745674448032e-43	3.669685408986233e-56
525.6104	0.014902340907018974	1.0273434115271893e-31	1.0510632227625138e-15	3.3289365993786373e-42	6.112744215816887e-55
525.7354	0.015053370511183111	2.8786421009195383e-30	5.052333142372826e-15	5.60859132144712e-41	9.862679805514336e-54
525.8604	0.015207489500539259	7.44924594411769e-29	2.342568965595838e-14	9.050547808517449e-40	1.5413631310654756e-52
525.9854	0.015364793545206947	1.7802851172563922e-27	1.0476833886093496e-13	1.398842238687423e-38	2.3332771152908173e-51
526.1104	0.015525382302365285	3.9293382606987265e-26	4.519652006943044e-13	2.070786894674366e-37	3.421204216998669e-50
526.2354	0.01568935962590662	8.009434987423755e-25	1.88068994790567e-12	2.9361272762322782e-36	4.858956354592336e-49
526.3604	0.015856833789444903	1.5077764361283993e-23	7.548604574341744e-12	3.987375599553451e-35	6.684336727798824e-48
526.4854	0.016027917723680292	2.6213477022288622e-22	2.9224925664244634e-11	5.18647412712066e-34	8.90686692006731e-47
526.6104	0.01620272926920879	4.208864238317372e-21	1.0913835941142922e-10	6.461451429748667e-33	1.1495898733721668e-45
526.7354	0.016381391445960607	6.241052151370382e-20	3.931322696614534e-10	7.710113157288916e-32	1.4371834841764868e-44
526.8604	0.016564032740556227	8.546795519564317e-19	1.3659576443011803e-09	8.811791639658187e-31	1.7403348950345881e-43
526.9854	0.01675078741298348	1.0809395900091143e-17	4.577971016832752e-09	9.645849607872444e-30	2.041290248525659e-42
527.1104	0.016941795824127144	1.262560333778591e-16	1.4799468252106528e-08	1.0113222282343818e-28	2.319145602952993e-41
527.2354	0.017137204785821047	1.3619321310852334e-15	4.614837899253865e-08	1.015573637613277e-27	2.5521288264900828e-40
527.3604	0.017337167935248556	1.3567861411613845e-14	1.3880466314228454e-07	9.768009749656708e-27	2.7203732287369274e-39
527.4854	0.017541846135687975	1.2483027849201878e-13	4.0270676844870756e-07	8.998571037914735e-26	2.8087023256477815e-38
527.6104	0.017751407905786856	1.0606719592911201e-12	1.1269666602180372e-06	7.939877720987173e-25	2.8088869322828253e-37
527.7354	0.017966029879760727	8.323286493953207e-12	3.0420789018419347e-06	6.710067333399293e-24	2.7209096671681424e-36
527.8604	0.018185897301142406	6.03199825627175e-11	7.920765330716135e-06	5.43141192971148e-23	2.552967651323092e-35
527.9854	0.018411204552966496	4.037199201606194e-10	1.9893036788101656e-05	4.210865841910535e-22	2.320212821301246e-34
528.1104	0.01864215572755833	2.4954665784749415e-09	4.8191704988596e-05	3.126819903343611e-21	2.0424980708267102e-33
528.2354	0.01887896523941905	1.424544251587785e-08	0.00011261098678113617	2.2238583952144362e-20	1.7415935591019513e-32
528.3604	0.019121858485049718	7.510221381807682e-08	0.000253820387765829	1.5149007888394936e-19	1.4384119651603517e-31
528.4854	0.01937107255395579	3.6566394574799745e-07	0.0005518353392984734	9.88402995734582e-19	1.1507237755904428e-30
528.6104	0.019626856995516376	1.644235994190968e-06	0.001157256907057966	6.176702922966738e-18	8.916824271837078e-30
528.7354	0.019889474646897186	6.828082640954447e-06	0.0023409240348577108	3.6970231853556334e-17	6.692689111460666e-29
528.8604	0.020159202527741393	2.6187014826467543e-05	0.004567537550623429	2.1194366209472336e-16	4.865667387330319e-28
528.9854	0.02043633280799612	9.275254334234686e-05	0.008596352166427648	1.1637548219868507e-15	3.426379837803809e-27
529.1104	0.02072117385593048	0.00030340188022811703	0.015605710209585717	6.12033723035215e-15	2.337114103783968e-26
529.2354	0.021014051374190917	0.0009165650992934643	0.027326885920766243	3.0829182657623994e-14	1.544100803286639e-25
529.3604	0.02131530963262442	0.002557178076415842	0.04615662189419437	1.487378395134493e-13	9.881496104394108e-25
529.4854	0.021625312807603693	0.006588874511457544	0.07519953503142758	6.873116833616995e-13	6.125211381796699e-24
529.6104	0.021944446438720885	0.01567884648313506	0.11817716329774121	3.041997014111223e-12	3.6776532590482966e-23
529.7354	0.022273119014998035	0.03445637513605127	0.1791386237788701	1.2895454101094898e-11	2.1388080089191067e-22
529.8604	0.022611763704219814	0.06993227778785158	0.26192814818453425	5.23585120563515e-11	1.2048254852183811e-21
529.9854	0.022960840240644688	0.13108058432336453	0.36941317320398986	2.0361546091921478e-10	6.573971415557041e-21
530.1104	0.0233208369882376	0.22690897345858616	0.5025506634008927	7.584151623622418e-10	3.474423866076683e-20
530.2354	0.023692273198711276	0.36275848638698505	0.6594541257224773	2.705677695991092e-09	1.7786443206811016e-19
530.3604	0.024075701486119445	0.5355944880409217	0.8346926616997784	9.245234171055871e-09	8.819556415306224e-19
530.4854	0.024471710542554922	0.7303099613247671	1.0190743433091758	3.025746708733097e-08	4.235997522493597e-18
530.6104	0.024880928122730638	0.9196677505208868	1.2001137366048802	9.48462190446567e-08	1.9706793894145393e-17
530.7354	0.02530402432892728	1.0695652848669657	1.3632522163465628	2.847608467290593e-07	8.880298693992357e-17
530.8604	0.0257417152320636	1.1487783628833583	1.4937134265736187	8.188669215278473e-07	3.876060036764277e-16
530.9854	0.026194766869577536	1.1395091147768663	1.5786855134825055	2.2553771691398287e-06	1.638719942781838e-15
531.1104	0.0266639996665133	1.0438833422737657	1.6093897440205334	5.949737855513635e-06	6.710738331700067e-15
531.2354	0.02715029333283355	0.8831586747681154	1.5825742743212334	1.5033125467210126e-05	2.6618721540359567e-14
531.3604	0.02765459229767222	0.6900461204480092	1.5010813899561166	3.638090787569939e-05	1.0227168314986889e-13
531.4854	0.028177911750224653	0.4979320782115693	1.373351310757047	8.432776353941057e-05	3.8060539152854956e-13
531.6104	0.028721344367458084	0.3318292767807678	1.2119824151875573	0.00018721490938302702	1.3719737146084504e-12
531.7354	0.02928606782112244	0.20422640994741012	1.0316877113361944	0.00039809166167871924	4.790357966530498e-12
531.8604	0.029873353170985845	0.11608115303122447	0.8471054253197409	0.0008107716036522356	1.620098676299584e-11
531.9854	0.03048457426824195	0.06093462338201471	0.6709094907301445	0.001581564024831073	5.307210197563413e-11
532.1104	0.0311212183131541	0.02954058944724214	0.5125398936069878	0.0029549342734334	1.6840013384772843e-10
532.2354	0.03178489773484927	0.01322594737203799	0.37768408087550215	0.005287880992208639	5.175709569298327e-10
532.3604	0.03247736358953121	0.005468736916017099	0.2684521906268653	0.009063340976875965	1.5408085737654291e-09
532.4854	0.03320052070721218	0.0020883336193253128	0.18405282644140192	0.01487879517890693	4.443025407389023e-09
532.6104	0.033956444857555564	0.000736487426000042	0.12171813706632965	0.023394836321034205	1.2409669900250732e-08
532.7354	0.03474740225405766	0.0002398741234492471	0.07764354733143157	0.03523262945331692	3.357321905633523e-08
532.8604	0.03557587177442672	7.215294676795738e-05	0.04777412129253962	0.05082096427636448	8.797860290782671e-08
532.9854	0.036444570345956176	2.004367500001788e-05	0.028354194450460158	0.070212355873993	2.2331220527639748e-07
533.1104	0.03735648203085083	5.142250623603605e-06	0.01623226729597859	0.09290882961424916	5.490339266905058e-07
533.2354	0.03831489145154507	1.218377119340957e-06	0.0089635144812445	0.11775333949615345	1.3074865364093048e-06
533.3604	0.039323422324725216	2.6660165263239393e-07	0.0047743552405743244	0.14294279690147424	3.015967042466979e-06
533.4854	0.040386082031024464	5.387614928626787e-08	0.0024529483414781578	0.16619735888142345	6.738562790306298e-06
533.6104	0.041507313342862694	1.0055018309582524e-08	0.0012156242106547551	0.18507968849880596	1.4583416852044704e-05
533.7354	0.042692054675549714	1.7330926944844392e-09	0.0005810955457971263	0.19740866036931828	3.057050566220991e-05
533.8604	0.043945810529378994	2.7587562184842257e-10	0.00026793720251447296	0.20167238873029686	6.207221986315162e-05
533.9854	0.04527473416971424	4.055621963526504e-11	0.00011916693174788664	0.19733289300053838	0.0001220796439983045
534.1104	0.04668572506990078	5.506228313619846e-12	5.11229331140441e-05	0.1849376449845684	0.00023256296373506003
534.2354	0.04818654424707049	6.90404434050841e-13	2.115500026481637e-05	0.16600606781880511	0.0004291302946054053
534.3604	0.0497859513917733	7.994761939775353e-14	8.443987347767297e-06	0.14272347185336706	0.0007669889699890391
534.4854	0.05149386867983089	8.5498817522881e-15	3.2510180395665623e-06	0.11752753849239363	0.001327823603112162
534.6104	0.05332157742721505	8.444370659478168e-16	1.207336836724351e-06	0.0926950789165559	0.0022266039357620223
534.7354	0.05528195539829488	7.7024178589565e-17	4.324887253763738e-07	0.07002393562984836	0.003616570060498137
534.8604	0.057389764729557265	6.4884277155227024e-18	1.49437087855136e-07	0.050665129082488894	0.005689867003964159
534.9854	0.05966200325555174	5.047827131695864e-19	4.980572516799891e-08	0.03511111248962457	0.008670790038207083
535.1104	0.062118335755406213	3.626787282510302e-20	1.601169860247858e-08	0.023305199582506958	0.012798720262830745
535.2354	0.06478162659933802	2.4065356657977437e-21	4.965155014745715e-09	0.014816098695491865	0.01829893212022903
535.3604	0.06767860191118688	1.4747388743359755e-22	1.4851334640352155e-09	0.009021685798441606	0.025341730470644665
535.4854	0.07084067829336108	8.346234105292565e-24	4.284848022759464e-10	0.005261557641728676	0.03399367446669481
535.6104	0.0743050072414924	4.3623308811810465e-25	1.1924567276303323e-10	0.0029390959679511685	0.0441683603143983
535.7354	0.07811580079040682	2.1057133604441902e-26	3.2010105107760305e-11	0.001572483151681729	0.05558732370263858
535.8604	0.08232602629783259	9.387123021639387e-28	8.288364442187171e-12	0.0008058069974212654	0.06776283625465986
535.9854	0.08699958875391224	3.864723019963758e-29	2.070083407140846e-12	0.0003955021669758143	0.08001265985459123
536.1104	0.09221416039140658	1.4694568788154566e-30	4.987054522384572e-13	0.00018592573194657478	0.09151181364584399
536.2354	0.0980648729660587	5.159978905134301e-32	1.158877830901099e-13	8.371493260202702e-05	0.10137875174276569
536.3604	0.10466916105383575	1.6733685938675164e-33	2.5975771800832763e-14	3.610265685183002e-05	0.10878475518024391
536.4854	0.11217313608056126	5.011732806474202e-35	5.616121985128234e-15	1.4912422326733029e-05	0.11306819522260021
536.6104	0.12075997392647947	1.386234847933465e-36	1.1712291452997804e-15	5.89970131671348e-06	0.1138319573606119
536.7354	0.1306608859285035	3.5411010730762056e-38	2.356049856367093e-16	2.2355513780765263e-06	0.11100416377356342
536.8604	0.1421692324152247	8.353960960257237e-40	4.571559202177049e-17	8.113571825015317e-07	0.10484932950111524
536.9854	0.1556580209190126	1.8201164196790773e-41	8.5562110199752e-18	2.8204104446470634e-07	0.0959275533413193
537.1104	0.17159991482140088	3.662338659682816e-43	1.5446706413463231e-18	9.390427046784529e-08	0.0850104666744517
537.2354	0.190585883581974	6.80566304559828e-45	2.6898469158410083e-19	2.9945472586478836e-08	0.07297141284715691
537.3604	0.21333165281255814	1.1679788868732457e-46	4.51810690580285e-20	9.146391757812787e-09	0.060671458039594256
537.4854	0.24064699211388377	1.8511949175171254e-48	7.320195975566992e-21	2.6757234601179684e-09	0.04886157153228238
537.6104	0.27332018780352973	2.7097043837583693e-50	1.1440004098344336e-21	7.49730973786125e-10	0.03811551151336474
537.7354	0.3118515012246144	3.663062142122666e-52	1.7245147712144247e-22	2.0120671920950303e-10	0.028799662344299225
537.8604	0.3560083585874378	4.573190223860815e-54	2.5075229922832608e-23	5.171926038738618e-11	0.02107775546907018
537.9854	0.40436056714522994	5.272867451340818e-56	3.516901426105465e-24	1.2733122904449313e-11	0.01494213479125866
538.1104	0.454229976367906	5.614706378643194e-58	4.757871783738676e-25	3.002550745281179e-12	0.010260115743647472
538.2354	0.5024076343610476	5.521535299144804e-60	6.208726648947182e-26	6.781387798514809e-13	0.006824065591173356
538.3604	0.5462736991809293	5.014703545130997e-62	7.815011321579156e-27	1.4669645011887964e-13	0.004396281035008292
