*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H6
* Name: Benzene
* Edge: C 1s
* Alpha Formula: C6H6
* Data Source: Hitchcock
* Filename:  bz-0cckk.os
* Ref. Code: HF&87
* Write Date: 93/06/10
* Reference: J. Phys. Chem. 91 (87) 531.
* Source and Purity: BDH
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bzc     name2- 0bzc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.801310E+02,  3.467825E+04, -3.969078E-03,
  2.802910E+02,  3.468709E+04, -3.615455E-03,
  2.804510E+02,  3.473113E+04, -3.071990E-03,
  2.806100E+02,  3.500951E+04, -1.265237E-03,
  2.807700E+02,  3.474890E+04, -2.366111E-03,
  2.809300E+02,  3.478885E+04, -1.844334E-03,
  2.810900E+02,  3.527410E+04,  1.087566E-03,
  2.812490E+02,  3.471136E+04, -1.654515E-03,
  2.814090E+02,  3.466104E+04, -1.622121E-03,
  2.815690E+02,  3.464304E+04, -1.414970E-03,
  2.817290E+02,  3.492858E+04,  4.401398E-04,
  2.818880E+02,  3.484866E+04,  3.095669E-04,
  2.820480E+02,  3.468842E+04, -2.567529E-04,
  2.822080E+02,  3.466510E+04, -7.936211E-05,
  2.823680E+02,  3.525784E+04,  3.454274E-03,
  2.825270E+02,  3.534613E+04,  4.240501E-03,
  2.826870E+02,  3.554121E+04,  5.612170E-03,
  2.828470E+02,  3.566843E+04,  6.614713E-03,
  2.830070E+02,  3.585533E+04,  7.944647E-03,
  2.831660E+02,  3.640080E+04,  1.123614E-02,
  2.833260E+02,  3.732211E+04,  1.659258E-02,
  2.834860E+02,  3.874434E+04,  2.470277E-02,
  2.836460E+02,  4.088882E+04,  3.678771E-02,
  2.838050E+02,  4.466886E+04,  5.786927E-02,
  2.839650E+02,  5.219032E+04,  9.954495E-02,
  2.841250E+02,  6.676036E+04,  1.800511E-01,
  2.842850E+02,  9.299838E+04,  3.249095E-01,
  2.844450E+02,  1.443144E+05,  6.081495E-01,
  2.846040E+02,  2.294913E+05,  1.078531E+00,
  2.847640E+02,  3.627870E+05,  1.815206E+00,
  2.849240E+02,  5.408913E+05,  2.800558E+00,
  2.850840E+02,  6.910407E+05,  3.633057E+00,
  2.852430E+02,  7.384761E+05,  3.898764E+00,
  2.854030E+02,  6.565804E+05,  3.448943E+00,
  2.855630E+02,  4.980664E+05,  2.573844E+00,
  2.857230E+02,  3.482753E+05,  1.745649E+00,
  2.858820E+02,  2.332180E+05,  1.108830E+00,
  2.860420E+02,  1.565616E+05,  6.842559E-01,
  2.862020E+02,  1.127993E+05,  4.418373E-01,
  2.863620E+02,  9.201088E+04,  3.268364E-01,
  2.865210E+02,  8.296577E+04,  2.770320E-01,
  2.866810E+02,  8.620288E+04,  2.955976E-01,
  2.868410E+02,  1.014638E+05,  3.812596E-01,
  2.870010E+02,  1.251119E+05,  5.138844E-01,
  2.871600E+02,  1.454796E+05,  6.283965E-01,
