*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H5CN
* Name: Benzonitrile
* Edge: C 1s
* Alpha Formula: C7H5N
* Data Source: Hitchcock
* Filename:  bq-0cckk.os
* Ref. Code: H92a
* Write Date: 93/06/10
* Reference: Hitchcock (unpublished)
* Source and Purity: Aldrich (99.9%)
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.55 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bqc.     name2- 0bqc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.771999E+02   2.398350E+03   1.695479E-03 
  2.773273E+02   2.319462E+03  -1.781732E-03 
  2.774547E+02   2.427104E+03   3.332655E-03 
  2.775821E+02   2.329783E+03  -1.003520E-03 
  2.777095E+02   2.364435E+03   7.503848E-04 
  2.778369E+02   2.350427E+03   2.557447E-04 
  2.779643E+02   2.307665E+03  -1.573700E-03 
  2.780917E+02   2.331995E+03  -2.934625E-04 
  2.782191E+02   2.327572E+03  -3.468347E-04 
  2.783466E+02   2.393926E+03   2.894434E-03 
  2.784740E+02   2.371071E+03   1.985442E-03 
  2.786014E+02   2.308402E+03  -7.848432E-04 
  2.787288E+02   2.402773E+03   3.777851E-03 
  2.788562E+02   2.289971E+03  -1.344831E-03 
  2.789836E+02   2.318724E+03   1.533187E-04 
  2.791110E+02   2.360749E+03   2.278142E-03 
  2.792384E+02   2.323885E+03   7.007255E-04 
  2.793658E+02   2.335682E+03   1.408858E-03 
  2.794933E+02   2.334944E+03   1.527944E-03 
  2.796207E+02   2.266378E+03  -1.553878E-03 
  2.797481E+02   2.305453E+03   4.423027E-04 
  2.798755E+02   2.209608E+03  -3.940754E-03 
  2.800029E+02   2.278174E+03  -5.455691E-04 
  2.801303E+02   2.345266E+03   2.788580E-03 
  2.802577E+02   2.215506E+03  -3.221332E-03 
  2.803851E+02   2.239836E+03  -1.916790E-03 
  2.805125E+02   2.289233E+03   5.852373E-04 
  2.806400E+02   2.225828E+03  -2.287501E-03 
  2.807674E+02   2.277437E+03   3.258966E-04 
  2.808948E+02   2.251151E+03  -7.799437E-04 
  2.810222E+02   2.248133E+03  -7.745543E-04 
  2.811496E+02   2.236306E+03  -1.191979E-03 
  2.812770E+02   2.277768E+03   9.485924E-04 
  2.814044E+02   2.235927E+03  -9.116188E-04 
  2.815318E+02   2.187302E+03  -3.103823E-03 
  2.816592E+02   2.240598E+03  -3.872900E-04 
  2.817867E+02   2.266155E+03   9.968097E-04 
  2.820415E+02   2.269530E+03   1.463962E-03 
  2.821689E+02   2.224226E+03  -5.802488E-04 
  2.822963E+02   2.275888E+03   2.077324E-03 
  2.824237E+02   2.250727E+03   1.007136E-03 
  2.825511E+02   2.279486E+03   2.558526E-03 
  2.826785E+02   2.287590E+03   3.107001E-03 
  2.827285E+02   2.203370E+03  -9.399622E-04 
  2.827890E+02   2.265364E+03   2.155966E-03 
  2.828495E+02   2.255381E+03   1.740950E-03 
  2.829099E+02   2.076716E+03  -6.917133E-03 
  2.829704E+02   2.202715E+03  -6.897571E-04 
  2.830308E+02   2.257907E+03   2.081197E-03 
  2.830913E+02   2.249561E+03   1.744961E-03 
  2.831517E+02   2.411636E+03   9.756870E-03 
  2.832122E+02   2.416060E+03   1.005090E-02 
  2.832726E+02   2.453271E+03   1.195351E-02 
  2.833331E+02   2.157305E+03  -2.494495E-03 
  2.833936E+02   2.293247E+03   4.251424E-03 
  2.834540E+02   2.365137E+03   7.858044E-03 
  2.835145E+02   2.282957E+03   3.892688E-03 
  2.835749E+02   2.411396E+03   1.028613E-02 
  2.836354E+02   2.584108E+03   1.886761E-02 
  2.836958E+02   2.448606E+03   1.227438E-02 
  2.837563E+02   2.527038E+03   1.621977E-02 
  2.838167E+02   2.585504E+03   1.918518E-02 
  2.838772E+02   2.696262E+03   2.473560E-02 
  2.839377E+02   2.743917E+03   2.717603E-02 
  2.839981E+02   2.770444E+03   2.857521E-02 
  2.840586E+02   2.930167E+03   3.656363E-02 
  2.841190E+02   3.152538E+03   4.766258E-02 
  2.841795E+02   3.570794E+03   6.847586E-02 
  2.842399E+02   3.937822E+03   8.677698E-02 
  2.843004E+02   4.531302E+03   1.163296E-01 
  2.843608E+02   5.398678E+03   1.595089E-01 
  2.844213E+02   6.471841E+03   2.129595E-01 
  2.844818E+02   8.654050E+03   3.215728E-01 
  2.845422E+02   1.073556E+04   4.253181E-01 
  2.846027E+02   1.423044E+04   5.994968E-01 
  2.846631E+02   1.873235E+04   8.240188E-01 
  2.847236E+02   2.279877E+04   1.027136E+00 
  2.847840E+02   2.928873E+04   1.351289E+00 
  2.848445E+02   3.576816E+04   1.675326E+00 
  2.849049E+02   4.118186E+04   1.946595E+00 
  2.849654E+02   4.652564E+04   2.214716E+00 
  2.850258E+02   5.063407E+04   2.421454E+00 
  2.850863E+02   5.223909E+04   2.503299E+00 
  2.851468E+02   5.228878E+04   2.507440E+00 
  2.852072E+02   5.072317E+04   2.430727E+00 
  2.852677E+02   4.786060E+04   2.288954E+00 
  2.853281E+02   4.490004E+04   2.142088E+00 
  2.853886E+02   4.133733E+04   1.964838E+00 
  2.854490E+02   3.777054E+04   1.787155E+00 
  2.855095E+02   3.515095E+04   1.656812E+00 
  2.855699E+02   3.261155E+04   1.530332E+00 
  2.856304E+02   2.975214E+04   1.387602E+00 
  2.856909E+02   2.817206E+04   1.309054E+00 
  2.857513E+02   2.642469E+04   1.221985E+00 
  2.858118E+02   2.511377E+04   1.156790E+00 
  2.858722E+02   2.376523E+04   1.089616E+00 
  2.859327E+02   2.290286E+04   1.046879E+00 
  2.859931E+02   2.230555E+04   1.017464E+00 
  2.860536E+02   2.187852E+04   9.966108E-01 
  2.861140E+02   2.086593E+04   9.461403E-01 
  2.861745E+02   2.039537E+04   9.230137E-01 
  2.862350E+02   1.956058E+04   8.814276E-01 
  2.862954E+02   1.910699E+04   8.590894E-01 
  2.863559E+02   1.814325E+04   8.108771E-01 
  2.864163E+02   1.726471E+04   7.669224E-01 
  2.864768E+02   1.791155E+04   8.002877E-01 
  2.865372E+02   1.793096E+04   8.018470E-01 
  2.865977E+02   1.833628E+04   8.230089E-01 
  2.866581E+02   1.893323E+04   8.539352E-01 
  2.867186E+02   1.925188E+04   8.707477E-01 
  2.867791E+02   1.842644E+04   8.293636E-01 
  2.868395E+02   1.762143E+04   7.889671E-01 
  2.869000E+02   1.684527E+04   7.499892E-01 
  2.869604E+02   1.544354E+04   6.790690E-01 
  2.870209E+02   1.412490E+04   6.122982E-01 
  2.870813E+02   1.305902E+04   5.583446E-01 
  2.871418E+02   1.177949E+04   4.934104E-01 
  2.872022E+02   1.088999E+04   4.483283E-01 
  2.872627E+02   1.023471E+04   4.151682E-01 
  2.873232E+02   1.064031E+04   4.362556E-01 
  2.873836E+02   1.054845E+04   4.318956E-01 
  2.874441E+02   1.079659E+04   4.449515E-01 
  2.875045E+02   1.112036E+04   4.619014E-01 
  2.875650E+02   1.164821E+04   4.893416E-01 
  2.876254E+02   1.200259E+04   5.079113E-01 
  2.876859E+02   1.192152E+04   5.041358E-01 
  2.877463E+02   1.134933E+04   4.751120E-01 
  2.878068E+02   1.113480E+04   4.644462E-01 
  2.878672E+02   1.097034E+04   4.563441E-01 
  2.879277E+02   1.058794E+04   4.370079E-01 
