*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CO
* Name: Carbonmonoxide
* Edge: O 1s
* Alpha Formula: CO
* Data Source: Hitchcock
* Filename:  co-0ookk.os
* Ref. Code: HB80a
* Write Date: 93/06/10
* Reference: J. El. Spec.18 (80) 1.
* Source and Purity: Matheson
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0coo21.    name2- 0coo.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  5.226706E+02,  1.741000E+03, -4.209755E-03,
  5.228480E+02,  1.731806E+03, -6.630596E-03,
  5.230410E+02,  1.753984E+03,  2.638805E-03,
  5.232340E+02,  1.653032E+03,  8.333275E-03,
  5.234270E+02,  1.678016E+03, -4.706720E-03,
  5.236200E+02,  1.712258E+03, -9.025568E-03,
  5.238130E+02,  1.715919E+03, -7.923869E-03,
  5.240050E+02,  1.719656E+03, -5.798555E-03,
  5.241980E+02,  1.719086E+03, -5.376764E-03,
  5.243910E+02,  1.712602E+03, -7.007071E-03,
  5.245840E+02,  1.686409E+03, -8.420723E-03,
  5.247770E+02,  1.664806E+03, -1.688976E-03,
  5.249700E+02,  1.704129E+03, -6.097626E-03,
  5.251630E+02,  1.669600E+03, -3.605582E-03,
  5.253560E+02,  1.642228E+03,  4.854079E-03,
  5.255490E+02,  1.672000E+03, -7.577127E-03,
  5.257420E+02,  1.693280E+03, -7.521135E-03,
  5.259350E+02,  1.778172E+03,  2.445158E-02,
  5.261280E+02,  1.659871E+03,  3.512517E-04,
  5.263210E+02,  1.708323E+03,  1.273003E-03,
  5.265140E+02,  1.678355E+03, -9.806727E-03,
  5.267070E+02,  1.746290E+03,  1.619764E-02,
  5.269000E+02,  1.637799E+03,  5.814868E-03,
  5.270930E+02,  1.713858E+03,  7.061419E-03,
  5.272860E+02,  1.595827E+03,  1.974904E-02,
  5.274790E+02,  1.660776E+03, -9.621229E-03,
  5.276720E+02,  1.686280E+03, -2.381903E-03,
  5.278650E+02,  1.710849E+03,  6.995152E-03,
  5.280580E+02,  1.665473E+03, -8.534900E-03,
  5.282510E+02,  1.699387E+03,  5.059432E-03,
  5.284440E+02,  1.671011E+03, -6.279693E-03,
  5.286370E+02,  1.670743E+03, -4.494416E-03,
  5.288300E+02,  1.694772E+03,  5.248948E-03,
  5.290230E+02,  1.563513E+03,  2.732984E-02,
  5.292160E+02,  1.593044E+03,  1.097801E-02,
  5.294090E+02,  1.642699E+03, -6.775457E-03,
  5.296020E+02,  1.655226E+03, -5.948689E-03,
  5.297950E+02,  1.691645E+03,  8.325256E-03,
  5.299880E+02,  1.646559E+03, -6.353176E-03,
  5.301810E+02,  1.632857E+03, -3.318458E-03,
  5.303740E+02,  1.665829E+03,  1.552515E-03,
  5.305670E+02,  1.735744E+03,  2.767824E-02,
  5.307600E+02,  1.671622E+03,  1.655274E-03,
  5.309530E+02,  1.702473E+03,  1.667229E-02,
  5.311460E+02,  1.759011E+03,  3.762582E-02,
  5.313390E+02,  1.724699E+03,  2.341051E-02,
  5.315320E+02,  1.695409E+03,  1.440494E-02,
  5.317250E+02,  1.702140E+03,  1.864412E-02,
  5.319180E+02,  1.767001E+03,  4.382835E-02,
  5.321110E+02,  1.763857E+03,  4.110404E-02,
  5.323040E+02,  1.770314E+03,  4.466572E-02,
  5.324970E+02,  1.794764E+03,  5.452032E-02,
  5.326900E+02,  1.913075E+03,  9.971306E-02,
  5.328830E+02,  2.259430E+03,  2.289481E-01,
  5.330760E+02,  2.949064E+03,  4.819354E-01,
  5.332690E+02,  4.403903E+03,  1.016884E+00,
  5.334620E+02,  6.692903E+03,  1.845842E+00,
  5.336550E+02,  9.875687E+03,  2.990670E+00,
  5.338480E+02,  1.304783E+04,  4.103429E+00,
  5.340410E+02,  1.509365E+04,  4.787965E+00,
  5.342340E+02,  1.571426E+04,  4.965950E+00,
  5.344270E+02,  1.436867E+04,  4.435465E+00,
  5.346200E+02,  1.231225E+04,  3.697585E+00,
  5.348130E+02,  9.826860E+03,  2.813197E+00,
  5.350060E+02,  7.506936E+03,  2.005304E+00,
  5.351990E+02,  5.600774E+03,  1.348708E+00,
  5.353920E+02,  4.138044E+03,  8.482472E-01,
  5.355850E+02,  3.405251E+03,  6.138554E-01,
  5.357780E+02,  2.835995E+03,  4.173164E-01,
  5.359710E+02,  2.539390E+03,  3.222441E-01,
  5.361640E+02,  2.159548E+03,  1.853825E-01,
  5.363570E+02,  2.132398E+03,  1.886915E-01,
  5.365500E+02,  1.923699E+03,  1.085393E-01,
  5.367430E+02,  1.837280E+03,  8.349846E-02,
  5.369360E+02,  1.817290E+03,  7.896362E-02,
  5.371290E+02,  1.741565E+03,  5.104455E-02,
  5.373220E+02,  1.758903E+03,  6.101773E-02,
  5.375150E+02,  1.726984E+03,  4.865810E-02,
  5.377080E+02,  1.732274E+03,  5.260480E-02,
  5.379010E+02,  1.738516E+03,  5.549072E-02,
  5.380940E+02,  1.736702E+03,  1.398002E-02,
