energy	step1_	g1_	g2_	g3_	g4_
393.6589	0.006391774268860953	8.093732971715022e-23	3.414836455561157e-57	1.1280983513416448e-41	2.3313716159913088e-58
393.8051	0.006469058519487443	1.0245934529632791e-21	3.324835950795194e-55	1.9094109693197475e-40	6.749696413514596e-57
393.9512	0.006548178880398004	1.2143058808120845e-20	2.9712947535712647e-53	3.088065323648653e-39	1.8665178100805135e-55
394.0974	0.006629313845294597	1.351911796079249e-19	2.4522653725442692e-51	4.790302068488686e-38	4.952549738312938e-54
394.2436	0.006712483655521768	1.4114576506361502e-18	1.8633207720020542e-49	7.113688256269074e-37	1.2580012155856082e-52
394.3897	0.0067977067223278865	1.3798071879265076e-17	1.2997404629302157e-47	1.0094858593311764e-35	3.0524411824271805e-51
394.5359	0.006885181128411674	1.266938262722013e-16	8.371402356660829e-46	1.3739032208027309e-34	7.105971998810951e-50
394.6577	0.006959793297085658	7.650306636565401e-16	2.525940971138573e-44	1.169800530488761e-33	9.462217309322928e-49
394.8039	0.007051514858141818	6.244114406514408e-15	1.3981488658923991e-42	1.4697398358023907e-32	2.0334891281396228e-47
394.95	0.0071456196550877225	4.772732070812055e-14	7.106022809682553e-41	1.7647868492454364e-31	4.174980781489914e-46
395.0962	0.0072423357669415215	3.4259152771711946e-13	3.334097006009437e-39	2.0320990984489054e-30	8.222945091459494e-45
395.2424	0.007341704383642466	2.3061386682767933e-12	1.4402182042142037e-37	2.2400257716050128e-29	1.550443009444043e-43
395.3885	0.007443765248890663	1.4539706841320844e-11	5.7134045748473007e-36	2.360060594298078e-28	2.7931018853861952e-42
395.5347	0.007548774807862226	8.6075985580953e-11	2.0920230225106415e-34	2.3842690330752175e-27	4.826576205792397e-41
395.6808	0.007656712694271474	4.773181470422727e-10	7.035640735543224e-33	2.3023708424891044e-26	7.969297100576152e-40
395.827	0.007767857214447704	2.4851456946942226e-09	2.1837179953846395e-31	2.1317258622879837e-25	1.26210759478398e-38
395.9488	0.00786294471161562	9.354138699597987e-09	3.586630099443525e-30	1.3167661396366965e-24	1.2192350220192863e-37
396.095	0.007980198866780369	4.329150396060295e-08	9.566831568045177e-29	1.1254792106886303e-23	1.7825287399687536e-36
396.2411	0.00810091664232906	1.8770431987262813e-07	2.3442800492981556e-27	9.196104093641178e-23	2.4903694117531245e-35
396.3873	0.008225426543071481	7.639953071571307e-07	5.30044640486893e-26	7.203717587072424e-22	3.336851331473851e-34
396.5335	0.008353820691285006	2.9161264332896094e-06	1.1033513575227806e-24	5.40212943798908e-21	4.280213666691079e-33
396.6797	0.00848628358612098	1.0438094963398175e-05	2.1145290210537592e-23	3.878187487078414e-20	5.255929707573648e-32
396.8258	0.008622916564295036	3.500944179149912e-05	3.723672693844534e-22	2.661840402076929e-19	6.1682730626481295e-31
396.972	0.008764115736365829	0.00011020914548768833	6.049127428313676e-21	1.751337311852387e-18	6.94179305898405e-30
397.0938	0.008885326337456798	0.0002727887918045602	5.793448554857853e-20	8.138430941814607e-18	5.0449433900662745e-29
397.24	0.009035317205833938	0.000763332811558949	8.088109623417569e-19	4.943120756028638e-17	5.241277069340371e-28
397.3861	0.009190346362387272	0.002001813093306421	1.0377889624549195e-17	2.870785966575764e-16	5.2047220727820365e-27
397.5323	0.009350895093610386	0.004926386583307646	1.2281186833053303e-16	1.598031459596619e-15	4.9556695255049726e-26
397.6785	0.009517147380566611	0.011369272804779318	1.3380429663642576e-15	8.515797829353925e-15	4.517130507961054e-25
397.8246	0.009689292383074208	0.024593271899758767	1.3400641151703726e-14	4.339535867046264e-14	3.935876007612464e-24
397.9708	0.00986789739962672	0.04991580331703703	1.2375897836947707e-13	2.1193723922443507e-13	3.287953614488817e-23
398.117	0.010053203370648465	0.09500775450000593	1.0522678068921253e-12	9.908930234938509e-13	2.6294533062096105e-22
398.2631	0.010245460078779122	0.16951834613048145	8.225746127081562e-12	4.4306052291521695e-12	2.010307893765699e-21
398.3849	0.010411444792061067	0.26154965642956246	4.288296225564118e-11	1.4936731071981963e-11	1.0599096236549999e-20
398.5311	0.0106179152835213	0.4150003106015169	2.8850010361943213e-10	6.17186296563432e-11	7.491173076874148e-20
398.6773	0.010832730072216946	0.6175070568300226	1.7869220148550747e-09	2.4413637697601033e-10	5.068580334779639e-19
398.8235	0.011056404754980978	0.8616574825974466	1.0189752967960861e-08	9.244942688233036e-10	3.2830564084054727e-18
398.9696	0.011289335452162782	1.127343560066225	5.343672438364062e-08	3.3485389604257135e-09	2.033247782171329e-17
399.1158	0.011532447525839512	1.3834599200311577	2.5829696393072253e-07	1.1621202185535986e-08	1.2069972769718e-16
399.2619	0.011786067444301478	1.5920031253823261	1.1483280872482518e-06	3.857909806158948e-08	6.851223456186863e-16
399.4081	0.012051261128988217	1.7181922837230308	4.705078539563431e-06	1.2270767960092696e-07	3.727417914633254e-15
399.5299	0.012281467185850433	1.7432759891275684	1.4303118579873597e-05	3.112130759297782e-07	1.478454389946775e-14
399.6761	0.012569656740117672	1.6724338781703343	5.036400632855811e-05	9.137981179979993e-07	7.42541338067682e-14
399.8222	0.012871460234930257	1.5047763009621025	0.00016314400680998196	2.566833241805264e-06	3.5663902249765185e-13
399.9684	0.01318830764032416	1.2696157621827069	0.0004869474230664966	6.90739117020116e-06	1.6415931777158002e-12
400.1146	0.013521116726855452	1.0045507995101375	0.0013381088701825338	1.7794506768397224e-05	7.233653865230796e-12
400.2607	0.013870876670551213	0.7455365148010593	0.0033832633472580965	4.38582900724646e-05	3.0484866188850005e-11
400.4069	0.014239430640650018	0.5187834011491604	0.00788073272035843	0.00010354939647212379	1.2311201818570912e-10
400.5531	0.014628058455204571	0.33853413071442506	0.016900354840874612	0.00023404477813202546	4.75961819291266e-10
400.6749	0.014968361628491869	0.22586751901298924	0.029958086528844272	0.0004465587818236348	1.4202524410607864e-09
400.821	0.015397989880423893	0.13106793261344518	0.05519027950727525	0.0009313024771084543	5.0645223974316945e-09
