*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: (C2H5)2O
* Name: Diethylether
* Edge: C 1s
* Alpha Formula: C4H10O
* Data Source: Hitchcock
* Filename:  de-0cckk.os
* Ref. Code: UH&95b
* Write Date: 98/08/07
* Reference: J. Pol. Sci. B. Pol. Phys. 33 (1995) 1603.
* Source and Purity: Aldrich
* Acquisition Mode: EELS, 2 deg, 2500eV CRE mode, 0.7eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2	name1- 0decs2	name2- 0dec.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  2.777902E+02,  5.189073E+03, -1.241776E-02,
  2.779348E+02,  5.386677E+03,  8.705021E-03,
  2.780794E+02,  5.299282E+03, -1.181847E-04,
  2.782241E+02,  5.238787E+03, -6.122007E-03,
  2.783687E+02,  5.177910E+03, -1.217408E-02,
  2.785133E+02,  5.339079E+03,  5.177537E-03,
  2.786579E+02,  5.334780E+03,  5.097248E-03,
  2.788026E+02,  5.405899E+03,  1.298213E-02,
  2.789472E+02,  5.325433E+03,  4.860578E-03,
  2.790918E+02,  5.264917E+03, -1.162264E-03,
  2.792364E+02,  5.287771E+03,  1.630838E-03,
  2.793810E+02,  5.299207E+03,  3.219968E-03,
  2.795257E+02,  5.173552E+03, -9.719976E-03,
  2.796703E+02,  5.278604E+03,  1.796636E-03,
  2.798149E+02,  5.228759E+03, -3.113273E-03,
  2.799595E+02,  5.273938E+03,  2.066756E-03,
  2.801042E+02,  5.232137E+03, -1.993041E-03,
  2.802488E+02,  5.225949E+03, -2.268303E-03,
  2.803934E+02,  5.307639E+03,  6.815896E-03,
  2.805380E+02,  5.231213E+03, -9.366933E-04,
  2.806826E+02,  5.333121E+03,  1.032102E-02,
  2.808273E+02,  5.291187E+03,  6.242913E-03,
  2.809719E+02,  5.198943E+03, -3.214633E-03,
  2.811165E+02,  5.133012E+03, -9.872799E-03,
  2.812611E+02,  5.153271E+03, -7.318785E-03,
  2.814058E+02,  5.199103E+03, -2.021669E-03,
  2.815504E+02,  5.302801E+03,  9.484990E-03,
  2.816950E+02,  5.190275E+03, -2.176402E-03,
  2.818396E+02,  5.244137E+03,  4.001433E-03,
