energy	step1_	g1_	g2_	g3_	g4_
283.0955	0.03183223996187573	1.6183442001589572e-37	3.1355194577228424e-21	2.7485249729531635e-37	5.70789101411857e-61
283.3445	0.032851262703591955	3.940788158053566e-34	9.300468411120191e-20	2.5773371707639497e-35	1.99832024609786e-58
283.5945	0.03394193645292992	6.8139074300337945e-31	2.4622302351935967e-18	2.167099432371924e-33	6.306497357192927e-56
283.8445	0.03510721481896145	8.101857771196823e-28	5.737963662251315e-17	1.6039533582317617e-31	1.7519295716052138e-53
284.0934	0.036349305254440634	6.437083855259314e-25	1.161824695549385e-15	1.0262425555285944e-29	4.182760788399361e-51
284.4724	0.03841818822147686	8.223831100586932e-21	8.89015865485362e-14	4.5276694470633595e-27	1.3705713908319102e-47
284.5724	0.039003734128170264	8.634461799922314e-20	2.659003518436414e-13	2.1499958341418108e-26	1.104665471020685e-46
284.6725	0.039607924591365695	8.557728816439976e-19	7.800593917462242e-13	1.0018452310900985e-25	8.741576724502368e-46
284.7725	0.040230394560126226	7.969914622135073e-18	2.239762154131043e-12	4.566972246908351e-25	6.763690435131656e-45
284.8724	0.040871980371390226	6.975876432057434e-17	6.294600868047709e-12	2.036795465904507e-24	5.117280398900681e-44
284.9714	0.04152818186275803	5.644662926636396e-16	1.7177710995612003e-11	8.783962725077077e-24	3.7260684468002104e-43
285.0714	0.04221262770236267	4.395006275001351e-15	4.640316040425336e-11	3.7672657566008486e-23	2.7123942416445563e-42
285.1714	0.04291987381988127	3.223005342010467e-14	1.228193164936204e-10	1.5830654809408982e-22	1.9346020615348022e-41
285.2715	0.04365181504107646	2.2303285776501993e-13	3.1881009100518657e-10	6.52707376747853e-22	1.354588130246602e-40
285.3715	0.044408219553809025	1.4507896001466433e-12	8.100577970612433e-10	2.6330310079312885e-21	9.274936174696542e-40
285.4714	0.04519032445646404	8.872496547132082e-12	2.0148610784458886e-09	1.0392925792656333e-20	6.210538060295224e-39
285.5714	0.04600110142476055	5.1199712494428855e-11	4.914865219610219e-09	4.024925412725264e-20	4.0823990041358503e-38
285.6714	0.04684128873451071	2.7827183049391104e-10	1.1746675323333053e-08	1.527266037938161e-19	2.6292901742193546e-37
285.7704	0.04770363249375714	1.401806237131067e-09	2.7277441647214545e-08	5.604660814921806e-19	1.629077360408735e-36
285.8705	0.0486081966451995	6.772989274761817e-09	6.265065900904138e-08	2.044681190875213e-18	1.0092853114703677e-35
285.9705	0.049546489803882376	3.0772048493649896e-08	1.4087025680155312e-07	7.299158088110356e-18	6.11543468616066e-35
286.0704	0.05052041557209436	1.314904188292666e-07	3.1010674532470464e-07	2.5498664121508304e-17	3.6241689545392813e-34
286.1704	0.0515340897298997	5.299760300885726e-07	6.694026594463466e-07	8.738706514711765e-17	2.1081639032230054e-33
