# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     285.910
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              12141.2629102
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -8.364 -1.857
# Athena.pre_edge_line:          7714.253195 - 19.6686 * E
# Athena.normalization_range:    18.789 37.283
# Athena.post_edge_polynomial:   71811.074595 - 201.389 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 38.795
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.191
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.191 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  277.81760       0.88240049E-02   0.88240049E-02  -0.18531568      -0.53835367E-01   0.27303548
  277.94950       0.17231201E-02   0.17231201E-02  -0.18510201      -0.17821987E-01   0.12198138
  278.08140       0.41225649E-02   0.41225649E-02  -0.18488833      -0.21656678E-01   0.82657938E-01
  278.21330      -0.39899116E-02  -0.39899116E-02  -0.18467466       0.39831774E-02   0.13353164
  278.34520       0.51733271E-02   0.51733271E-02  -0.18446098       0.13568970E-01  -0.58066570E-01
  278.47710      -0.41041745E-03  -0.41041745E-03  -0.18424731      -0.11334784E-01  -0.20271090E-01
  278.87270      -0.80577145E-03  -0.80577145E-03  -0.18360644       0.28759695E-02  -0.14926585E-01
  279.00460       0.11066565E-02   0.11066565E-02  -0.18339277      -0.19208558E-01  -0.87868827E-01
  279.13650      -0.58729890E-02  -0.58729890E-02  -0.18317909      -0.20303827E-01   0.15333362
  279.26840      -0.42494931E-02  -0.42494931E-02  -0.18296542       0.21240851E-01   0.89368665E-01
  279.40030      -0.26965259E-03  -0.26965259E-03  -0.18275174       0.32716270E-02  -0.28570893E-01
  279.53220      -0.33864379E-02  -0.33864379E-02  -0.18253806       0.13703849E-01   0.51311620E-01
  279.66410       0.33454227E-02   0.33454227E-02  -0.18232439       0.16807632E-01  -0.13564073
  279.79600       0.10474155E-02   0.10474155E-02  -0.18211071      -0.22078176E-01  -0.12167287
  279.92790      -0.24788000E-02  -0.24788000E-02  -0.18189704      -0.15289671E-01   0.55791488E-01
  280.19170      -0.50027072E-02  -0.50027072E-02  -0.18146969      -0.14840835E-05   0.11084128
  280.32360      -0.24793873E-02  -0.24793873E-02  -0.18125601       0.28570226E-01   0.84133035E-01
  280.45550       0.25341183E-02   0.25341183E-02  -0.18104234       0.22192811E-01  -0.23705320
  280.58740       0.33750762E-02   0.33750762E-02  -0.18082866      -0.33964408E-01  -0.16232505
  280.71930      -0.64256926E-02  -0.64256926E-02  -0.18061499      -0.20628536E-01   0.19350922
  280.85120      -0.20667317E-02  -0.20667317E-02  -0.18040131       0.17083323E-01   0.16936243
  280.98310      -0.19191120E-02  -0.19191120E-02  -0.18018763       0.24049273E-01  -0.32172436E-01
  281.11500       0.42774666E-02   0.42774666E-02  -0.17997396       0.85962345E-02  -0.14502510
  281.24690       0.34857471E-03   0.34857471E-03  -0.17976028      -0.14208347E-01  -0.53413605E-01
  281.37880       0.52930467E-03   0.52930467E-03  -0.17954661      -0.54942744E-02   0.13381570
  281.51070      -0.11008149E-02  -0.11008149E-02  -0.17933293       0.21092234E-01  -0.95559815E-02
  281.64260       0.60934359E-02   0.60934359E-02  -0.17911926      -0.80151423E-02  -0.19801499
  281.77450      -0.32152094E-02  -0.32152094E-02  -0.17890558      -0.31144121E-01   0.11817745
  281.90640      -0.21223832E-02  -0.21223832E-02  -0.17869191       0.23160070E-01  -0.24097075E-02
  282.03830       0.28944170E-02   0.28944170E-02  -0.17847823      -0.31779802E-01  -0.75266669E-01
  282.17020      -0.10505895E-01  -0.10505895E-01  -0.17826456       0.33047223E-02   0.14845384
