energy	step1_	g1_	g2_	g3_	g4_	g5_
394.3549	0.009295558301329178	3.628208010948432e-47	1.9352371717539985e-78	8.276837025090921e-54	7.1995784457111e-48	1.444383840850976e-197
394.4672	0.009386781568688739	2.7108368915264593e-45	7.076975516636084e-76	2.5420673069659212e-52	7.470122090170193e-47	1.2288203601012104e-193
394.5796	0.009479896095628007	1.860400342223673e-43	2.3546523053750507e-73	7.459176243021326e-51	7.569384223631946e-46	9.615821397375342e-190
394.6919	0.009574790484523163	1.1639476538770997e-41	7.054785178496777e-71	2.0785700108426193e-49	7.459608930591929e-45	6.811592488578617e-186
394.8042	0.009671603203801733	6.664008695081733e-40	1.9132944711494575e-68	5.517259614914014e-48	7.164633597271249e-44	4.403083014868537e-182
394.9166	0.009770481864629017	3.503696894765919e-38	4.7198678623742633e-66	1.3989652968710634e-46	6.71976770889127e-43	2.6172853277818854e-178
395.0289	0.009871311737666096	1.6797492784245465e-36	1.0487485513155686e-63	3.369122883285819e-45	6.130092999947706e-42	1.4086911253098086e-174
395.1412	0.009974243619573843	7.369490535054466e-35	2.1093756265190096e-61	7.728794075074122e-44	5.450072525596852e-41	6.918730794029345e-171
395.2536	0.0100794384839069	2.96835875406106e-33	3.858076875525274e-59	1.6934600479315452e-42	4.7314034390549796e-40	3.124041804495538e-167
395.3659	0.010186778427046682	1.090498869546054e-31	6.357654714659118e-57	3.5246904913448743e-41	3.995398270269724e-39	1.277567876084098e-163
395.4782	0.010296428266054567	3.666140614967584e-30	9.483398799491048e-55	6.987985469272985e-40	3.288157326783295e-38	4.767569969379836e-160
395.5906	0.010408564192754221	1.131295321301423e-28	1.2860264398295628e-52	1.3231068265269964e-38	2.6422123177337065e-37	1.635248226683354e-156
395.7029	0.010523065389781061	3.1847527316190637e-27	1.5716668205427667e-50	2.380000583149836e-37	2.0653568632723182e-36	5.081047694147212e-153
395.8152	0.010640112699826045	8.204469669064983e-26	1.7386496929849522e-48	4.077971548314017e-36	1.573420872205346e-35	1.4406842297292065e-149
395.9276	0.010759899735675472	1.9395694557816618e-24	1.7481025303768848e-46	6.672165437980622e-35	1.170273727963717e-34	3.753631377046626e-146
396.0399	0.010882303165083207	4.1840412778888397e-23	1.5843897193101795e-44	1.0372539112087882e-33	8.467830145624712e-34	8.861834677629249e-143
396.1523	0.011007635035332345	8.281289568989942e-22	1.3049181261299327e-42	1.5396472174664794e-32	5.98176915099311e-33	1.9221714540067743e-139
396.2646	0.011135770648248248	1.4959064131612083e-20	9.689957873884356e-41	2.1716540555480353e-31	4.1110163968425556e-32	3.778510544839746e-136
396.3769	0.011266923104238814	2.4727826486848554e-19	6.513306720016915e-39	2.917729590476493e-30	2.7535387004794305e-31	6.7778991080730975e-133
396.4893	0.011401321158585083	3.7495219876666805e-18	3.977330751490168e-37	3.7424919774519684e-29	1.8004294985248128e-30	1.1167598369026005e-129
396.6016	0.011538838706186078	5.190070467253307e-17	2.190356773631789e-35	4.562117026727033e-28	1.1453889089248757e-29	1.667979620954566e-126
396.7139	0.01167971237447689	6.574241771219757e-16	1.0918903509699128e-33	5.297328918060772e-27	7.101535174609161e-29	2.2733569932589342e-123
396.8263	0.01182419660745806	7.637013903241807e-15	4.943540948770185e-32	5.871546109142832e-26	4.297982095660637e-28	2.8453030787384776e-120
396.9386	0.011972164939663204	8.100500019436275e-14	2.0190441461844276e-30	6.185775310833143e-25	2.5310384852582706e-27	3.228954503063171e-117
397.0509	0.012123881483007403	7.862762194061711e-13	7.464393220118617e-29	6.207557922160452e-24	1.4526310103730914e-26	3.3438074705291875e-114
397.1633	0.012279630746624696	6.997469277241953e-12	2.505662349849818e-27	5.945604470476713e-23	8.137576700843882e-26	3.1790573661264565e-111
397.2756	0.012439287362158848	5.6874834107381393e-11	7.589527748298253e-26	5.413445903632762e-22	4.435948904698464e-25	2.741158796244325e-108
397.3879	0.012603147775106021	4.230331028232912e-10	2.0808844982806185e-24	4.6950104433384265e-21	2.3566787763635263e-24	2.1568302770564146e-105
397.5003	0.012771531933737874	2.8842185255717817e-09	5.178988448146216e-23	3.885898873978648e-20	1.2219898511417585e-23	1.5576478491219945e-102
397.6126	0.012944317582149216	1.796379957847688e-08	1.1633802185133901e-21	3.057774134998773e-19	6.166181903370024e-23	1.0204871685298336e-99
397.7249	0.01312183949298024	1.0238664381042728e-07	2.365589716800084e-20	2.2919454966941087e-18	3.0324069349657896e-22	6.100869887995945e-97
397.8373	0.013304459711449116	5.347922023106063e-07	4.365211803858602e-19	1.6392263076760566e-17	1.4553991399075804e-21	3.346888763680347e-94
397.9496	0.013492061871406075	2.55238393037126e-06	7.272212828735655e-18	1.1147794270495872e-16	6.798109262625371e-21	1.666026808264994e-91
398.062	0.013685200838207292	1.1161818302060646e-05	1.0992561715085657e-16	7.233310371970032e-16	3.0988298838264754e-20	7.608817402059039e-89
398.1743	0.013883766218778534	4.4607893282916835e-05	1.5003883490154505e-15	4.463117056254401e-15	1.374797202582058e-19	3.1536563070126002e-86
398.2866	0.014088174225215789	0.00016314115959184593	1.8537427670545018e-14	2.623157872455494e-14	5.944316973494911e-19	1.192772194327044e-83
398.399	0.014298876634233786	0.0005465632681773076	2.077546396632795e-13	1.4707954647964705e-13	2.508066104937048e-18	4.1379847909184786e-81
398.5113	0.014515776095453438	0.0016738174936066796	2.1030036613687953e-12	7.843133017433475e-13	1.0299998857617307e-17	1.3031323542446067e-78
398.6236	0.014739351723062321	0.004690842277667524	1.9269495398023624e-11	3.983931419793026e-12	4.1224727123034546e-17	3.74484727928436e-76
398.736	0.014970124831684188	0.012039700321663696	1.6011813902156266e-10	1.930275972241943e-11	1.6099864963110236e-16	9.86873988238655e-74
398.8483	0.015208017673180235	0.02825362876214227	1.202027374204243e-09	8.895960069018938e-11	6.120370655540134e-16	2.36136856730211e-71
