# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     286.008
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.0012555
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -10.039 -2.599
# Athena.pre_edge_line:          0.002669 - 4.98651e-006 * E
# Athena.normalization_range:    20.381 29.514
# Athena.post_edge_polynomial:   0.011799 - 3.25196e-005 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 183.185
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 6.934
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 4.937
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        nbkg        flat        fbkg        nder        nsec
  275.92285      -0.10750046E-01  -0.10749788E-01  -0.10749789E-01  -0.10749788E-01   0.11274771E-01  -0.28571870E-02
  277.88574       0.11381096E-01   0.11380824E-01   0.11380823E-01   0.11380824E-01   0.56664253E-02  -0.45164114E-02
  279.85938       0.11555970E-01   0.11555694E-01   0.11555694E-01   0.11555694E-01  -0.65041885E-02  -0.20375649E-02
  281.83447      -0.14302192E-01  -0.14301849E-01  -0.14301850E-01  -0.14301849E-01  -0.23793693E-02  -0.45179549E-02
  283.82715       0.21151720E-02   0.21151219E-02   0.21151214E-02   0.21151219E-02  -0.24430410E-01   0.26473804E-01
  283.95996      -0.66228740E-01  -0.66227155E-01  -0.66227155E-01  -0.66227155E-01   0.53890388E-01    1.8328623
  284.07080       0.15245694E-01   0.15245330E-01   0.15245330E-01   0.15245330E-01   0.42215090       0.18769477
  284.16455       0.20139070E-01   0.20138588E-01   0.20138588E-01   0.20138588E-01   0.92290843E-01   -1.5348895
  284.28125       0.34668228E-01   0.34667399E-01   0.34667399E-01   0.34667399E-01   0.99134621E-01  -0.22021682E-01
  284.39209       0.42696062E-01   0.42695041E-01   0.42695041E-01   0.42695041E-01   0.87280051E-01   0.36983706
  284.51904       0.55422814E-01   0.55421488E-01   0.55421488E-01   0.55421488E-01   0.18707929        1.2860675
  284.63525       0.88187028E-01   0.88184919E-01   0.88184918E-01   0.88184919E-01   0.40000549       0.54361499
  284.74072       0.14409591       0.14409246       0.14409246       0.14409246       0.30758769       -1.1690513
  284.85693       0.15637298       0.15636924       0.15636923       0.15636924       0.14085055      -0.94838098
  284.96240       0.17531960       0.17531541       0.17531541       0.17531541       0.97350977E-01  -0.67178294
  285.04541       0.17472136       0.17471718       0.17471718       0.17471718       0.14235183E-01   0.25856524
  285.16162       0.17815552       0.17815126       0.17815126       0.17815126       0.14886203       0.23034992
  285.25537       0.20597656       0.20597164       0.20597164       0.20597164       0.62599660E-01   -1.9882935
  285.33301       0.18888427       0.18887975       0.18887975       0.18887975      -0.19190502      -0.86286135
  285.43311       0.17186844       0.17186433       0.17186433       0.17186433      -0.90760483E-01   0.87158459
  285.52686       0.17129056       0.17128646       0.17128646       0.17128646      -0.22950353E-01   0.60751013
  285.62109       0.16755404       0.16755004       0.16755004       0.16755004       0.23444253E-01    1.9646581
  285.72070       0.17583517       0.17583096       0.17583096       0.17583096       0.35789389        2.2071484
  285.81494       0.23693095       0.23692528       0.23692528       0.23692528       0.45129490        3.6939582
  285.91455       0.26331765       0.26331135       0.26331135       0.26331135        1.0739592        6.3039526
  286.02002       0.45717647       0.56031386       0.45745304       0.56060137        1.7440975        4.8263656
  286.10303       0.59203905       0.86218843       0.59413276       0.86429630        1.9836157        1.8496232
  286.20801       0.83007301       0.85229668       0.83446325       0.85670678        2.0918051        2.5921150
  286.31885        1.0434933       0.84227929        1.0503091       0.84912011        2.5430470        1.4650505
  286.39648        1.3093779       0.83551975        1.3178899       0.84406314        2.3679328       -5.8573695
  286.50146        1.4759183       0.82671124        1.4867286       0.83755685        1.4733912       -7.0811045
  286.62354        1.6439125       0.81694086        1.6573958       0.83046348       0.76016235       -5.6578614
  286.73438        1.6529678       0.80850133        1.6688816       0.82445467       0.15561753       -4.9378087
  286.85596        1.6800814       0.79970777        1.6986608       0.81832740      -0.38749203       -5.0807185
  287.00049        1.5498511       0.78987287        1.5716032       0.81166208       -1.1964292       -6.0036004
  287.09424        1.3949947       0.78384555        1.4188065       0.80769069       -1.8180377       -1.5496160
