# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     286.043
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.0027145
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -10.582 -1.745
# Athena.pre_edge_line:          0.007106 - 1.95224e-005 * E
# Athena.normalization_range:    20.222 34.171
# Athena.post_edge_polynomial:   0.017584 - 4.66668e-005 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 183.397
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 6.938
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 4.938
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        nbkg        flat        fbkg        nder        nsec
  275.82080       0.51463008E-02   0.51462540E-02   0.51462545E-02   0.51462540E-02  -0.83160017E-02   0.32889395E-02
  277.77246      -0.11083708E-01  -0.11083608E-01  -0.11083608E-01  -0.11083608E-01  -0.18971098E-02   0.38995945E-02
  279.74658      -0.23013370E-02  -0.23013168E-02  -0.23013163E-02  -0.23013168E-02   0.69929533E-02   0.17735727E-03
  281.72119       0.16529580E-01   0.16529430E-01   0.16529431E-01   0.16529430E-01  -0.11967737E-02  -0.41909543E-02
  283.71387      -0.70492797E-02  -0.70492167E-02  -0.70492162E-02  -0.70492167E-02  -0.96337578E-02   0.29089459E-01
  283.85742      -0.40503473E-02  -0.40503113E-02  -0.40503108E-02  -0.40503113E-02   0.60945016E-01   0.22101674E-01
  283.94629       0.71156766E-02   0.71156120E-02   0.71156125E-02   0.71156120E-02  -0.44968448E-02  -0.22850260
  284.05664      -0.49462029E-02  -0.49461588E-02  -0.49461583E-02  -0.49461588E-02   0.15423024E-01  -0.80425652E-01
  284.16797       0.10534648E-01   0.10534552E-01   0.10534553E-01   0.10534552E-01  -0.22325579E-01  -0.17912455
  284.27832      -0.98953306E-02  -0.98952419E-02  -0.98952414E-02  -0.98952419E-02  -0.24285253E-01   0.11989826E-01
  284.40576       0.47597872E-02   0.47597438E-02   0.47597443E-02   0.47597438E-02  -0.19474484E-01   0.31680419
  284.52783      -0.14754442E-01  -0.14754310E-01  -0.14754309E-01  -0.14754310E-01   0.54761099E-01   0.25230058
  284.63281       0.17193339E-01   0.17193183E-01   0.17193184E-01   0.17193183E-01   0.37810565E-01  -0.17678530
  284.74316      -0.66126137E-02  -0.66125546E-02  -0.66125541E-02  -0.66125546E-02   0.16693548E-01   0.10704277
  284.84912       0.20804297E-01   0.20804109E-01   0.20804109E-01   0.20804109E-01   0.60964836E-01  -0.13615873
  284.93701       0.52052734E-02   0.52052260E-02   0.52052265E-02   0.52052260E-02  -0.97004945E-02   0.62825426E-01
  285.04834       0.18871777E-01   0.18871606E-01   0.18871607E-01   0.18871606E-01   0.73480835E-01   0.41543870
  285.14795       0.20705137E-01   0.20704950E-01   0.20704950E-01   0.20704950E-01   0.77931106E-01  -0.28401610E-01
  285.22510       0.32646715E-01   0.32646421E-01   0.32646421E-01   0.32646421E-01   0.68460626E-01   0.10122041E-01
  285.32471       0.32806087E-01   0.32805791E-01   0.32805791E-01   0.32805791E-01   0.79720256E-01   0.94235682
  285.41895       0.48100296E-01   0.48099861E-01   0.48099862E-01   0.48099861E-01   0.25113423        1.2674906
  285.50195       0.77318650E-01   0.77317953E-01   0.77317953E-01   0.77317953E-01   0.30437803      -0.60860599
  285.60205       0.10383359       0.10383265       0.10383265       0.10383265       0.13969513       0.23856453
