# XDI/1.0 Athena/0.9.24
# Element.edge:                  L3
# Element.symbol:                Sc
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     400.040
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.0009636
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -19.706 -2.787
# Athena.pre_edge_line:          0.005394 - 9.28432e-006 * E
# Athena.normalization_range:    19.649 49.458
# Athena.post_edge_polynomial:   0.008797 - 1.53831e-005 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 185.624
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 6.980
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 4.980
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        nbkg        flat        fbkg        nder        nsec
  379.76196      -0.83052007E-02  -0.83052706E-02  -0.83052704E-02  -0.83052706E-02   0.20701827E-02  -0.61660453E-03
  381.73975      -0.42108281E-02  -0.42108637E-02  -0.42108635E-02  -0.42108637E-02   0.85067260E-03   0.12307901E-02
  383.79712      -0.48726038E-02  -0.48726450E-02  -0.48726447E-02  -0.48726450E-02   0.70366129E-02  -0.53032602E-03
  385.83875       0.24632241E-01   0.24632448E-01   0.24632448E-01   0.24632448E-01  -0.13231332E-02  -0.37337549E-02
  387.82153      -0.10197440E-01  -0.10197526E-01  -0.10197525E-01  -0.10197526E-01  -0.79895629E-02   0.14716906E-02
  389.73608      -0.65057930E-02  -0.65058479E-02  -0.65058477E-02  -0.65058479E-02   0.44125438E-02   0.27595654E-02
  393.75037       0.15963795E-01   0.15963929E-01   0.15963929E-01   0.15963929E-01   0.83714398E-02  -0.24579458E-02
  393.76965       0.27260989E-01   0.27261218E-01   0.27261218E-01   0.27261218E-01  -0.55017511E-02  -0.88356519E-02
  396.83020      -0.98068476E-03  -0.98069323E-03  -0.98069299E-03  -0.98069323E-03  -0.18840901E-01   0.65368221E-04
  396.98767      -0.33369362E-01  -0.33369643E-01  -0.33369643E-01  -0.33369643E-01  -0.52913950E-02   0.53166424
  397.07410      -0.22712375E-02  -0.22712568E-02  -0.22712566E-02  -0.22712568E-02   0.11083015       0.43427094
  397.18604      -0.11384618E-01  -0.11384714E-01  -0.11384714E-01  -0.11384714E-01   0.80852456E-01  -0.20683808
  397.27832       0.14240742E-01   0.14240861E-01   0.14240862E-01   0.14240861E-01   0.68588929E-01   -1.0763028
  397.38025       0.19362985E-02   0.19363145E-02   0.19363147E-02   0.19363145E-02  -0.12818040       0.11910484
  397.48376      -0.12093190E-01  -0.12093291E-01  -0.12093291E-01  -0.12093291E-01   0.93058339E-01    1.6889452
  397.57861       0.20395751E-01   0.20395922E-01   0.20395922E-01   0.20395922E-01   0.20684604       0.95630274E-01
  397.68213       0.28937680E-01   0.28937922E-01   0.28937923E-01   0.28937922E-01   0.11202797       -1.4957321
  397.77161       0.42016376E-01   0.42016729E-01   0.42016729E-01   0.42016729E-01  -0.81819936E-01  -0.76929944
  397.87354       0.13276829E-01   0.13276940E-01   0.13276940E-01   0.13276940E-01  -0.35220788E-01   0.31377406
  397.95850       0.35433974E-01   0.35434271E-01   0.35434271E-01   0.35434271E-01  -0.23178795E-01   0.12027098
  398.05640       0.90383239E-02   0.90383996E-02   0.90383998E-02   0.90383996E-02  -0.13227881E-01   0.23375483
  398.14001       0.33032868E-01   0.33033145E-01   0.33033146E-01   0.33033145E-01   0.19252031E-01   0.38798044
  398.23499       0.12476523E-01   0.12476627E-01   0.12476628E-01   0.12476627E-01   0.56061119E-01  -0.73586294
  398.32007       0.43126886E-01   0.43127248E-01   0.43127248E-01   0.43127248E-01  -0.11324289       -1.2718636
  398.41357      -0.77473885E-02  -0.77474537E-02  -0.77474535E-02  -0.77474537E-02  -0.17107948        1.5827441
  398.49719       0.12824604E-01   0.12824711E-01   0.12824711E-01   0.12824711E-01   0.16709907        2.3142407
  398.59521       0.22604587E-01   0.22604777E-01   0.22604777E-01   0.22604777E-01   0.24928058      -0.45281443
  398.67737       0.57738932E-01   0.57739416E-01   0.57739416E-01   0.57739416E-01   0.85512869E-01   -1.0602395
  398.79639       0.39807374E-01   0.39807708E-01   0.39807708E-01   0.39807708E-01   0.35990194E-01   0.18317883
  398.89441       0.65550279E-01   0.65550829E-01   0.65550830E-01   0.65550829E-01   0.12527019       0.52645810
  399.01074       0.66659727E-01   0.66660286E-01   0.66660287E-01   0.66660286E-01   0.14883938        1.5144032
  399.12268       0.99526069E-01   0.99526904E-01   0.99526904E-01   0.99526904E-01   0.47096527        2.7668634
  399.24170       0.17543245       0.17543393       0.17543393       0.17543393       0.78786586        3.7022181
  399.34668       0.27600723       0.27600955       0.27600955       0.27600955        1.3002584        4.0031340
  399.46021       0.45954659       0.45955045       0.45955045       0.45955045        1.6625743        3.2820907
  399.56348       0.63644818       0.63645352       0.63645352       0.63645352        2.0118055        4.0052413
  399.66846       0.87850890       0.87851628       0.87851628       0.87851628        2.4966734        2.0076911
  399.76611        1.1423658        1.1423754        1.1423754        1.1423754        2.4186374       -4.6978773
  399.86853        1.3624137        1.3624251        1.3624251        1.3624251        1.5567536       -9.4078899
  399.95361        1.4342571        1.4342692        1.4342692        1.4342692       0.65465803       -8.3387824
  400.04883        1.4804471      -0.19078541        1.4805070      -0.19073793       0.53289429E-01   -8.2298464
  400.13086        1.4437025       0.14861673        1.4442813       0.14918340      -0.80405014       -6.6617607
  400.21887        1.3437232       0.17922584        1.3448582       0.18034955       -1.0795030       -4.0295855
  400.29822        1.2630386       0.20639775        1.2646751       0.20802365       -1.4784351       -4.6322214
  400.39600        1.0818568       0.23933423        1.0841107       0.24157898       -1.8999806       0.91719222
  400.47974       0.91815695       0.26706477       0.92093941       0.26983952       -1.3119478        5.8628237
  400.58484       0.83410494       0.30125127       0.83755190       0.30469123      -0.79282854        5.0782579
