energy	step1_	g1_	g2_	g3_	g4_
279.6126	0.010647945910368663	1.6636299495739148e-50	3.850786448672441e-74	1.2626878938555495e-26	8.075483293810541e-85
279.8112	0.010888989514467	7.154342527890793e-47	1.9855270334316978e-69	2.566749006731121e-25	9.631573080167803e-81
280.0097	0.01114106468293046	2.2374302320817043e-43	7.106859078079301e-65	4.804288868284288e-24	9.053439793652806e-77
280.2083	0.011405218326090599	5.130003256154033e-40	1.7846101003351483e-60	8.304528992773439e-23	6.7689427941917e-73
280.4069	0.01168219653245759	8.587741379050068e-37	3.1270820963041923e-56	1.3237052399708285e-21	4.006745836432609e-69
280.6054	0.011972805982502159	1.0459558847756115e-33	3.8058070530621014e-52	1.9430280581205063e-20	1.8698365231428446e-65
280.804	0.01227839327984282	9.33533321064122e-31	3.247745398702077e-48	2.6336245484423316e-19	6.938300634940825e-62
281.0026	0.012599980074776009	6.0833031315538875e-28	1.9339599645203095e-44	3.2916908517984857e-18	2.038291594869894e-58
281.2011	0.012938680734895947	2.8855493494275737e-25	8.003142449901791e-41	3.789211953750551e-17	4.7225178532142875e-55
281.3997	0.013296267797767467	1.0025205414782409e-22	2.3209475352289573e-37	4.0272870421459965e-16	8.696917153328433e-52
281.5983	0.01367416944473099	2.5430285236289936e-20	4.6967818965152525e-34	3.946995761098636e-15	1.2680044630459147e-48
281.7969	0.014074166236072059	4.709798861608513e-18	6.632324352463909e-31	3.567065830709408e-14	1.463659162745155e-45
281.9955	0.014498252932567497	6.368639511192303e-16	6.535238094371049e-28	2.972665055741698e-13	1.3375895097131781e-42
282.194	0.01494843784591529	6.273563202137746e-14	4.479174944518645e-25	2.2820972440727603e-12	9.64617640648652e-40
282.3926	0.015427702498276888	4.52286603218665e-12	2.149477758588054e-22	1.6172140559050862e-11	5.5260730663875025e-37
282.5912	0.015938690126494605	2.380709188401085e-10	7.197773562836024e-20	1.0567962348294676e-10	2.5063503023108204e-34
282.7897	0.016484370971437717	9.133318366777219e-09	1.677414429519813e-17	6.36240777367616e-10	8.973659095423853e-32
282.9883	0.017069008211615562	2.563163797794894e-07	2.7355513527466963e-15	3.5354423288067797e-09	2.5513687932587606e-29
283.1869	0.01769659566868218	5.251910325130952e-06	3.113003886966686e-13	1.8115753544123618e-08	5.743024064456703e-27
283.3322	0.0181857608905434	3.9204477347681876e-05	7.915956875255468e-12	5.687491930432386e-08	2.6057244352950204e-25
283.4315	0.018535900592293545	0.00014057443508632095	6.468514388754869e-11	1.2123931141845009e-07	3.2882672599200525e-24
283.5307	0.01889939804559966	0.00046539146154634536	4.821459389496514e-10	2.5307309612141734e-07	3.9045964577805925e-23
283.63	0.019277808281690092	0.001426001790406789	3.2914262751844e-09	5.180512250124492e-07	4.384521245643837e-22
283.7293	0.01967166175144154	0.004038964396410262	2.0536305855176237e-08	1.0391949532650808e-06	4.64418095167558e-21
283.8286	0.020081922240718874	0.010574705304917015	1.1710975956248446e-07	2.0427675495040795e-06	4.640203400521643e-20
283.9279	0.02050963532277503	0.02559262399962808	6.103745656736514e-07	3.934943208922768e-06	4.373265401644328e-19
284.0272	0.020955937208992005	0.05725450356690938	2.907584470547984e-06	7.42772103801639e-06	3.887904438027213e-18
284.1265	0.021422064772600266	0.1184002951569514	1.265904158145689e-05	1.3739480048677037e-05	3.260365284943834e-17
284.2257	0.021908865059185843	0.22619240324320708	5.030573607112651e-05	2.4890114973280666e-05	2.5737484778966015e-16
284.325	0.022418792136207236	0.3997165476297163	0.00018297446391797484	4.421256129317412e-05	1.9205436465880957e-15
284.4243	0.022952979746599433	0.6529418944495278	0.0006082694885409853	7.695946578281845e-05	1.3518334586360837e-14
284.5236	0.02351319818965049	0.985928081679033	0.0018481369697317335	0.0001312731815965523	8.975592607938865e-14
284.6229	0.024101393957519233	1.376145114206657	0.005132215103422687	0.00021942574177856675	5.621393721942643e-13
284.7222	0.02471971216862804	1.7755443429152313	0.013025911392086562	0.0003594154455059996	3.320976538916534e-12
284.8215	0.025370522510526353	2.117615502838414	0.030216486358947154	0.0005769039269269598	1.8506681119498336e-11
284.9207	0.02605573997148218	2.3344549816378417	0.06401818552772891	0.0009070144120697163	9.712234935595205e-11
285.02	0.026779657550242305	2.3792061252664185	0.12406340401461058	0.001398057409506378	4.816031443775137e-10
285.1193	0.027544847179263934	2.241439028200061	0.2197437839684036	0.002111705837718038	2.2526845443389313e-09
285.2186	0.028354932278893817	1.9519562724569859	0.35573129872309456	0.0031256434307629435	9.939221659074498e-09
285.3179	0.029213971965645007	1.571308766782047	0.5263324306859277	0.004533598357868401	4.1366169197306126e-08
285.4172	0.030126528363227937	1.1692335731183348	0.7117553765989297	0.006443832592907287	1.6239743408208563e-07
285.5164	0.031096737285031116	0.8045817019710287	0.8795508563207436	0.008972274827398359	6.006121678314712e-07
285.6158	0.032133451464485124	0.5113586977803884	0.9937330380477055	0.012250094945052348	2.1007272762957288e-06
285.715	0.033239108522940035	0.3007183261832911	1.025991494730619	0.016379879289638345	6.913812154058134e-06
285.8143	0.03442449321686397	0.16339065317841317	0.9682422357889221	0.021468967442888228	2.149021186753024e-05
285.9136	0.03569718403633212	0.08206213596153739	0.8351353346167971	0.027574599614205605	6.300931375512336e-05
286.0129	0.037067149595449655	0.03809839841639095	0.6583582292970945	0.034706024594748475	0.00017426482453534355
286.1122	0.038545928314371466	0.016350043627350232	0.4743514705936201	0.042805356911857786	0.00045462744336072464
286.2115	0.040146948318618515	0.006486036777609101	0.3123710716963936	0.05173553829787805	0.0011187743327441275
286.3107	0.04188410181218117	0.0023809163305868308	0.18811162717223331	0.06126435145026868	0.0025948647196684478
286.41	0.04377939024092975	0.00080711534847412	0.103488164933942	0.07110542704744087	0.005682101239295947
286.5093	0.04585309127800802	0.00025291545736468723	0.05203532907520246	0.0808714546717979	0.01173664975523698
286.6086	0.048131437670591484	7.325941289463404e-05	0.02391324416498295	0.0901333179220704	0.022867582411903793
286.7079	0.0506460229471554	1.9615518361981293e-05	0.0100441054696734	0.09844032953127493	0.04202786149714365
286.8072	0.053435230103660414	4.854946395952677e-06	0.003855818689735876	0.10535577756059597	0.07286102272234311
286.9065	0.05654613728387141	1.1107527148529116e-06	0.0013528651741176105	0.11049465031495119	0.11915003238282705
287.0057	0.06003336465210435	2.352855608839748e-07	0.00043435224112896596	0.11355707769812456	0.18372031731836433
287.105	0.06397703001114176	4.600014508483164e-08	0.00012731643501597757	0.11436711397740038	0.26733971990563576
