energy	step1_	g1_	g2_	g3_	g4_
398.3163	0.029872990471836502	1.8429067959174645e-23	1.2712884444739482e-16	1.5827251807266998e-55	4.802561993097039e-74
398.5148	0.030583015529400293	8.677886602604525e-22	1.3338162356284955e-15	1.3669551905377425e-52	1.2905656674099003e-70
398.7134	0.03132788675193793	3.541862037314873e-20	1.2927350487581096e-14	9.813740459666996e-50	2.875710575358961e-67
398.8016	0.03167041411456134	1.7555902614643423e-19	3.45440534209634e-14	1.7140525858604832e-48	8.297763976867011e-66
398.9009	0.03206509305891392	1.0285999448505878e-18	1.0249582258345869e-13	4.10434770802706e-47	3.49408937782595e-64
399.0002	0.032469698603730945	5.8120847944321986e-18	2.980565489193054e-13	9.376096467307888e-46	1.4026014859791123e-62
399.0995	0.032884608657281045	3.167229240042209e-17	8.494754002438831e-13	2.043421249322751e-44	5.367374910649552e-61
399.1988	0.03331022048501542	1.664520568348746e-16	2.3728079001508892e-12	4.248656894771856e-43	1.9580190878473505e-59
399.2981	0.033746951960176186	8.436473474357514e-16	6.495820078570144e-12	8.42758871444783e-42	6.809249741931018e-58
399.3973	0.03419478549328203	4.117264433340476e-15	1.741156360389169e-11	1.5901467038504018e-40	2.2495112937427886e-56
399.4966	0.0346550868145068	1.940977994278343e-14	4.578647956999374e-11	2.8709477325190446e-39	7.109615982788395e-55
399.5959	0.03512789857339765	8.824590757240895e-14	1.1800390157815647e-10	4.945056928124211e-38	2.1420591613711795e-53
399.6952	0.03561373565025533	3.8692843590704104e-13	2.980678365172086e-10	8.125970143817597e-37	6.152393882947199e-52
399.7945	0.03611314144693867	1.6361715356706658e-12	7.378931839849328e-10	1.2739050700414686e-35	1.684550963073965e-50
399.8938	0.03662668988034956	6.672508406849797e-12	1.7903235188918892e-09	1.9052713058939464e-34	4.396950022639837e-49
400.0167	0.037282783539367204	3.61443818511499e-11	5.214974587566449e-09	5.0778704486965654e-33	2.3320860628132023e-47
400.3196	0.039004258933866776	1.834524991675449e-09	6.374668726537398e-08	1.2185399455826187e-29	3.0362193658407282e-43
400.5965	0.040722395225575025	4.948714908047856e-08	5.335636192290857e-07	1.0219709320128639e-26	1.1874901169691633e-39
400.6461	0.041046181273991345	8.667475598140511e-08	7.678803358504271e-07	3.283557730952984e-26	5.0239568868753026e-39
400.7454	0.04171003897644665	2.590504103863768e-07	1.5677395345438043e-06	3.2798384661301714e-25	8.700944193332193e-38
400.7951	0.042050384022778886	4.420383002570234e-07	2.224017171561277e-06	1.01960875125517e-24	3.561640190626337e-37
400.8943	0.04274648490802435	1.2499414036448784e-06	4.4025975728998455e-06	9.468965934194109e-24	5.725266125227823e-36
400.9937	0.04346734908081973	3.4156692589357307e-06	8.553199491219651e-06	8.426752402982175e-23	8.822252679975793e-35
401.0433	0.04383616796529505	5.564574024092675e-06	1.1824228433684465e-05	2.464468962884825e-22	3.3922819005381195e-34
401.1426	0.04459355707437346	1.4387059070944968e-05	2.2273666589376723e-05	2.039214074228031e-21	4.85201152652342e-33
401.1922	0.04498169099481547	2.28108027012855e-05	3.033119004466016e-05	5.757248273318697e-21	1.8000132204474073e-32
401.2915	0.04577926233336693	5.585753449095744e-05	5.543731737433406e-05	4.4391681274804665e-20	2.396387643817677e-31
401.3908	0.0466054217383613	0.00013191223174624842	9.930579614624433e-05	3.265473367850344e-19	3.0413457906551965e-30
401.4404	0.047029271936349815	0.0001998964207486213	0.00013187427269195737	8.693137618555788e-19	1.062882448320799e-29
401.5397	0.04790124510556237	0.00044710488514807607	0.00022920617918085483	5.9589298937726414e-18	1.2555830744417236e-28
401.5894	0.048349831875471094	0.0006598998254146707	0.00029998413275383786	1.5342954681416146e-17	4.243901701163426e-28
401.6887	0.04927154092978148	0.0013978727965492815	0.0005058824104547179	9.800027759860053e-17	4.666122135360019e-27
401.7879	0.05022779434715585	0.0028537431512837908	0.0008356899063598825	5.961058724015463e-16	4.8792950245375714e-26
401.8376	0.05072085914084573	0.004025272396207539	0.0010665540340300459	1.4470746705691275e-15	1.5534247430453135e-25
401.9369	0.051735308455847784	0.007788397664740585	0.0017103604516780055	8.217019754830342e-15	1.5155136241255144e-24
402.0362	0.05279078502558271	0.01453326096992813	0.002688141117432131	4.451389914158935e-14	1.4094732043567765e-23
402.0858	0.053334133452404675	0.019578992999148812	0.003343968373987377	1.0170945402733493e-13	4.217337574286079e-23
402.1851	0.05445590842046005	0.03460241391635626	0.005099415884816115	5.134401162431327e-13	3.6507898317297324e-22
402.2347	0.0550339123767557	0.045367631241830554	0.006248619155732534	1.132516407017607e-12	1.053925231127931e-21
402.334	0.056228365700799365	0.07593871458864151	0.00924562298730553	5.3274593688315975e-12	8.491995527784426e-21
402.4333	0.05747524110139418	0.12258645618335125	0.013407504117371936	2.3908575816831978e-11	6.522845083058745e-20
402.4829	0.05811875923261639	0.15361499328983017	0.01602135732411346	4.9726361361241295e-11	1.773885555946714e-19
402.5822	0.05945087316239739	0.23486264443813495	0.022542647430181646	2.079540635005615e-10	1.2682486039288327e-18
402.6319	0.06014052077017096	0.2865413628040087	0.026543021642164447	4.181138747662697e-10	3.3340624943417535e-18
402.7311	0.06156540266075827	0.41476196432885865	0.036225073663574414	1.6271114554731257e-09	2.2144436721337205e-17
402.8304	0.06306007601356639	0.5792185550812509	0.04846948187160645	6.049272072226069e-09	1.404825150210457e-16
402.8801	0.06383538196825317	0.6753480277262668	0.055651844557465836	1.1467192458930735e-08	3.4786032106233767e-16
402.9794	0.06544214245327767	0.8932158518336628	0.07224764819645621	3.972551161631861e-08	2.0539652813217315e-15
403.0786	0.06712890059799637	1.1390657664016413	0.0919023371007081	1.311376106022106e-07	1.1541530380064614e-14
403.1283	0.06800659713936158	1.2692458852815014	0.10289718307248723	2.3437326243133186e-07	2.6919023119592146e-14
403.2276	0.06982967186961009	1.5333374857733426	0.12702848677476664	7.218144112642256e-07	1.4103481745635206e-13
403.2772	0.07077677963106388	1.6624501305684818	0.14006532575851355	1.243892413516696e-06	3.16824245095225e-13
403.3765	0.07275087805535113	1.9021366207056283	0.1677730221812471	3.5698294746035903e-06	1.545030090763859e-12
403.4758	0.07483616634085904	2.098924895355042	0.1969578317610964	9.773948356949895e-06	7.182618963337601e-12
403.5254	0.07592231532982519	2.1749995958657067	0.21178271419552264	1.5882014230794103e-05	1.5199890509527694e-11
403.6247	0.07819241312023462	2.273083890046183	0.24123231793456182	4.052054877852923e-05	6.57715131375644e-11
403.6744	0.0793792790761606	2.292416980706586	0.2555373652222573	6.361930627313962e-05	1.3447967666997166e-10
403.7737	0.0818594467747158	2.2690033803694765	0.28241284358961916	0.00015124647067676594	5.416074118623058e-10
403.8729	0.08449308877693296	2.1660428089239363	0.30587471092937235	0.00034276116300433813	2.076643605923498e-09
403.9226	0.08587575101610645	2.087646601333538	0.31595718679523904	0.0005073784690237655	3.999392876646763e-09
404.0219	0.08877475818006969	1.8873902703393426	0.332056325175944	0.0010723423045255606	1.4292258149495185e-08
404.0715	0.09029535165540803	1.7704853709185802	0.3378464904951348	0.0015311403641336898	2.652140054574308e-08
404.1708	0.09349702006621546	1.515996376576785	0.3445059951760055	0.0030155294906867077	8.821749588200184e-08
404.2701	0.09692677993238263	1.2518897838025687	0.34429743788110384	0.005665915216975564	2.797308399736247e-07
404.3197	0.09873283284851198	1.1224012317092065	0.3416089100146146	0.00762833765464339	4.889917319012461e-07
404.419	0.10255136964991102	0.8778436222100106	0.3312531750362067	0.013356220130055193	1.4432402344848855e-06
404.5183	0.10666560648959483	0.662137665389802	0.3148114679071081	0.022309772696065055	4.060720440232794e-06
404.5679	0.10884186501971294	0.5673900832848242	0.30460265704579775	0.02832260870671865	6.686976883415034e-06
404.6672	0.11346514391546264	0.40533487084613895	0.2808782012490196	0.04408511705337482	1.7512404256127767e-05
404.7169	0.11592309753448249	0.33790677350399106	0.2676766190231494	0.05404954608906826	2.784928673090859e-05
404.8162	0.12115123579437076	0.22862007704504547	0.23948583837065	0.07839301710857986	6.78829328674855e-05
404.9154	0.12684095054021943	0.14924115154717382	0.21002487783969404	0.1084398404869502	0.00015760724040015119
404.9651	0.12988582702918156	0.11890040002779494	0.19517711192804216	0.12534751778587538	0.00023607921054158575
405.0644	0.13640099479954065	0.0734791270241222	0.16605493014775877	0.16162411217910727	0.0005106026984543086
405.114	0.13989006688650357	0.056998809470167736	0.15202860712143973	0.18029774059805456	0.0007373060658577269
405.2729	0.15227657037809256	0.02377234812728826	0.11077914644001621	0.23646656761647228	0.002207681896878825
405.4041	0.1641288169173381	0.010767416374667544	0.08205135357933767	0.2701249194105876	0.004978586627547372
405.5034	0.17427164508424642	0.005669122145408063	0.06386573998686618	0.2828666236808713	0.008715587416321993
405.6027	0.18559800243629238	0.0028786060412392457	0.048720280715634855	0.2825899288950807	0.01454502963426364
405.702	0.19829352003944056	0.0014096482681802407	0.0364259804443809	0.2693330012809604	0.02313981646661213
405.8013	0.21257374915064609	0.000665735020317835	0.02669146141620732	0.2448952593270764	0.035093974968303736
405.9005	0.22866825543363561	0.00030346319572985015	0.01917530497996673	0.21247193448950133	0.05072029685091291
405.9998	0.24688524231666142	0.00013330202280849646	0.013496819953187852	0.17584450431802737	0.06990851266373643
406.0991	0.2675061950756208	5.6471531233436786e-05	0.009310655625153711	0.1388397888984865	0.0918556110336363
406.1984	0.29082937874152215	2.307196049407505e-05	0.00629489814736139	0.10458201532611744	0.11505584091451436
406.2977	0.31711888252255255	9.090788342604437e-06	0.004171159395836369	0.07515501840419771	0.13738490055009323
406.397	0.34654737975759753	3.4544642674341707e-06	0.0027088471468786042	0.05152486724282337	0.15638557412232326
406.4963	0.37911721769244855	1.2659658033764456e-06	0.0017241373012855674	0.03370029437480588	0.16969995466755805
406.5956	0.4145720518949064	4.474302635061881e-07	0.0010755208418911704	0.02102850628253882	0.17554728461184954
406.6948	0.4522910443454952	1.5267555045209255e-07	0.0006578775172426916	0.012525013704399965	0.17312126239169737
406.7941	0.4914428264474587	5.018950903649161e-08	0.00039420315805931854	0.0071135986740615475	0.1627565306966456
406.8934	0.5308539845044091	1.591177069952871e-08	0.0002315020218745943	0.003854414597759757	0.1458659046621198
406.9927	0.5693430131024587	4.86503744613122e-09	0.00013324444503125837	0.001992440733528758	0.12462251404710575
407.092	0.6058849014839973	1.4345509404529492e-09	7.516282089490375e-05	0.0009825854149033498	0.10150012540177124
407.1913	0.6397513152735125	4.07950878855006e-10	4.1554366367065235e-05	0.0004622885446183301	0.07880685602660352
407.2906	0.6705505709684694	1.1188242812114101e-10	2.2515930147382955e-05	0.00020749797724831302	0.05832957030962514
407.3898	0.698157451045524	2.963245109669245e-11	1.1964759045950493e-05	8.893111566355552e-05	0.04117218062255701
407.4891	0.722737205367718	7.558953226078204e-12	6.227378409479885e-06	3.63321330998955e-05	0.027695184870749807
407.5884	0.7444932892386201	1.859592778759454e-12	3.176626767182899e-06	1.4160740667251106e-05	0.01775955256621404
407.6877	0.7637147161321629	4.412006621182786e-13	1.5881325983828783e-06	5.265492025005577e-06	0.010856432183230442
407.787	0.7807020801996685	1.0095238216648367e-13	7.781565263915454e-07	1.867883846381393e-06	0.0063265883893478545
407.8863	0.7957419040758372	2.227712279362427e-14	3.736859788819612e-07	6.321478865672118e-07	0.003514628193499653
407.9856	0.809094152661803	4.740932122895418e-15	1.7587587714554147e-07	2.0410114043180224e-07	0.0018613007373692741
408.0848	0.8209765548649839	9.746102742561894e-16	8.11910561704421e-08	6.294415282674364e-08	0.000940351971923138
408.1841	0.8316111859051021	1.929193081414577e-16	3.6705888065982995e-08	1.8497735026117394e-08	0.00045258819744389286
408.2834	0.8411552739081989	3.682837168663983e-17	1.6263833350987338e-08	5.186085021818985e-09	0.00020765546312663982
408.3827	0.8497535949448576	6.780339667562924e-18	7.062683262987135e-09	1.3871346739141708e-09	9.082613854486971e-05
408.482	0.8575292244304915	1.2038780480908574e-18	3.0059114262883955e-09	3.539611034394408e-10	3.7870905765269755e-05
408.5813	0.864586767403453	2.061463508925252e-19	1.2538404119544463e-09	8.61688644599497e-11	1.5053167231349462e-05
408.6805	0.8710090546448963	3.4105662790491676e-20	5.130546065292553e-10	2.004250109391291e-11	5.70968702574346e-06
408.7798	0.876884888605509	5.4319995027962975e-21	2.0556905848542487e-10	4.441024466140597e-12	2.0625767647792952e-06
408.8791	0.8822724219659106	8.343630455432167e-22	8.072564747115938e-11	9.387983823554393e-13	7.102893308316888e-07
