energy	step1_	g1_	g2_	g3_	g4_	g5_
279.8564	0.006921884773900781	4.479348486415015e-38	2.9710549624932425e-46	1.1312256952241677e-62	1.7559909292554053e-56	7.074967100535188e-75
280.0114	0.007042578983614158	6.19367152157033e-36	2.5174155263112117e-44	1.6094713967072577e-60	5.852560016788385e-55	4.092836935706317e-73
280.1664	0.007167555196330869	7.41485506665873e-34	1.937587725670282e-42	2.0965076645385962e-58	1.857273041408684e-53	2.254398751094121e-71
280.3214	0.007297045308754431	7.685610018927744e-32	1.3546593243302518e-40	2.5002810891682557e-56	5.611925603315849e-52	1.1823425083513621e-69
280.4764	0.007431298263033222	6.897237818305831e-30	8.60322051096402e-39	2.7299859242734094e-54	1.614560510705209e-50	5.904214789367234e-68
280.6314	0.007570581641521542	5.359116986049394e-28	4.963114176328919e-37	2.729047970297785e-52	4.422858227853135e-49	2.8072899334160245e-66
280.7864	0.007715183443917101	3.605225663771464e-26	2.6008165841978203e-35	2.4977048748537937e-50	1.1536072639071015e-47	1.2709213167847167e-64
280.9414	0.0078654140715678	2.0998721325427604e-24	1.238019351404348e-33	2.092908603986087e-48	2.8649643129068887e-46	5.478432756816699e-63
281.0964	0.008021608547669031	1.0589474914893936e-22	5.353125046007203e-32	1.6056045691024738e-46	6.774647804229963e-45	2.2485382638008296e-61
281.2514	0.008184129006709286	4.623567277921043e-21	2.1025657779774447e-30	1.127732554285091e-44	1.525318364801366e-43	8.787199876513092e-60
281.4064	0.008353367492026312	1.7478377568117713e-19	7.501602406122002e-29	7.251917077967156e-43	3.2699457471331245e-42	3.269693195157902e-58
281.5614	0.008529749106871199	5.720661250575702e-18	2.4312003019433398e-27	4.2695168481246905e-41	6.674624931156578e-41	1.1584299505867722e-56
281.7164	0.008713735572189081	1.621110155541551e-16	7.157307686366451e-26	2.3013560976668502e-39	1.2972373864217884e-39	3.9078584746185706e-55
281.8714	0.008905829253667511	3.9774066991813705e-15	1.913995365843216e-24	1.1357117166117385e-37	2.4005917981090006e-38	1.2552035313553555e-53
282.0264	0.009106577731841582	8.449065074206882e-14	4.6493723031440513e-23	5.131349296873433e-36	4.229835233647057e-37	3.83880236226238e-52
282.1814	0.009316579002598151	1.5539551814506442e-12	1.0259117742538287e-21	2.122629721507995e-34	7.09634717112926e-36	1.11785025444976e-50
282.3364	0.009536487411844173	2.474511648118235e-11	2.0563069911645543e-20	8.038890138307196e-33	1.1335809238663235e-34	3.099401096103018e-49
282.4914	0.009767020448076934	3.411628201667349e-10	3.743933600056502e-19	2.7873861390322407e-31	1.7241556704849468e-33	8.182352971652145e-48
282.6464	0.010008966541000175	4.072443509900533e-09	6.191994634047458e-18	8.848657158990233e-30	2.4969318659085985e-32	2.056766139112535e-46
282.8014	0.010263194044277441	4.208909828315719e-08	9.302405196484785e-17	2.5717976277555424e-28	3.443048814499854e-31	4.922637922960378e-45
282.9564	0.010530661617450664	3.766217126676225e-07	1.2694692393678172e-15	6.843454815608745e-27	4.520494439333579e-30	1.1218044230183992e-43
283.1114	0.010812430267819993	2.9178453244687844e-06	1.5736616417423272e-14	1.6672211344206488e-25	5.651125728933855e-29	2.434123888651342e-42
283.2664	0.01110967737010273	1.9572232134128748e-05	1.7719961902435227e-13	3.718691917433532e-24	6.726517421904107e-28	5.028917196344522e-41
283.4214	0.01142371305311548	0.00011366836930416532	1.812493494860199e-12	7.593926384783697e-23	7.623455052693528e-27	9.892648236784236e-40
283.5764	0.011755999432703838	0.0005715577013255697	1.684039900183817e-11	1.419782293952787e-21	8.226586867000196e-26	1.8529210888862402e-38
283.7314	0.012108173284207513	0.0024882941123587307	1.4213156742638784e-10	2.4302800335886876e-20	8.452667836296663e-25	3.3045137054030067e-37
283.8864	0.012482072893231968	0.00937917248517158	1.0896598817428977e-09	3.808641295928058e-19	8.269403603332111e-24	5.611312636909632e-36
284.0414	0.012879770010354133	0.030608955724828184	7.588459589087108e-09	5.464658351884523e-18	7.703016820779615e-23	9.072514078829826e-35
284.1964	0.013303608077046926	0.08648756765861401	4.8004122749614745e-08	7.178523864437723e-17	6.8320930808940365e-22	1.3966806327610717e-33
284.3514	0.013756248205052989	0.211582640761726	2.7584536903619875e-07	8.633491620662922e-16	5.769696569865244e-21	2.0472592725829e-32
284.5064	0.014240724805129806	0.44815429491916764	1.4398428856177085e-06	9.506419724872633e-15	4.6393639628547944e-20	2.8572935335132603e-31
284.6614	0.0147605133091609	0.8218570258935044	6.826950598942406e-06	9.583556083256388e-14	3.551977339573087e-19	3.7970222798628366e-30
284.8164	0.015319613162251056	1.3049268321149992	2.940361065447503e-05	8.845361408187546e-13	2.589334747395946e-18	4.8043839590553705e-29
284.9714	0.015922650250231696	1.7938958700206353	0.00011503680586152129	7.474526153319193e-12	1.7972665164989935e-17	5.788133598881853e-28
285.1264	0.016575004276265744	2.1351553476334475	0.0004088228988500147	5.782703692359833e-11	1.1877992276058839e-16	6.639657248551713e-27
285.2814	0.017282968458954672	2.200305106620054	0.0013197627309710729	4.095975999424043e-10	7.474460735520432e-16	7.252020960040633e-26
285.4364	0.018053951516993513	1.9631682181390961	0.0038700694137944387	2.6562139731249717e-09	4.47840083643784e-15	7.541864337371724e-25
285.5914	0.018896735567838982	1.5165380185771837	0.01030869990194262	1.5770588534549113e-08	2.5548907314018863e-14	7.468005982277326e-24
285.7464	0.019821808812302014	1.0143089780166439	0.024943149355619885	8.57258766047048e-08	1.387803474545217e-13	7.041041011343245e-23
285.9014	0.020841799498193002	0.587365476766671	0.05482276370585446	4.266337011272053e-07	7.177775674263396e-13	6.320848284337469e-22
286.0564	0.02197204890913904	0.29448809554035804	0.109454295788113	1.943916350997714e-06	3.534744791619435e-12	5.402815466057816e-21
286.2114	0.023231378030600085	0.12783455087219886	0.1985029406504637	8.10922175673084e-06	1.6574197754317694e-11	4.3971489588207603e-20
286.3664	0.024643128427902953	0.04804519232087825	0.3270117263784196	3.097133823238322e-05	7.399685136908251e-11	3.4074421986108904e-19
286.5214	0.026236598325055815	0.01563409699784574	0.48935266269485217	0.00010829788005013583	3.1455763857108786e-10	2.5141552530831577e-18
286.6764	0.028049059552103895	0.004404705206879338	0.6651855907804479	0.00034670422144276824	1.2731908309335213e-09	1.7662898092717783e-17
286.8314	0.03012864705731997	0.001074439764822742	0.8213456436630064	0.001016196030199142	4.906739930885689e-09	1.1815119257701254e-16
286.9864	0.03253859136385686	0.00022691775497942274	0.9212369120242039	0.002726936647166565	1.8005237264255024e-08	7.525243055268559e-16
287.1414	0.03536357484748925	4.149311722547571e-05	0.9385965458419363	0.006699645030243911	6.290873156260339e-08	4.56361742069161e-15
287.2964	0.03871955096489764	6.569084184839078e-06	0.868657992949341	0.015069808290033303	2.0928074831545722e-07	2.6351430897553655e-14
287.4514	0.04276940805587626	9.004399843535867e-07	0.7302657569859666	0.03103436417728839	6.629089792373583e-07	1.4487900398008023e-13
