energy	step1_	g1_	g2_	g3_	g4_	g5_
280.525	0.006280357787659845	7.542806915455834e-31	4.040349405033862e-24	1.0405225392350496e-35	2.498123598075314e-49	3.2519197453434477e-66
280.6249	0.006345928527599465	1.3664163218792342e-29	2.033457742117777e-23	6.556695343758395e-35	2.0793441162761107e-48	3.821430272271971e-65
280.7249	0.006412950175307796	2.3356900483684356e-28	1.0000892473286531e-22	4.051757649388546e-34	1.6994223530676237e-47	4.4108724147679915e-64
280.825	0.006481471307552224	3.7666045545703935e-27	4.806152880778166e-22	2.4552686601319205e-33	1.3636791739006678e-46	5.000447804634053e-63
280.925	0.006551401322021535	5.698687401742005e-26	2.2498287719251175e-21	1.4537453411215403e-32	1.069921705156287e-45	5.540797588282198e-62
281.025	0.006622856230478647	8.1116500527807005e-25	1.0274976830791173e-20	8.425539543832362e-32	8.224862291311237e-45	6.0155109094932445e-61
281.124	0.006695148171239089	1.0588046273258723e-23	4.5108220361039863e-20	4.698235881458701e-31	6.071791609280039e-44	6.250073159401581e-60
281.2239	0.006769714320383898	1.3315174084216972e-22	1.9584854067193432e-19	2.6051763946291524e-30	4.4729300787210005e-43	6.5003093358289545e-59
281.3239	0.006846036654193054	1.5794333652302131e-21	8.308223082567154e-19	1.416474655077525e-29	3.2350186087331517e-42	6.639605759596853e-58
281.424	0.006924177813459067	1.7668502298299042e-20	3.4433959149430082e-18	7.551304769766481e-29	2.2969116468678945e-41	6.660139375028391e-57
281.524	0.00700404187958259	1.8550124757607548e-19	1.3903465005617664e-17	3.933911014824002e-28	1.5947543494188943e-40	6.5306501170162605e-56
281.624	0.00708576899924062	1.8323291743881015e-18	5.4769482320037225e-17	2.006074857757926e-27	1.0848761155838612e-39	6.274315640268118e-55
281.7239	0.007169340463241417	1.699083757535623e-17	2.1021048943134013e-16	9.997610208679915e-27	7.217452791463589e-39	5.893100343668357e-54
281.8239	0.007254992602733917	1.4856519213906926e-16	7.88205917677584e-16	4.8850411074969706e-26	4.713601488798805e-38	5.4354604348577615e-53
281.9229	0.0073418274314832445	1.1970379609825335e-15	2.8465899843224947e-15	2.3004316254574052e-25	2.9610206429754854e-37	4.805618242489847e-52
282.0229	0.007431674492527779	9.270309563390995e-15	1.0161935384365231e-14	1.0772445128783314e-24	1.8568322552907917e-36	4.2560242666974024e-51
282.123	0.007523840027938875	6.767672778221492e-14	3.543594396636262e-14	4.9453371134957346e-24	1.1429435672661446e-35	3.7010906812706836e-50
282.223	0.007618223629855324	4.638935176597408e-13	1.204047990610531e-13	2.2188693062130784e-23	6.880513570085717e-35	3.146656847941356e-49
282.323	0.007715004162658264	2.9916226994326253e-12	3.991380101852175e-13	9.745129461279648e-23	4.058389924199575e-34	2.6212345862812e-48
282.4229	0.0078141735167011	1.8119037925504478e-11	1.2893697421997065e-12	4.1834524056661546e-22	2.3413486600928288e-33	2.1349704854156119e-47
282.5229	0.007916027393703362	1.0343541685306309e-10	4.068426597544083e-12	1.760516672338331e-21	1.3258108360841263e-32	1.7073829397431048e-46
282.623	0.008020676081792712	5.56454621312689e-10	1.253827982287898e-11	7.262325371326572e-21	7.36840690746871e-32	1.3405915770360491e-45
282.722	0.00812693079323709	2.767275426722167e-09	3.7248804697662154e-11	2.8880349581365195e-20	3.938628101133075e-31	1.0085378752161534e-44
282.822	0.008237153986115478	1.316296202438273e-08	1.0916824660918028e-10	1.140122415343526e-19	2.0982187256275225e-30	7.587899733449368e-44
282.922	0.008350406416095182	5.890666479868738e-08	3.1214747681652675e-10	4.405757531190185e-19	1.0951998844901157e-29	5.593553563147531e-43
283.0219	0.008466696598369348	2.4767017800170413e-07	8.69886586338957e-10	1.6643191728089352e-18	5.592017412223773e-29	4.0321491630756476e-42
283.1219	0.008586390918132224	9.811381012073732e-07	2.3675319452523913e-09	6.162474620936023e-18	2.802164995163184e-28	2.853549195733669e-41
283.222	0.008709640793299408	3.661459528808196e-06	6.292559171211526e-09	2.2363940849836424e-17	1.3779782584026149e-27	1.9824741593126877e-40
283.322	0.008836349642477268	1.2838175292510533e-05	1.6300795555568446e-08	7.934100949899673e-17	6.628761374388154e-27	1.3468559219495e-39
283.422	0.008966797218924549	4.2350830245490704e-05	4.119739852502844e-08	2.755289128878211e-16	3.1243469323197346e-26	8.965439659378498e-39
283.5219	0.009101014998040948	0.00013129599662517773	1.0149010432056242e-07	9.354701862723993e-16	1.440664751946809e-25	5.836452164363786e-38
283.6209	0.009238044386807748	0.00037943100462594314	2.4204447308526e-07	3.075909645638742e-15	6.421849657267561e-25	3.6615964763503787e-37
283.7209	0.009380708652662504	0.001043065379066082	5.682148596573388e-07	1.0020867486248101e-14	2.84770526311647e-24	2.2931315437011446e-36
283.821	0.009527994534355318	0.0027002205607728367	1.3024589208047432e-06	3.1993086577207995e-14	1.2390827896140395e-23	1.4096385285871834e-35
283.921	0.00967982141154196	0.006570079020826096	2.910246195854872e-06	9.986625083683386e-14	5.2747278875045127e-23	8.474831631389956e-35
284.021	0.00983656143428935	0.01504012724073532	6.34417165832188e-06	3.051416009060671e-13	2.200070728291472e-22	4.9921915759576954e-34
284.1209	0.009998292257546707	0.03236845971986848	1.3482711775703741e-05	9.116602036932056e-13	8.978486345304444e-22	2.876281475691114e-33
284.2209	0.010165595825998056	0.0655916521212691	2.7976421701063942e-05	2.6691015099235562e-12	3.595193475460854e-21	1.6265750458634265e-32
284.321	0.010338764712957155	0.12512717752669378	5.6674475455184284e-05	7.657197732889002e-12	1.41243176020463e-20	9.028026322646532e-32
284.42	0.01051592767168998	0.2231848745966641	0.00011118549598527131	2.126175559302968e-11	5.357318658500938e-20	4.819446518342017e-31
284.52	0.010701146837549054	0.376841220730263	0.00021428809123218197	5.839490334825316e-11	2.0181662080258948e-19	2.564071875603609e-30
284.62	0.010893001170908507	0.5986343170651653	0.00040292798754897367	1.5698958307337861e-10	7.449090114638115e-19	1.3365957373292197e-29
284.7199	0.011091650875959702	0.8943615095836752	0.0007387171449440917	4.1273492264981077e-10	2.6904970331148393e-18	6.815583072802636e-29
284.8199	0.011297882884562025	1.2576561727897078	0.001322139550453157	1.0632038212030232e-09	9.533697619224545e-18	3.4107936759560237e-28
284.92	0.01151213897691643	1.6642885195325163	0.002309897068928841	2.6833599335024234e-09	3.314081665351184e-17	1.6750615994682198e-27
285.02	0.011734442695461852	2.0714291423371005	0.003934957307494743	6.623005289239014e-09	1.127345130656446e-16	8.04726024641656e-27
285.12	0.011965490797438673	2.425610761399424	0.0065398369626636	1.600115538697225e-08	3.757399972803669e-16	3.7879318536080684e-26
285.219	0.012203358041118457	2.6704978063303857	0.01055424862244972	3.7521088223020483e-08	1.2127157237490712e-15	1.7206719455187996e-25
285.3189	0.012453158295624541	2.769648682128771	0.016692695964649153	8.680497401410277e-08	3.876601000830311e-15	7.765399876486696e-25
285.4189	0.012713651171116716	2.7026872984615133	0.02576972622234195	1.9674474469137532e-07	1.2155971542623928e-14	3.438950861817493e-24
285.519	0.01298553688536662	2.480996225589244	0.03882800910525373	4.3684077965543447e-07	3.738936871942099e-14	1.494369262530854e-23
285.619	0.013268998767690813	2.1428405597839197	0.05705276842325323	9.486643102700675e-07	1.125515642510787e-13	6.353088458963608e-23
285.719	0.013565093267574843	1.7412582093171998	0.08178766750202265	2.016610484329435e-06	3.319646085987838e-13	2.646358793823159e-22
285.8189	0.013874366104828027	1.3316065083833126	0.11435050490421449	4.193126405061723e-06	9.58324149705899e-13	1.0785568018942763e-21
