# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                N
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     400
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.0002820
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -20.206 -1.606
# Athena.pre_edge_line:          0.002421 - 4.14502e-006 * E
# Athena.normalization_range:    19.827 50.632
# Athena.post_edge_polynomial:   0.003208 - 5.40903e-006 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 185.624
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 6.980
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 4.980
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        nbkg        flat        fbkg        nder        nsec
  379.77363       0.46082334E-01   0.46078643E-01   0.46078639E-01   0.46078643E-01  -0.46477965E-01   0.22768520E-01
  381.75459      -0.45988515E-01  -0.45984822E-01  -0.45984827E-01  -0.45984822E-01  -0.13745046E-02   0.11308220E-01
  383.80068       0.40547135E-01   0.40543888E-01   0.40543883E-01   0.40543888E-01  -0.93919011E-03  -0.32751668E-02
  385.85020      -0.49835067E-01  -0.49831065E-01  -0.49831070E-01  -0.49831065E-01  -0.14788296E-01   0.47367447E-02
  387.83701      -0.19143279E-01  -0.19141739E-01  -0.19141744E-01  -0.19141739E-01   0.18179866E-01   0.69672064E-02
  389.75117       0.21084163E-01   0.21082477E-01   0.21082472E-01   0.21082477E-01   0.12390614E-01  -0.10465551E-01
  391.76240       0.29494719E-01   0.29492359E-01   0.29492354E-01   0.29492359E-01  -0.22901511E-01  -0.20556329E-02
  393.77900      -0.71159274E-01  -0.71153562E-01  -0.71153567E-01  -0.71153562E-01   0.41108696E-02   0.96936559E-02
  396.83936       0.50365412E-01   0.50361378E-01   0.50361373E-01   0.50361378E-01   0.26312727E-01  -0.70715639E-01
  396.99805       0.13542525E-01   0.13541444E-01   0.13541439E-01   0.13541444E-01  -0.22352581      -0.70564113
  397.08193      -0.38570550E-02  -0.38567407E-02  -0.38567457E-02  -0.38567407E-02  -0.14486036        2.2740965
  397.18975      -0.14227090E-01  -0.14225944E-01  -0.14225949E-01  -0.14225944E-01   0.21241667       0.40514821
  397.27812       0.37817269E-01   0.37814241E-01   0.37814236E-01   0.37814241E-01  -0.65373763E-01  -0.32923002
  397.38604      -0.27059247E-01  -0.27057072E-01  -0.27057077E-01  -0.27057072E-01   0.14779241       0.63638066
  397.48682       0.68660273E-01   0.68654772E-01   0.68654767E-01   0.68654772E-01   0.67433407E-01   -3.4503538
  397.57979      -0.13994024E-01  -0.13992897E-01  -0.13992902E-01  -0.13992897E-01  -0.52071364       -1.0005105
  397.68525      -0.34668839E-01  -0.34666054E-01  -0.34666059E-01  -0.34666054E-01  -0.13110539        4.5651406
  397.77490      -0.39574927E-01  -0.39571748E-01  -0.39571753E-01  -0.39571748E-01   0.37002335        1.0261883
  397.87920       0.37095451E-01   0.37092481E-01   0.37092476E-01   0.37092481E-01   0.67919013E-01   -3.6590295
  397.95742      -0.27178376E-01  -0.27176191E-01  -0.27176196E-01  -0.27176191E-01  -0.29782124       0.35923104
  398.05957      -0.16622895E-01  -0.16621557E-01  -0.16621562E-01  -0.16621557E-01   0.13271391        3.4046178
  398.14238      -0.26314914E-02  -0.26312754E-02  -0.26312804E-02  -0.26312754E-02   0.33189993       -2.9137178
  398.23662       0.42140253E-01   0.42136879E-01   0.42136874E-01   0.42136879E-01  -0.38316216       -1.5482614
  398.32383      -0.72154464E-01  -0.72148672E-01  -0.72148677E-01  -0.72148672E-01   0.50975172E-01    5.6094138
  398.41562       0.51265008E-01   0.51260902E-01   0.51260897E-01   0.51260902E-01   0.62094479       0.32335107
  398.50195       0.38451326E-01   0.38448247E-01   0.38448242E-01   0.38448247E-01   0.10857208       -2.4800086
  398.59727       0.70986106E-01   0.70980418E-01   0.70980413E-01   0.70980418E-01   0.17047454       -1.3298426
  398.67666       0.68234439E-01   0.68228971E-01   0.68228966E-01   0.68228971E-01  -0.12376086      -0.68765039
  398.79912       0.46004296E-01   0.46000612E-01   0.46000607E-01   0.46000612E-01   0.31668526E-01  -0.96054701
  398.89443       0.75131001E-01   0.75124981E-01   0.75124976E-01   0.75124981E-01  -0.33294244        1.5895446
  399.00654      -0.23055258E-01  -0.23053404E-01  -0.23053409E-01  -0.23053404E-01   0.36137488        14.007765
  399.01455       0.11853834       0.11852884       0.11852883       0.11852884        1.3496311        1.0242614
  399.12119       0.13167779       0.13166723       0.13166723       0.13166723       0.47880481       -1.3341313
  399.24492       0.22884113       0.22882278       0.22882278       0.22882278        1.0422858        5.6564442
  399.34912       0.36924568       0.36921607       0.36921607       0.36921607        1.7680764        5.3906160
  399.46377       0.61578042       0.61573104       0.61573103       0.61573104        2.2220092        2.1586766
  399.56270       0.84380952       0.84374185       0.84374184       0.84374185        2.2291141        3.2137339
  399.66816        1.0713993        1.0713134        1.0713134        1.0713134        2.8788790      -0.28592867
  399.76104        1.4148061        1.4146926        1.4146926        1.4146926        2.1724030       -10.642108
  399.86895        1.5075770        1.5074561        1.5074561        1.5074561       0.74214386       -10.620508
  399.95625        1.5596836        1.5595585        1.5594426        1.5594426       0.99122639E-01   -7.9701799
  400.04697        1.5252235      -0.64891024        1.5253919      -0.64861950      -0.67676654       -10.231208
  400.13096        1.4414477      -0.59592582        1.4419993      -0.59525864       -1.6883410       -6.3055403
  400.21943        1.2340507      -0.54101172        1.2350155      -0.53994796       -1.7642257       -1.2457863
  400.29873        1.1454574      -0.49257797        1.1467847      -0.49115877       -1.8973509        1.6935275
  400.39531       0.90034672      -0.43457851       0.90212662      -0.43272641       -1.4663699        5.4754413
  400.47822       0.88225543      -0.38565162       0.88440841      -0.38342789      -0.91455190       -1.3456284
  400.58145       0.73011862      -0.32584206       0.73274647      -0.32315565       -1.7168355        1.6107941
  400.67783       0.53955909      -0.27108967       0.54263427      -0.26797122      -0.59302243        11.632638
  400.79131       0.60566497      -0.20797359       0.60924348      -0.20434650       0.72442838        5.0405168
  400.89463       0.69661292      -0.15175881       0.70064725      -0.14766861       0.49974600       0.96624592
  401.01611       0.71801022      -0.87172336E-01   0.72258737      -0.82537607E-01   0.94164500        4.1600662
  401.12949       0.91777077      -0.28353057E-01   0.92284010      -0.23210128E-01    1.4767929        2.0304090
  401.24883        1.0616818       0.32052944E-01    1.0672745       0.37730774E-01    1.4141512      -0.60096321
  401.35303        1.2338832       0.83549247E-01    1.2399291       0.89694131E-01    1.3424565      -0.21712454
  401.46768        1.3554753       0.13888015        1.3620254       0.14553893        1.3666340       -4.2963517
  401.56416        1.5224246       0.18437635        1.5293938       0.19146760       0.43535531       -8.2943454
  401.67637        1.4463302       0.23607112        1.4538084       0.24366532      -0.36432454       -6.9979858
  401.76611        1.4488481       0.27648660        1.4567284       0.28448307      -0.97790961       -5.5996893
  401.87646        1.2506528       0.32505847        1.2590436       0.33354957       -1.4848089       0.69764531
  401.96494        1.1536264       0.36311610        1.1624216       0.37200378      -0.83919812       0.39259088
  402.06582        1.0917461       0.40555635        1.1009984       0.41489620       -1.4104697       -4.6352516
  402.16250       0.87497598       0.44528729       0.88467900       0.45506048       -1.7549319       0.21088070
