% Z refers to proton number
Element	Z	Edge	FWHM,eV	Energy,eV
Be	4	L3	0	0.0
B	5	L3	0	0.0
C	6	K	0.07	284.2
N	7	K	0.111	409.9
O	8	L3	0	0.0
F	9	L3	0	0.0
Ne	10	L3	0	0.0
Na	11	L3	0	0.0
Mg	12	L3	0.001	0.0
Al	13	L3	0.004	0.0
Si	14	L3	0.014	0.0
Es	99	K	129	0.0
Es	99	L3	9.04	0.0
Fm	100	K	135	0.0
Fm	100	L3	9.33	0.0
Md	101	K	140	0.0
Md	101	L3	9.61	0.0
No	102	K	145	0.0
No	102	L3	9.9	0.0
Lr	103	K	150	0.0
Lr	103	L3	10.1	0.0
Rf	104	K	156	0.0
Rf	104	L3	10.5	0.0
Db	105	K	162	0.0
Db	105	L3	10.8	0.0
Sg	106	K	168	0.0
Sg	106	L3	11.2	0.0
Bh	107	K	174	0.0
Bh	107	L3	11.6	0.0
Hs	108	K	181	0.0
Hs	108	L3	12	0.0
Mt	109	K	187	0.0
Mt	109	L3	12.3	0.0
Ds	110	K	193	0.0
Ds	110	L3	12.7	0.0
Be	4	K	0	111.5
P	15	L3	0.033	135.0
S	16	L3	0.054	162.5
B	5	K	0	188.0
Cl	17	L3	0.087	200.0
Ar	18	L3	0.128	248.4
C	6	K	0	284.2
K	19	L3	0.156	294.6
Ca	20	L3	0.17	346.2
Sc	21	L3	0.19	398.7
N	7	K	0	409.9
Ti	22	L3	0.22	453.8
V	23	L3	0.24	512.1
O	8	K	0	543.1
Cr	24	L3	0.27	574.1
Mn	25	L3	0.32	638.7
F	9	K	0	696.7
Fe	26	L3	0.36	706.8
Co	27	L3	0.43	778.1
Ni	28	L3	0.48	852.7
Ne	10	K	0.24	870.2
Cu	29	L3	0.56	932.7
Zn	30	L3	0.65	1021.8
Na	11	K	0.3	1070.8
Ga	31	L3	0.76	1116.4
Ge	32	L3	0.82	1217.0
Mg	12	K	0.36	1303.0
As	33	L3	0.94	1323.6
Se	34	L3	1	1433.9
Br	35	L3	1.08	1550.0
Al	13	K	0.42	1559.0
Kr	36	L3	1.17	1678.4
Rb	37	L3	1.27	1804.0
Si	14	K	0.48	1839.0
Sr	38	L3	1.39	1940.0
Y	39	L3	1.5	2080.0
P	15	K	0.53	2145.5
Zr	40	L3	1.57	2223.0
Nb	41	L3	1.66	2371.0
S	16	K	0.59	2472.0
Mo	42	L3	1.78	2520.0
Tc	43	L3	1.91	2677.0
Cl	17	K	0.64	2822.0
Ru	44	L3	2	2838.0
Rh	45	L3	2.13	3004.0
Pd	46	L3	2.25	3173.0
Ar	18	K	0.68	3205.9
Ag	47	L3	2.4	3351.0
Cd	48	L3	2.5	3538.0
K	19	K	0.78	3608.4
In	49	L3	2.65	3730.0
Sn	50	L3	2.75	3929.0
Ca	20	K	0.81	4038.5
Sb	51	L3	2.87	4132.0
Te	52	L3	2.95	4341.0
Sc	21	K	0.86	4492.0
I	53	L3	3.08	4557.0
Xe	54	L3	3.13	4786.0
Ti	22	K	0.94	4966.0
Cs	55	L3	3.25	5012.0
Ba	56	L3	3.32	5247.0
V	23	K	1.01	5465.0
La	57	L3	3.41	5483.0
Ce	58	L3	3.48	5723.0
Pr	59	L3	3.6	5964.0
Cr	24	K	1.08	5989.0
Nd	60	L3	3.65	6208.0
Pm	61	L3	3.75	6459.0
Mn	25	K	1.16	6539.0
Sm	62	L3	3.86	6716.0
Eu	63	L3	3.91	6977.0
Fe	26	K	1.25	7112.0
Gd	64	L3	4.01	7243.0
Tb	65	L3	4.12	7514.0
Co	27	K	1.33	7709.0
Dy	66	L3	4.17	7790.0
Ho	67	L3	4.26	8071.0
Ni	28	K	1.44	8333.0
Er	68	L3	4.35	8358.0
Tm	69	L3	4.48	8648.0
Yb	70	L3	4.6	8944.0
Cu	29	K	1.55	8979.0
Lu	71	L3	4.68	9244.0
Hf	72	L3	4.8	9561.0
Zn	30	K	1.67	9659.0
Ta	73	L3	4.88	9881.0
W	74	L3	4.98	10207.0
Ga	31	K	1.82	10367.0
Re	75	L3	5.04	10535.0
Os	76	L3	5.16	10871.0
Ge	32	K	1.96	11103.0
Ir	77	L3	5.25	11215.0
Pt	78	L3	5.31	11564.0
As	33	K	2.14	11867.0
Au	79	L3	5.41	11919.0
Hg	80	L3	5.5	12284.0
Se	34	K	2.33	12658.0
Tl	81	L3	5.65	12658.0
Pb	82	L3	5.81	13035.0
Bi	83	L3	5.98	13419.0
Br	35	K	2.52	13474.0
Po	84	L3	6.13	13814.0
At	85	L3	6.29	14214.0
Kr	36	K	2.75	14326.0
Rn	86	L3	6.41	14619.0
Fr	87	L3	6.65	15031.0
Rb	37	K	2.99	15200.0
Ra	88	L3	8.82	15444.0
Ac	89	L3	6.98	15871.0
Sr	38	K	3.25	16105.0
Th	90	L3	7.13	16300.0
Pa	91	L3	7.33	16733.0
Y	39	K	3.52	17038.0
U	92	L3	7.43	17166.0
Np	93	L3	7.59	17610.0
Zr	40	K	3.84	17998.0
